Date,aaplopen,aaplclose,aapllow,aaplhigh,aaplvolume
2010-06-28,38.13285827636719,38.32857131958008,37.788570404052734,38.53571319580078,146237000.0
2010-06-29,37.73143005371094,36.5957145690918,36.32857131958008,37.77000045776367,283336200.0
2010-06-30,36.672855377197266,35.932857513427734,35.71571350097656,36.85285568237305,184863000.0
2010-07-01,36.32857131958008,35.49714279174805,34.7457160949707,36.400001525878906,255724000.0
2010-07-02,35.78428649902344,35.27714157104492,34.74285888671875,35.84714126586914,173460700.0
2010-07-06,35.85714340209961,35.51856994628906,35.165714263916016,36.11428451538086,153808900.0
2010-07-07,35.78428649902344,36.952857971191406,35.67856979370117,36.96714401245117,163639000.0
2010-07-08,37.49714279174805,36.869998931884766,36.41285705566406,37.55714416503906,184536100.0
2010-07-09,36.698570251464844,37.08856964111328,36.4514274597168,37.128570556640625,108330600.0
2010-07-12,36.932857513427734,36.755714416503906,36.408573150634766,37.407142639160156,140719600.0
2010-07-13,36.61714172363281,35.97142791748047,35.20428466796875,36.628570556640625,297731000.0
2010-07-14,35.62571334838867,36.104286193847656,35.57143020629883,36.5428581237793,203011900.0
2010-07-15,35.461429595947266,35.92142868041992,35.32857131958008,36.709999084472656,206216500.0
2010-07-16,36.16857147216797,35.70000076293945,35.487144470214844,36.424285888671875,259964600.0
2010-07-19,35.6971435546875,35.08285903930664,34.228572845458984,35.6971435546875,256119500.0
2010-07-20,34.70000076293945,35.98428726196289,34.28714370727539,36.128570556640625,268737700.0
2010-07-21,37.869998931884766,36.31999969482422,36.28571319580078,37.878570556640625,296417800.0
2010-07-22,36.81142807006836,37.00285720825195,36.47285842895508,37.14285659790039,161329700.0
2010-07-23,36.727142333984375,37.13428497314453,36.611427307128906,37.1971435546875,133347200.0
2010-07-26,37.14285659790039,37.040000915527344,36.81571578979492,37.157142639160156,105137900.0
2010-07-27,37.26714324951172,37.72571563720703,37.18571472167969,37.82857131958008,146192900.0
2010-07-28,37.66714096069336,37.279998779296875,37.17856979370117,37.998573303222656,129996300.0
2010-07-29,37.244285583496094,36.87285614013672,36.58571243286133,37.521427154541016,160951700.0
2010-07-30,36.55571365356445,36.75,36.41428756713867,37.099998474121094,112052500.0
2010-08-02,37.20571517944336,37.407142639160156,37.08856964111328,37.512855529785156,107013900.0
2010-08-03,37.28714370727539,37.41857147216797,37.060001373291016,37.60857009887695,104413400.0
2010-08-04,37.5485725402832,37.568572998046875,37.18714141845703,37.7542839050293,105093800.0
2010-08-05,37.38999938964844,37.38571548461914,37.22142791748047,37.59714126586914,72274300.0
2010-08-06,37.111427307128906,37.15571594238281,36.80428695678711,37.355712890625,111224400.0
2010-08-09,37.354286193847656,37.39285659790039,37.08142852783203,37.45000076293945,75782000.0
2010-08-10,37.121429443359375,37.058570861816406,36.7928581237793,37.2071418762207,112980000.0
2010-08-11,36.485713958740234,35.74142837524414,35.68714141845703,36.52714157104492,155013600.0
2010-08-12,35.24142837524414,35.970001220703125,35.15999984741211,36.157142639160156,133730100.0
2010-08-13,35.95000076293945,35.58571243286133,35.584285736083984,35.98285675048828,88717300.0
2010-08-16,35.36857223510742,35.37714385986328,35.23143005371094,35.71571350097656,79607500.0
2010-08-17,35.72571563720703,35.9957160949707,35.599998474121094,36.37571334838867,105660100.0
2010-08-18,36.051429748535156,36.15285873413086,35.939998626708984,36.38142776489258,84924000.0
2010-08-19,36.119998931884766,35.6971435546875,35.52571487426758,36.211429595947266,106676500.0
2010-08-20,35.62714385986328,35.66285705566406,35.57143020629883,36.27428436279297,96057500.0
2010-08-23,35.970001220703125,35.11428451538086,35.03571319580078,36.0,103510400.0
2010-08-24,34.66714096069336,34.27571487426758,34.092857360839844,34.71428680419922,150641400.0
2010-08-25,34.005714416503906,34.698570251464844,33.88571548461914,34.855712890625,149216900.0
2010-08-26,35.06428527832031,34.325714111328125,34.325714111328125,35.10714340209961,116626300.0
