Date,cheopen,checlose,chelow,chehigh,chevolume
2016-09-19,140.10000610351562,138.82000732421875,138.25999450683594,140.89999389648438,89000.0
2016-09-20,139.5399932861328,138.25,138.14999389648438,139.6199951171875,58300.0
2016-09-21,138.83999633789062,139.7899932861328,137.2100067138672,139.9199981689453,93700.0
2016-09-22,140.44000244140625,141.92999267578125,139.0500030517578,142.66000366210938,71700.0
2016-09-23,141.64999389648438,141.2899932861328,140.0399932861328,141.64999389648438,64400.0
2016-09-26,141.4499969482422,142.00999450683594,140.58999633789062,143.0,92200.0
2016-09-27,141.8699951171875,140.38999938964844,140.22000122070312,143.16000366210938,81500.0
2016-09-28,140.10000610351562,142.6699981689453,137.0399932861328,142.94000244140625,110700.0
2016-09-29,141.97999572753906,139.41000366210938,139.3000030517578,142.4199981689453,62200.0
2016-09-30,139.9499969482422,141.07000732421875,138.55999755859375,141.8699951171875,61100.0
2016-10-03,140.8699951171875,140.22000122070312,138.47000122070312,140.8699951171875,74900.0
2016-10-04,139.66000366210938,140.94000244140625,139.41000366210938,141.69000244140625,100600.0
2016-10-05,141.61000061035156,140.9199981689453,139.91000366210938,142.1999969482422,65900.0
2016-10-06,140.52999877929688,140.08999633789062,139.02999877929688,140.64999389648438,57100.0
2016-10-07,140.0,140.52999877929688,138.7100067138672,140.99000549316406,76300.0
2016-10-10,140.3300018310547,141.74000549316406,140.3300018310547,142.92999267578125,75600.0
2016-10-11,141.77000427246094,139.66000366210938,138.4199981689453,141.82000732421875,103700.0
2016-10-12,139.60000610351562,138.8699951171875,138.52000427246094,142.5500030517578,91200.0
2016-10-13,138.25,140.14999389648438,138.00999450683594,140.72000122070312,118700.0
2016-10-14,140.57000732421875,139.8000030517578,139.10000610351562,141.97999572753906,93400.0
2016-10-17,139.3300018310547,141.3300018310547,139.22000122070312,141.5800018310547,107500.0
2016-10-18,141.7100067138672,141.3699951171875,140.44000244140625,142.6999969482422,91500.0
2016-10-19,141.69000244140625,141.33999633789062,140.4199981689453,142.27999877929688,90300.0
2016-10-20,141.0,143.66000366210938,141.0,144.0500030517578,115700.0
2016-10-21,142.55999755859375,139.6300048828125,139.3800048828125,143.57000732421875,65700.0
2016-10-24,140.69000244140625,139.69000244140625,139.17999267578125,141.66000366210938,45000.0
2016-10-25,139.41000366210938,138.94000244140625,137.33999633789062,139.41000366210938,62000.0
2016-10-26,138.3699951171875,136.55999755859375,136.41000366210938,140.1199951171875,86600.0
2016-10-27,135.00999450683594,138.55999755859375,135.00999450683594,139.75999450683594,179300.0
2016-10-28,138.58999633789062,138.22000122070312,137.0,139.1300048828125,112000.0
2016-10-31,138.27999877929688,141.4199981689453,136.30999755859375,142.02000427246094,110000.0
2016-11-01,140.22000122070312,136.99000549316406,136.6699981689453,141.10000610351562,116500.0
2016-11-02,136.94000244140625,137.77000427246094,136.0,139.07000732421875,129500.0
2016-11-03,137.75999450683594,136.80999755859375,135.1699981689453,140.9499969482422,261700.0
2016-11-04,137.44000244140625,133.2899932861328,132.9199981689453,138.77000427246094,154700.0
2016-11-07,140.00999450683594,137.69000244140625,134.52000427246094,140.02000427246094,111700.0
2016-11-08,136.66000366210938,137.24000549316406,136.1999969482422,139.16000366210938,121300.0
2016-11-09,136.91000366210938,138.75999450683594,134.85000610351562,139.6999969482422,89300.0
2016-11-10,139.72000122070312,143.85000610351562,138.64999389648438,144.1699981689453,144800.0
2016-11-11,144.5399932861328,147.1300048828125,143.8699951171875,147.92999267578125,139700.0
2016-11-14,148.1999969482422,148.13999938964844,148.07000732421875,150.7100067138672,114600.0
2016-11-15,148.57000732421875,147.6999969482422,146.35000610351562,149.92999267578125,113300.0
2016-11-16,147.6999969482422,145.8000030517578,145.10000610351562,149.94000244140625,120900.0
2016-11-17,145.8000030517578,147.74000549316406,145.08999633789062,148.6300048828125,97700.0
2016-11-18,147.22999572753906,147.42999267578125,146.22999572753906,148.19000244140625,133200.0
2016-11-21,147.14999389648438,147.5,145.6300048828125,147.89999389648438,62900.0
2016-11-22,147.19000244140625,147.5,146.86000061035156,149.97000122070312,98700.0
2016-11-23,147.5,147.5,145.35000610351562,148.99000549316406,83200.0
2016-11-25,147.27000427246094,147.6699981689453,146.8699951171875,147.85000610351562,44000.0
2016-11-28,148.25999450683594,148.60000610351562,147.5800018310547,149.60000610351562,202500.0
2016-11-29,148.49000549316406,150.02999877929688,148.25,150.10000610351562,112200.0
2016-11-30,149.97999572753906,148.97000122070312,148.3000030517578,149.97999572753906,112400.0
2016-12-01,148.47999572753906,149.49000549316406,148.19000244140625,149.97999572753906,98700.0
2016-12-02,149.9600067138672,150.02000427246094,148.83999633789062,151.07000732421875,113100.0
2016-12-05,150.91000366210938,152.07000732421875,150.3000030517578,152.52999877929688,97300.0
2016-12-06,152.75,153.49000549316406,150.89999389648438,153.86000061035156,95400.0
2016-12-07,153.0,152.7100067138672,150.60000610351562,153.6300048828125,74600.0
2016-12-08,152.92999267578125,154.5399932861328,151.77999877929688,156.50999450683594,118200.0
2016-12-09,154.5399932861328,154.52999877929688,153.1999969482422,155.02999877929688,85800.0
2016-12-12,153.58999633789062,154.2899932861328,151.22999572753906,154.6300048828125,94800.0
2016-12-13,154.39999389648438,155.4499969482422,152.6999969482422,155.9600067138672,79700.0
2016-12-14,155.3800048828125,152.58999633789062,152.00999450683594,155.3800048828125,91900.0
2016-12-15,153.38999938964844,158.9199981689453,153.0,159.05999755859375,136500.0
2016-12-16,159.72000122070312,159.25999450683594,156.55999755859375,159.97000122070312,252400.0
2016-12-19,159.52000427246094,159.52999877929688,158.67999267578125,160.67999267578125,82300.0
2016-12-20,159.6699981689453,161.00999450683594,155.5,162.60000610351562,121500.0
2016-12-21,160.86000061035156,158.99000549316406,158.86000061035156,161.36000061035156,107600.0
2016-12-22,158.72000122070312,157.6199951171875,154.5,162.9600067138672,253500.0
2016-12-23,157.75,159.39999389648438,155.82000732421875,159.7899932861328,68300.0
2016-12-27,159.4199981689453,160.6300048828125,158.0399932861328,163.4600067138672,57000.0
2016-12-28,160.6300048828125,159.97000122070312,158.02999877929688,164.07000732421875,76500.0
2016-12-29,159.94000244140625,160.5399932861328,159.63999938964844,161.72999572753906,74800.0
2016-12-30,160.6999969482422,160.41000366210938,157.55999755859375,161.38999938964844,86200.0
2017-01-03,160.39999389648438,162.11000061035156,158.60000610351562,162.3000030517578,116200.0
2017-01-04,162.2100067138672,163.92999267578125,160.10000610351562,164.47999572753906,130700.0
2017-01-05,162.80999755859375,164.27999877929688,162.75999450683594,164.5500030517578,78700.0
2017-01-06,164.6199951171875,164.30999755859375,162.80999755859375,165.02000427246094,139600.0
