Date,upsopen,upsclose,upslow,upshigh,upsvolume
2008-09-17,67.26000213623047,65.55999755859375,64.58000183105469,67.47000122070312,9927500.0
2008-09-18,65.76000213623047,66.4800033569336,64.7300033569336,67.18000030517578,10911800.0
2008-09-19,67.01000213623047,67.69999694824219,64.12999725341797,70.0,9194700.0
2008-09-22,66.9800033569336,65.87999725341797,65.41000366210938,67.5999984741211,5135600.0
2008-09-23,65.94000244140625,64.79000091552734,64.55999755859375,67.16000366210938,4756400.0
2008-09-24,64.33999633789062,63.38999938964844,62.709999084472656,65.47000122070312,6116800.0
2008-09-25,63.88999938964844,63.77000045776367,63.41999816894531,64.54000091552734,5241300.0
2008-09-26,62.72999954223633,64.38999938964844,62.72999954223633,64.80000305175781,4972900.0
2008-09-29,63.47999954223633,63.560001373291016,61.58000183105469,65.18000030517578,8223700.0
2008-09-30,63.560001373291016,62.88999938964844,62.59000015258789,65.04000091552734,7289400.0
2008-10-01,62.5,63.79999923706055,61.650001525878906,64.44000244140625,6013000.0
2008-10-02,63.43000030517578,61.08000183105469,60.470001220703125,63.43000030517578,7295900.0
2008-10-03,61.72999954223633,60.7599983215332,60.400001525878906,63.380001068115234,7101600.0
2008-10-06,60.029998779296875,60.0,57.31999969482422,61.75,9678900.0
2008-10-07,60.880001068115234,59.189998626708984,58.790000915527344,61.630001068115234,7611400.0
2008-10-08,57.900001525878906,57.900001525878906,56.72999954223633,60.18000030517578,11890900.0
2008-10-09,57.959999084472656,53.0,52.66999816894531,58.900001525878906,9971600.0
2008-10-10,50.4900016784668,51.70000076293945,43.31999969482422,53.400001525878906,18956000.0
2008-10-13,53.2599983215332,55.650001525878906,51.7599983215332,56.470001220703125,8526100.0
2008-10-14,56.91999816894531,54.900001525878906,53.06999969482422,58.61000061035156,8139100.0
2008-10-15,53.790000915527344,51.29999923706055,51.15999984741211,54.369998931884766,7453800.0
2008-10-16,52.04999923706055,51.63999938964844,48.400001525878906,52.369998931884766,11270300.0
2008-10-17,50.06999969482422,50.540000915527344,49.09000015258789,52.63999938964844,8691800.0
2008-10-20,51.08000183105469,52.16999816894531,50.540000915527344,52.91999816894531,5513100.0
2008-10-21,51.5,50.70000076293945,50.40999984741211,52.529998779296875,4953500.0
2008-10-22,50.2400016784668,46.38999938964844,44.77000045776367,50.2400016784668,9101300.0
2008-10-23,47.68000030517578,48.130001068115234,46.29999923706055,48.650001525878906,11372700.0
2008-10-24,45.150001525878906,46.54999923706055,45.0,48.400001525878906,6456400.0
2008-10-27,45.9900016784668,44.68000030517578,44.619998931884766,46.779998779296875,5727900.0
2008-10-28,46.0,48.86000061035156,44.849998474121094,48.900001525878906,7761500.0
2008-10-29,48.79999923706055,47.70000076293945,47.400001525878906,50.36000061035156,6438400.0
2008-10-30,49.130001068115234,51.130001068115234,48.790000915527344,51.400001525878906,9270500.0
2008-10-31,50.81999969482422,52.779998779296875,50.4900016784668,53.650001525878906,7466200.0
2008-11-03,52.52000045776367,53.02000045776367,52.0099983215332,53.77000045776367,4174400.0
2008-11-04,53.959999084472656,55.18000030517578,53.369998931884766,55.279998779296875,6101800.0
2008-11-05,54.52000045776367,52.439998626708984,52.08000183105469,55.81999969482422,5750400.0
2008-11-06,52.130001068115234,49.869998931884766,49.779998779296875,52.75,7734100.0
2008-11-07,50.029998779296875,51.91999816894531,49.900001525878906,52.459999084472656,5418900.0
2008-11-10,53.97999954223633,53.599998474121094,52.79999923706055,55.0099983215332,6979900.0
2008-11-11,52.95000076293945,53.380001068115234,52.31999969482422,54.709999084472656,5379300.0
2008-11-12,52.439998626708984,51.20000076293945,50.56999969482422,53.33000183105469,6524700.0
2008-11-13,51.58000183105469,55.09000015258789,49.31999969482422,55.220001220703125,11316600.0
2008-11-14,54.040000915527344,53.13999938964844,51.439998626708984,55.0099983215332,8083600.0
