Date,dhropen,dhrclose,dhrlow,dhrhigh,dhrvolume
2013-06-18,48.006065368652344,48.79454040527344,47.8241081237793,48.976497650146484,3908900.0
2013-06-19,48.79454040527344,48.27899932861328,48.26383590698242,49.12812805175781,4613400.0
2013-06-20,47.75587463378906,47.20242691040039,47.08112335205078,47.93783187866211,4312200.0
2013-06-21,47.452613830566406,47.08870315551758,46.75511932373047,47.67247772216797,7884100.0
2013-06-24,46.73237228393555,46.747535705566406,46.421531677246094,47.22517013549805,4102800.0
2013-06-25,47.05837631225586,47.23275375366211,46.67930221557617,47.33889389038086,4103000.0
2013-06-26,47.626991271972656,48.02880859375,47.54359436035156,48.26383590698242,4347600.0
2013-06-27,48.347232818603516,48.24867248535156,47.83169174194336,48.44579315185547,3338100.0
2013-06-28,48.08946228027344,47.990901947021484,47.78620147705078,48.309326171875,5570700.0
2013-07-01,48.32448959350586,49.052310943603516,48.218345642089844,49.39347839355469,4959300.0
2013-07-02,48.96891403198242,48.27899932861328,48.112205505371094,49.10538101196289,4284900.0
2013-07-03,47.99848556518555,48.241092681884766,47.884761810302734,48.453372955322266,1449700.0
2013-07-05,48.65049362182617,48.976497650146484,48.53676986694336,48.991661071777344,2308900.0
2013-07-08,49.24184799194336,48.855194091796875,48.75663375854492,49.32524490356445,3678600.0
2013-07-09,49.53752899169922,50.50796127319336,49.53752899169922,50.545867919921875,6204400.0
2013-07-10,50.4927978515625,51.4025764465332,50.4927978515625,51.50872039794922,6201100.0
2013-07-11,51.993934631347656,51.81956100463867,51.4025764465332,52.31235885620117,5616300.0
2013-07-12,51.79681396484375,51.69825744628906,51.25852966308594,51.880210876464844,4009200.0
2013-07-15,51.94086456298828,51.85746765136719,51.652767181396484,52.03184127807617,4609600.0
2013-07-16,51.85746765136719,51.607276916503906,51.1978759765625,52.15314483642578,3325900.0
2013-07-17,51.7664909362793,51.865047454833984,51.66034698486328,52.03184127807617,4244500.0
2013-07-18,51.55420684814453,51.36466979980469,50.667171478271484,52.06974792480469,7251900.0
2013-07-19,51.55420684814453,52.07733154296875,51.304019927978516,52.32752227783203,3879100.0
2013-07-22,52.12282180786133,51.6830940246582,51.440486907958984,52.221378326416016,3661600.0
2013-07-23,51.743743896484375,51.4783935546875,51.43290328979492,51.85746765136719,3260900.0
2013-07-24,51.55420684814453,51.2736930847168,51.09173583984375,51.652767181396484,3523500.0
2013-07-25,50.9097785949707,51.008338928222656,50.667171478271484,51.12206268310547,4091600.0
