Date,tripopen,tripclose,triplow,triphigh,tripvolume
2012-01-19,29.100000381469727,30.329999923706055,29.020000457763672,30.889999389648438,2712900
2012-01-20,30.420000076293945,30.399999618530273,29.81999969482422,30.489999771118164,1307600
2012-01-23,30.540000915527344,30.3799991607666,30.229999542236328,30.790000915527344,2565400
2012-01-24,30.139999389648438,30.690000534057617,29.969999313354492,30.75,1299100
2012-01-25,30.549999237060547,31.489999771118164,30.549999237060547,32.33000183105469,2349300
2012-01-26,31.479999542236328,31.049999237060547,30.459999084472656,31.940000534057617,1881500
2012-01-27,30.389999389648438,31.239999771118164,30.350000381469727,31.459999084472656,1227500
2012-01-30,30.959999084472656,31.639999389648438,30.639999389648438,31.84000015258789,904500
2012-01-31,30.84000015258789,32.90999984741211,30.84000015258789,33.040000915527344,1261100
2012-02-01,33.11000061035156,35.060001373291016,33.08000183105469,35.16999816894531,3610100
2012-02-02,35.279998779296875,34.880001068115234,33.83000183105469,35.599998474121094,2447800
2012-02-03,35.06999969482422,35.380001068115234,35.06999969482422,35.93000030517578,2993500
2012-02-06,35.349998474121094,35.150001525878906,35.060001373291016,35.75,1968000
2012-02-07,35.279998779296875,34.84000015258789,34.81999969482422,35.47999954223633,2235900
2012-02-08,34.779998779296875,34.34000015258789,33.02000045776367,34.970001220703125,3220900
2012-02-09,28.280000686645508,29.34000015258789,27.989999771118164,29.850000381469727,12923400
2012-02-10,29.020000457763672,30.040000915527344,28.649999618530273,30.889999389648438,3623600
2012-02-13,30.06999969482422,28.59000015258789,28.5,30.1299991607666,2396400
2012-02-14,28.700000762939453,27.6299991607666,26.93000030517578,28.790000915527344,4072100
2012-02-15,27.799999237060547,29.280000686645508,27.520000457763672,30.100000381469727,4922800
2012-02-16,29.270000457763672,30.399999618530273,28.729999542236328,30.649999618530273,2583300
2012-02-17,30.5,30.700000762939453,29.950000762939453,30.940000534057617,1939900
2012-02-21,30.610000610351562,30.670000076293945,30.1200008392334,30.739999771118164,2462700
2012-02-22,30.950000762939453,30.0,29.850000381469727,30.950000762939453,3275500
2012-02-23,30.059999465942383,30.59000015258789,29.559999465942383,30.690000534057617,2041700
2012-02-24,30.190000534057617,31.799999237060547,30.190000534057617,32.0,1904100
2012-02-27,31.3799991607666,31.90999984741211,31.139999389648438,32.08000183105469,1438400
2012-02-28,32.09000015258789,32.310001373291016,32.0,33.4900016784668,2442000
2012-02-29,32.31999969482422,32.22999954223633,31.670000076293945,32.43000030517578,1356200
2012-03-01,31.889999389648438,32.619998931884766,31.09000015258789,32.880001068115234,2641400
2012-03-02,32.369998931884766,32.45000076293945,32.040000915527344,33.09000015258789,1640400
2012-03-05,32.290000915527344,31.969999313354492,31.809999465942383,32.40999984741211,648900
2012-03-06,31.5,31.420000076293945,30.799999237060547,31.799999237060547,1034800
2012-03-07,31.5,31.06999969482422,30.90999984741211,31.65999984741211,1478100
2012-03-08,31.200000762939453,31.260000228881836,31.139999389648438,31.790000915527344,1151700
2012-03-09,31.299999237060547,30.700000762939453,30.559999465942383,31.350000381469727,705500
2012-03-12,30.729999542236328,30.700000762939453,30.5,31.059999465942383,1490800
2012-03-13,30.920000076293945,30.479999542236328,30.25,30.989999771118164,2280100
2012-03-14,30.399999618530273,30.989999771118164,30.229999542236328,31.0,1230200
