Date,chkopen,chkclose,chklow,chkhigh,chkvolume
2018-04-11,3.0899999141693115,3.190000057220459,3.059999942779541,3.2100000381469727,27392700.0
2018-04-12,3.1500000953674316,3.1500000953674316,3.109999895095825,3.200000047683716,16087000.0
2018-04-13,3.1700000762939453,3.140000104904175,3.130000114440918,3.2100000381469727,13899400.0
2018-04-16,3.119999885559082,3.109999895095825,3.059999942779541,3.25,27695900.0
2018-04-17,3.059999942779541,3.0399999618530273,3.009999990463257,3.0899999141693115,28593800.0
2018-04-18,3.0899999141693115,3.130000114440918,3.0199999809265137,3.1700000762939453,49679000.0
2018-04-19,3.1500000953674316,3.0299999713897705,3.009999990463257,3.180000066757202,29932200.0
2018-04-20,3.0,3.0,2.9600000381469727,3.0299999713897705,22829200.0
2018-04-23,3.0,2.9800000190734863,2.9200000762939453,3.0299999713897705,17564300.0
2018-04-24,3.0,2.940000057220459,2.9100000858306885,3.059999942779541,26226100.0
2018-04-25,2.940000057220459,2.9800000190734863,2.9200000762939453,3.0199999809265137,22722400.0
2018-04-26,3.0199999809265137,3.0199999809265137,2.9600000381469727,3.0399999618530273,22224900.0
2018-04-27,3.0,2.950000047683716,2.940000057220459,3.0399999618530273,24825300.0
2018-04-30,2.9700000286102295,2.9700000286102295,2.9100000858306885,2.9700000286102295,21689900.0
2018-05-01,2.9600000381469727,2.9800000190734863,2.9000000953674316,3.0,35954300.0
2018-05-02,3.069999933242798,2.930000066757202,2.9000000953674316,3.069999933242798,47136500.0
2018-05-03,2.9100000858306885,2.9200000762939453,2.859999895095825,2.950000047683716,27102200.0
2018-05-04,2.9200000762939453,3.049999952316284,2.890000104904175,3.049999952316284,29129100.0
2018-05-07,3.0899999141693115,3.130000114440918,3.059999942779541,3.180000066757202,33961800.0
2018-05-08,3.119999885559082,3.130000114440918,3.0,3.130000114440918,27871200.0
2018-05-09,3.1700000762939453,3.259999990463257,3.1600000858306885,3.3299999237060547,45696500.0
2018-05-10,3.3299999237060547,3.3499999046325684,3.2699999809265137,3.380000114440918,24482900.0
2018-05-11,3.3499999046325684,3.359999895095825,3.309999942779541,3.4200000762939453,19513900.0
2018-05-14,3.4000000953674316,3.5999999046325684,3.369999885559082,3.630000114440918,36172700.0
2018-05-15,3.619999885559082,3.7100000381469727,3.609999895095825,3.740000009536743,36538200.0
2018-05-16,3.700000047683716,3.930000066757202,3.6700000762939453,3.950000047683716,44193100.0
2018-05-17,4.010000228881836,4.289999961853027,3.9700000286102295,4.289999961853027,88621700.0
2018-05-18,4.420000076293945,4.059999942779541,3.9700000286102295,4.510000228881836,97155500.0
2018-05-21,4.21999979019165,4.610000133514404,4.150000095367432,4.679999828338623,96035000.0
2018-05-22,4.800000190734863,4.539999961853027,4.460000038146973,5.0,138935300.0
2018-05-23,4.480000019073486,4.639999866485596,4.369999885559082,4.71999979019165,69229100.0
2018-05-24,4.519999980926514,4.550000190734863,4.489999771118164,4.650000095367432,47553400.0
2018-05-25,4.380000114440918,4.300000190734863,4.090000152587891,4.420000076293945,71867700.0
2018-05-29,4.170000076293945,4.28000020980835,4.159999847412109,4.369999885559082,34718800.0
2018-05-30,4.349999904632568,4.510000228881836,4.320000171661377,4.559999942779541,38914100.0
2018-05-31,4.489999771118164,4.46999979019165,4.389999866485596,4.570000171661377,35259500.0
2018-06-01,4.449999809265137,4.53000020980835,4.409999847412109,4.599999904632568,42369500.0
2018-06-04,4.559999942779541,4.320000171661377,4.28000020980835,4.650000095367432,37129700.0
2018-06-05,4.28000020980835,4.320000171661377,4.199999809265137,4.389999866485596,26393200.0
2018-06-06,4.329999923706055,4.369999885559082,4.210000038146973,4.389999866485596,23926600.0
2018-06-07,4.489999771118164,4.699999809265137,4.449999809265137,4.820000171661377,53369800.0
2018-06-08,4.679999828338623,4.809999942779541,4.579999923706055,4.880000114440918,39993800.0
2018-06-11,4.809999942779541,4.920000076293945,4.800000190734863,5.0,39649300.0
2018-06-12,4.989999771118164,4.809999942779541,4.78000020980835,5.050000190734863,40152900.0
2018-06-13,4.75,4.760000228881836,4.670000076293945,4.829999923706055,30260200.0
2018-06-14,4.829999923706055,4.730000019073486,4.699999809265137,4.840000152587891,21951300.0
2018-06-15,4.699999809265137,4.639999866485596,4.550000190734863,4.699999809265137,37419800.0
2018-06-18,4.610000133514404,4.739999771118164,4.599999904632568,4.789999961853027,25404900.0
2018-06-19,4.639999866485596,4.789999961853027,4.579999923706055,4.800000190734863,24337300.0
2018-06-20,4.840000152587891,4.880000114440918,4.760000228881836,4.889999866485596,24448000.0
2018-06-21,4.829999923706055,4.869999885559082,4.820000171661377,5.019999980926514,40263300.0
2018-06-22,5.050000190734863,5.050000190734863,4.960000038146973,5.130000114440918,50931200.0
2018-06-25,5.059999942779541,4.889999866485596,4.829999923706055,5.119999885559082,30051000.0
2018-06-26,4.909999847412109,5.03000020980835,4.769999980926514,5.050000190734863,33676000.0
2018-06-27,5.099999904632568,5.159999847412109,5.070000171661377,5.440000057220459,54915300.0
2018-06-28,5.170000076293945,5.179999828338623,5.050000190734863,5.239999771118164,29529700.0
2018-06-29,5.170000076293945,5.239999771118164,5.170000076293945,5.349999904632568,30813600.0
2018-07-02,5.139999866485596,5.179999828338623,5.110000133514404,5.230000019073486,19954700.0
2018-07-03,5.300000190734863,5.28000020980835,5.239999771118164,5.420000076293945,17997600.0
2018-07-05,5.300000190734863,5.269999980926514,5.230000019073486,5.380000114440918,22370700.0
2018-07-06,5.21999979019165,5.289999961853027,5.190000057220459,5.329999923706055,16303300.0
2018-07-09,5.320000171661377,5.389999866485596,5.320000171661377,5.460000038146973,27880700.0
2018-07-10,5.46999979019165,5.400000095367432,5.320000171661377,5.599999904632568,33456000.0
2018-07-11,5.320000171661377,5.150000095367432,5.079999923706055,5.400000095367432,38067600.0
2018-07-12,5.21999979019165,5.119999885559082,5.090000152587891,5.260000228881836,26792700.0
2018-07-13,5.130000114440918,5.190000057220459,5.119999885559082,5.260000228881836,18873200.0
2018-07-16,5.079999923706055,4.900000095367432,4.809999942779541,5.119999885559082,38903300.0
2018-07-17,4.829999923706055,4.769999980926514,4.679999828338623,4.869999885559082,37201900.0
2018-07-18,4.690000057220459,4.659999847412109,4.480000019073486,4.710000038146973,48578800.0
2018-07-19,4.630000114440918,4.670000076293945,4.570000171661377,4.739999771118164,27388900.0
2018-07-20,4.659999847412109,4.550000190734863,4.460000038146973,4.679999828338623,33836500.0
2018-07-23,4.630000114440918,4.510000228881836,4.46999979019165,4.630000114440918,20109000.0
2018-07-24,4.550000190734863,4.519999980926514,4.489999771118164,4.699999809265137,29480800.0
2018-07-25,4.519999980926514,4.409999847412109,4.380000114440918,4.570000171661377,28671800.0
2018-07-26,4.440000057220459,4.400000095367432,4.389999866485596,4.539999961853027,28684000.0
2018-07-27,4.909999847412109,4.409999847412109,4.369999885559082,4.980000019073486,91931600.0
2018-07-30,4.480000019073486,4.670000076293945,4.420000076293945,4.670000076293945,37550700.0
2018-07-31,4.670000076293945,4.71999979019165,4.510000228881836,4.75,49561200.0
2018-08-01,4.46999979019165,4.449999809265137,4.239999771118164,4.489999771118164,55170200.0
2018-08-02,4.389999866485596,4.409999847412109,4.349999904632568,4.489999771118164,17018200.0
2018-08-03,4.429999828338623,4.460000038146973,4.360000133514404,4.539999961853027,27120200.0
2018-08-06,4.460000038146973,4.699999809265137,4.440000057220459,4.789999961853027,37356100.0
2018-08-07,4.769999980926514,4.699999809265137,4.679999828338623,4.880000114440918,28904600.0
2018-08-08,4.679999828338623,4.659999847412109,4.579999923706055,4.699999809265137,19771400.0
2018-08-09,4.690000057220459,4.630000114440918,4.599999904632568,4.71999979019165,15483900.0
2018-08-10,4.590000152587891,4.659999847412109,4.550000190734863,4.670000076293945,18675200.0
2018-08-13,4.650000095367432,4.440000057220459,4.429999828338623,4.710000038146973,28197200.0
2018-08-14,4.53000020980835,4.510000228881836,4.480000019073486,4.599999904632568,20883500.0
2018-08-15,4.429999828338623,4.400000095367432,4.159999847412109,4.46999979019165,38726600.0
2018-08-16,4.409999847412109,4.25,4.230000019073486,4.429999828338623,25317000.0
2018-08-17,4.260000228881836,4.309999942779541,4.260000228881836,4.360000133514404,24237700.0
2018-08-20,4.300000190734863,4.420000076293945,4.28000020980835,4.420000076293945,17640000.0
2018-08-21,4.480000019073486,4.559999942779541,4.480000019073486,4.599999904632568,17189100.0
2018-08-22,4.610000133514404,4.710000038146973,4.579999923706055,4.739999771118164,20084900.0
2018-08-23,4.659999847412109,4.679999828338623,4.599999904632568,4.679999828338623,13203600.0
2018-08-24,4.75,4.570000171661377,4.559999942779541,4.78000020980835,19050700.0
2018-08-27,4.579999923706055,4.559999942779541,4.519999980926514,4.639999866485596,14813600.0
2018-08-28,4.570000171661377,4.429999828338623,4.400000095367432,4.590000152587891,25403400.0
2018-08-29,4.440000057220459,4.5,4.380000114440918,4.559999942779541,17338600.0
2018-08-30,4.5,4.510000228881836,4.440000057220459,4.550000190734863,14598600.0
2018-08-31,4.480000019073486,4.429999828338623,4.349999904632568,4.489999771118164,25578000.0
