Date,honopen,honclose,honlow,honhigh,honvolume
2011-03-30,57.07823181152344,56.8112907409668,56.630149841308594,57.0877685546875,3724600.0
2011-03-31,56.83035659790039,56.92569351196289,56.78268814086914,57.154502868652344,3372800.0
2011-04-01,57.16403579711914,56.49667739868164,56.3250732421875,57.22123718261719,4952800.0
2011-04-04,56.677818298339844,56.46807861328125,56.3250732421875,57.02103042602539,4933100.0
2011-04-05,56.3346061706543,56.296470642089844,56.25833511352539,56.7159538269043,2768100.0
2011-04-06,56.5252799987793,56.105796813964844,55.8579216003418,56.7159538269043,3682100.0
2011-04-07,55.9532585144043,55.7625846862793,55.581443786621094,56.40134048461914,4864400.0
2011-04-08,56.18206787109375,55.581443786621094,55.104759216308594,56.248802185058594,3338700.0
2011-04-11,55.629112243652344,55.54330825805664,55.21916198730469,56.010459899902344,2879800.0
2011-04-12,55.276363372802734,54.847347259521484,54.628074645996094,55.44797134399414,3964300.0
2011-04-13,54.914085388183594,54.63760757446289,54.294395446777344,54.95222091674805,3241100.0
2011-04-14,54.294395446777344,54.818748474121094,53.68423843383789,54.92361831665039,3248800.0
2011-04-15,54.866416931152344,55.057090759277344,54.44693374633789,55.181026458740234,5063100.0
2011-04-18,54.44693374633789,54.44693374633789,53.71283721923828,54.57087326049805,3311700.0
2011-04-19,54.485069274902344,54.78061294555664,54.151390075683594,54.92361831665039,3263800.0
2011-04-20,55.6672477722168,56.00092697143555,55.07615661621094,56.7064208984375,5743600.0
2011-04-21,57.202171325683594,57.88859939575195,56.630149841308594,58.250877380371094,10110100.0
2011-04-25,57.69792175292969,57.50724792480469,57.40237808227539,57.88859939575195,5271200.0
2011-04-26,57.78372573852539,59.108909606933594,57.755126953125,59.108909606933594,6713100.0
2011-04-27,59.204246520996094,58.59408950805664,58.4129524230957,59.204246520996094,5804100.0
2011-04-28,58.536888122558594,58.16507339477539,58.1460075378418,58.8038330078125,5288500.0
2011-04-29,58.250877380371094,58.37481689453125,58.155540466308594,58.65129470825195,4300400.0
2011-05-02,58.7943000793457,58.67036056518555,58.45108413696289,59.3758544921875,4332200.0
2011-05-03,58.679893493652344,58.918235778808594,58.40341567993164,58.965904235839844,4224400.0
2011-05-04,58.74663162231445,57.50724792480469,57.41191101074219,58.965904235839844,6651900.0
2011-05-05,57.0877685546875,57.345176696777344,56.55387878417969,58.1460075378418,4805800.0
2011-05-06,57.964866638183594,58.107872009277344,57.79325866699219,58.8038330078125,4220100.0
2011-05-09,58.250877380371094,58.74663162231445,58.06973648071289,59.11844253540039,3393300.0
2011-05-10,58.94683837890625,58.88010025024414,58.517822265625,59.08984375,4417000.0
2011-05-11,58.73709487915039,58.4224853515625,58.11740493774414,58.9849739074707,3511000.0
2011-05-12,58.45108413696289,58.02206802368164,57.774192810058594,58.536888122558594,5859900.0
2011-05-13,58.136474609375,57.68838882446289,57.488182067871094,58.38434982299805,3908300.0
2011-05-16,57.62165451049805,57.31657409667969,57.202171325683594,58.09833908081055,4649600.0
2011-05-17,57.106834411621094,56.229736328125,55.9437255859375,57.31657409667969,5287100.0
2011-05-18,56.153465270996094,56.773155212402344,55.50517272949219,56.9066276550293,5774300.0
2011-05-19,57.17356872558594,56.7159538269043,56.37274169921875,57.32611083984375,3816900.0
