Date,dgxopen,dgxclose,dgxlow,dgxhigh,dgxvolume
2018-04-17,101.66000366210938,100.80000305175781,99.58000183105469,101.80000305175781,1408300.0
2018-04-18,100.52999877929688,100.79000091552734,100.41000366210938,101.56999969482422,1495200.0
2018-04-19,100.30999755859375,101.48999786376953,98.97000122070312,102.58999633789062,1628600.0
2018-04-20,101.8499984741211,98.16000366210938,97.62000274658203,101.87000274658203,1781100.0
2018-04-23,98.4000015258789,99.44999694824219,97.5199966430664,99.4800033569336,1664700.0
2018-04-24,99.94999694824219,99.73999786376953,98.97000122070312,100.70999908447266,1116200.0
2018-04-25,99.66000366210938,101.1500015258789,99.01000213623047,101.23999786376953,957000.0
2018-04-26,101.0999984741211,101.36000061035156,100.36000061035156,102.08000183105469,871900.0
2018-04-27,101.41999816894531,102.73999786376953,101.41999816894531,103.0,1082900.0
2018-04-30,102.94999694824219,101.19999694824219,101.19999694824219,103.08999633789062,712500.0
2018-05-01,102.41999816894531,102.47000122070312,101.43000030517578,103.44999694824219,917000.0
2018-05-02,102.05999755859375,101.36000061035156,101.12999725341797,102.5,864000.0
2018-05-03,100.83999633789062,100.94000244140625,98.93000030517578,100.98999786376953,963100.0
2018-05-04,100.44000244140625,101.5,99.16999816894531,101.83999633789062,762100.0
2018-05-07,101.54000091552734,101.0999984741211,100.38999938964844,102.12000274658203,662400.0
2018-05-08,100.9000015258789,99.87000274658203,99.55000305175781,101.4000015258789,1313200.0
2018-05-09,99.88999938964844,100.63999938964844,99.26000213623047,100.7699966430664,612400.0
2018-05-10,100.87999725341797,101.69000244140625,100.70999908447266,102.62000274658203,673100.0
2018-05-11,101.66000366210938,102.5,101.19999694824219,102.7699966430664,502400.0
2018-05-14,102.70999908447266,102.93000030517578,102.43000030517578,103.25,595600.0
2018-05-15,102.12999725341797,102.12999725341797,101.73999786376953,102.62000274658203,475200.0
2018-05-16,102.38999938964844,101.80000305175781,101.70999908447266,102.76000213623047,854200.0
2018-05-17,101.83999633789062,101.70999908447266,101.33000183105469,102.12999725341797,705800.0
2018-05-18,101.8499984741211,102.1500015258789,100.7300033569336,102.5199966430664,1978100.0
2018-05-21,102.66999816894531,102.5999984741211,102.33000183105469,103.12000274658203,498300.0
2018-05-22,102.5,101.83999633789062,101.69999694824219,102.70999908447266,427700.0
2018-05-23,101.51000213623047,101.22000122070312,100.6500015258789,101.81999969482422,422600.0
2018-05-24,101.08999633789062,100.88999938964844,100.37999725341797,101.44000244140625,536100.0
2018-05-25,103.5999984741211,105.80999755859375,103.0,107.83999633789062,2772200.0
2018-05-29,106.06999969482422,106.3499984741211,105.5,106.91999816894531,1972700.0
2018-05-30,106.5199966430664,108.36000061035156,106.5199966430664,109.08000183105469,1548900.0
2018-05-31,108.56999969482422,106.52999877929688,106.48999786376953,108.56999969482422,1349200.0
2018-06-01,107.2699966430664,107.94999694824219,106.37999725341797,107.97000122070312,666100.0
2018-06-04,107.9800033569336,107.30000305175781,107.25,108.38999938964844,720900.0
2018-06-05,107.0199966430664,106.72000122070312,106.05999755859375,107.4800033569336,562300.0
2018-06-06,106.8499984741211,107.98999786376953,106.79000091552734,108.01000213623047,535300.0
2018-06-07,108.4000015258789,107.5999984741211,107.3499984741211,108.48999786376953,470400.0
2018-06-08,109.0999984741211,109.72000122070312,108.5999984741211,110.44999694824219,1297000.0
2018-06-11,109.5999984741211,111.6500015258789,108.86000061035156,112.30000305175781,1657200.0
2018-06-12,111.47000122070312,111.01000213623047,110.61000061035156,111.58999633789062,828200.0
2018-06-13,111.5,110.66999816894531,110.5199966430664,111.5199966430664,519600.0
2018-06-14,111.0,110.94000244140625,110.37000274658203,111.41999816894531,768200.0
2018-06-15,110.61000061035156,111.30999755859375,109.9800033569336,111.38999938964844,1354900.0
2018-06-18,110.44000244140625,110.3499984741211,109.8499984741211,110.75,497600.0
2018-06-19,110.0,110.66999816894531,109.55000305175781,110.77999877929688,632600.0
2018-06-20,110.55999755859375,110.72000122070312,109.36000061035156,110.7699966430664,576900.0
2018-06-21,110.6500015258789,111.18000030517578,110.08000183105469,111.37000274658203,689700.0
2018-06-22,111.69000244140625,112.04000091552734,111.16000366210938,112.30000305175781,911900.0
2018-06-25,114.2699966430664,113.13999938964844,112.5199966430664,116.48999786376953,1646800.0
2018-06-26,113.13999938964844,112.05000305175781,111.70999908447266,113.33999633789062,1399700.0
2018-06-27,109.55999755859375,110.36000061035156,107.45999908447266,110.83000183105469,1979200.0
2018-06-28,109.80999755859375,110.22000122070312,108.05999755859375,110.66000366210938,830600.0
2018-06-29,110.0,109.94000244140625,109.68000030517578,111.3499984741211,741900.0
2018-07-02,109.62000274658203,110.20999908447266,108.7300033569336,110.29000091552734,613500.0
2018-07-03,110.36000061035156,110.05999755859375,109.80000305175781,110.76000213623047,345500.0
2018-07-05,110.63999938964844,110.80999755859375,109.63999938964844,110.9800033569336,733200.0
2018-07-06,110.29000091552734,110.48999786376953,109.51000213623047,110.75,451700.0
2018-07-09,110.70999908447266,110.7699966430664,110.13999938964844,111.19000244140625,666700.0
2018-07-10,112.06999969482422,112.98999786376953,111.80000305175781,113.56999969482422,1264200.0
2018-07-11,112.69999694824219,113.58000183105469,112.27999877929688,113.87000274658203,1055300.0
2018-07-12,114.18000030517578,113.9000015258789,113.58999633789062,114.38999938964844,820200.0
2018-07-13,113.81999969482422,114.94999694824219,113.81999969482422,115.43000030517578,676300.0
2018-07-16,115.05999755859375,114.37999725341797,114.06999969482422,115.16999816894531,528900.0
2018-07-17,114.20999908447266,114.05999755859375,113.75,114.7300033569336,543500.0
2018-07-18,113.86000061035156,113.52999877929688,113.05999755859375,114.45999908447266,683300.0
2018-07-19,113.27999877929688,114.98999786376953,113.08000183105469,115.08999633789062,598900.0
2018-07-20,114.44000244140625,114.45999908447266,114.41000366210938,115.47000122070312,698900.0
2018-07-23,114.73999786376953,114.88999938964844,113.04000091552734,115.63999938964844,820200.0
2018-07-24,105.80999755859375,105.41999816894531,105.0,108.72000122070312,2872500.0
2018-07-25,105.75,107.66000366210938,104.44999694824219,107.93000030517578,2401600.0
2018-07-26,107.66000366210938,107.33999633789062,107.05999755859375,109.18000030517578,1108100.0
2018-07-27,107.06999969482422,106.72000122070312,106.4800033569336,108.04000091552734,1097600.0
2018-07-30,106.72000122070312,107.0199966430664,106.0999984741211,107.4000015258789,1059000.0
2018-07-31,107.16999816894531,107.72000122070312,106.77999877929688,107.94999694824219,653700.0
2018-08-01,107.9000015258789,106.94000244140625,106.8499984741211,108.22000122070312,550200.0
2018-08-02,106.83000183105469,108.5199966430664,106.5,108.69000244140625,633500.0
2018-08-03,106.83000183105469,108.83999633789062,106.83000183105469,109.0,602400.0
2018-08-06,108.5,108.37999725341797,108.16000366210938,108.95999908447266,713200.0
2018-08-07,108.5999984741211,108.83999633789062,108.25,108.87999725341797,784700.0
2018-08-08,108.91000366210938,108.06999969482422,107.4800033569336,109.13999938964844,826400.0
2018-08-09,108.41000366210938,108.4000015258789,108.0,108.93000030517578,728100.0
2018-08-10,108.08000183105469,108.52999877929688,108.08000183105469,108.95999908447266,636100.0
2018-08-13,108.44999694824219,108.41999816894531,108.08000183105469,108.9000015258789,408800.0
2018-08-14,108.23999786376953,108.6500015258789,108.11000061035156,109.08999633789062,446600.0
2018-08-15,108.25,108.37000274658203,107.62999725341797,108.66999816894531,600300.0
2018-08-16,108.98999786376953,109.54000091552734,108.69000244140625,109.83000183105469,740700.0
2018-08-17,109.5199966430664,111.44000244140625,109.30999755859375,112.37999725341797,2244500.0
2018-08-20,111.4800033569336,111.33999633789062,111.16000366210938,112.33999633789062,586200.0
2018-08-21,111.02999877929688,110.62999725341797,110.55000305175781,111.66000366210938,803900.0
2018-08-22,110.48999786376953,110.70999908447266,110.33999633789062,110.94999694824219,739500.0
2018-08-23,110.66999816894531,110.80000305175781,110.37000274658203,111.47000122070312,562800.0
2018-08-24,111.08999633789062,110.51000213623047,110.16999816894531,111.16999816894531,629300.0
2018-08-27,110.8499984741211,110.38999938964844,109.95999908447266,110.8499984741211,715400.0
2018-08-28,110.43000030517578,110.56999969482422,109.9000015258789,110.72000122070312,531600.0
2018-08-29,110.86000061035156,110.8499984741211,110.48999786376953,111.54000091552734,372200.0
2018-08-30,110.08999633789062,110.12999725341797,109.79000091552734,110.7300033569336,472000.0
2018-08-31,109.83999633789062,109.9800033569336,109.5199966430664,110.3499984741211,707800.0
2018-09-04,110.0199966430664,109.33000183105469,109.22000122070312,110.33000183105469,551400.0
2018-09-05,109.41999816894531,109.44999694824219,108.72000122070312,109.62000274658203,485300.0
2018-09-06,109.38999938964844,109.7699966430664,109.30000305175781,110.05999755859375,480700.0
2018-09-07,109.73999786376953,109.3499984741211,109.2300033569336,110.11000061035156,515600.0
2018-09-10,109.55999755859375,108.72000122070312,108.6500015258789,109.81999969482422,562800.0
2018-09-11,108.52999877929688,108.36000061035156,108.12999725341797,108.95999908447266,1137100.0
2018-09-12,108.05999755859375,107.9000015258789,107.51000213623047,109.29000091552734,1572100.0
2018-09-13,108.51000213623047,108.16999816894531,107.58999633789062,108.72000122070312,1312000.0
2018-09-14,108.5999984741211,108.19000244140625,108.0199966430664,109.05000305175781,851100.0
2018-09-17,108.4800033569336,107.62999725341797,107.41000366210938,108.4800033569336,1300800.0
