Date,dinopen,dinclose,dinlow,dinhigh,dinvolume
2008-04-07,46.16999816894531,47.93000030517578,45.959999084472656,48.689998626708984,224800.0
2008-04-08,47.4900016784668,47.650001525878906,47.47999954223633,48.189998626708984,272700.0
2008-04-09,47.79999923706055,48.25,47.5,48.709999084472656,489800.0
2008-04-10,48.0,48.939998626708984,47.130001068115234,48.970001220703125,208700.0
2008-04-11,50.560001373291016,50.54999923706055,48.220001220703125,51.08000183105469,434100.0
2008-04-14,50.400001525878906,48.77000045776367,48.599998474121094,51.790000915527344,179500.0
2008-04-15,49.0,50.29999923706055,48.86000061035156,50.29999923706055,339900.0
2008-04-16,50.81999969482422,50.849998474121094,50.279998779296875,51.7599983215332,600100.0
2008-04-17,50.56999969482422,50.93000030517578,49.52000045776367,51.349998474121094,127800.0
2008-04-18,51.400001525878906,51.59000015258789,50.13999938964844,51.810001373291016,248700.0
2008-04-21,51.2599983215332,49.75,49.56999969482422,51.56999969482422,270300.0
2008-04-22,49.70000076293945,48.29999923706055,47.650001525878906,49.77000045776367,266000.0
2008-04-23,49.130001068115234,47.939998626708984,46.88999938964844,49.130001068115234,133200.0
2008-04-24,47.939998626708984,49.9900016784668,47.86000061035156,50.41999816894531,295300.0
2008-04-25,49.59000015258789,51.599998474121094,49.18000030517578,51.869998931884766,347900.0
2008-04-28,48.06999969482422,48.70000076293945,45.560001373291016,50.11000061035156,546400.0
2008-04-29,49.310001373291016,48.93000030517578,48.56999969482422,49.709999084472656,269300.0
2008-04-30,48.88999938964844,46.63999938964844,46.380001068115234,49.650001525878906,258700.0
2008-05-01,46.689998626708984,47.72999954223633,46.599998474121094,49.209999084472656,465300.0
2008-05-02,48.20000076293945,48.150001525878906,47.650001525878906,49.9900016784668,455000.0
2008-05-05,49.0099983215332,49.16999816894531,47.869998931884766,50.04999923706055,286100.0
2008-05-06,48.790000915527344,49.099998474121094,48.22999954223633,49.86000061035156,239400.0
