Date,yopen,yclose,ylow,yhigh,yvolume
2014-03-14,397.3800048828125,399.510009765625,397.1000061035156,400.0,52100.0
2014-03-17,400.0,403.9800109863281,399.3299865722656,404.8599853515625,51700.0
2014-03-18,403.2900085449219,403.6700134277344,402.6199951171875,405.8399963378906,44300.0
2014-03-19,404.5799865722656,399.3500061035156,398.1400146484375,404.6499938964844,36800.0
2014-03-20,400.2300109863281,402.57000732421875,398.5,404.57000732421875,35200.0
2014-03-21,402.9800109863281,402.25,400.9700012207031,405.3399963378906,117400.0
2014-03-24,404.70001220703125,400.92999267578125,399.510009765625,405.79998779296875,50800.0
2014-03-25,403.9599914550781,401.2900085449219,399.8599853515625,403.9599914550781,45400.0
2014-03-26,403.75,403.9100036621094,403.0299987792969,406.489990234375,78800.0
2014-03-27,403.5,399.30999755859375,396.80999755859375,403.8999938964844,44100.0
2014-03-28,401.20001220703125,400.19000244140625,400.0799865722656,403.510009765625,27900.0
2014-03-31,400.8999938964844,407.3800048828125,400.0,408.20001220703125,69700.0
2014-04-01,406.760009765625,406.6300048828125,402.7300109863281,406.760009765625,49100.0
2014-04-02,408.010009765625,405.8599853515625,405.2200012207031,409.9800109863281,52900.0
2014-04-03,406.30999755859375,408.510009765625,404.42999267578125,408.54998779296875,63300.0
2014-04-04,409.510009765625,405.489990234375,404.04998779296875,409.760009765625,36700.0
2014-04-07,406.04998779296875,404.8999938964844,402.0299987792969,407.8699951171875,94300.0
2014-04-08,403.5,405.6099853515625,403.2099914550781,405.9599914550781,55500.0
2014-04-09,407.45001220703125,408.2300109863281,405.0199890136719,409.92999267578125,92000.0
2014-04-10,408.80999755859375,403.17999267578125,402.8900146484375,409.3699951171875,86900.0
2014-04-11,400.3800048828125,402.1199951171875,400.0199890136719,404.0299987792969,43100.0
2014-04-14,405.9100036621094,401.3399963378906,399.0,405.9100036621094,88600.0
2014-04-15,402.54998779296875,405.010009765625,402.0,407.0899963378906,108900.0
2014-04-16,407.7099914550781,409.2799987792969,405.45001220703125,409.8699951171875,150000.0
2014-04-17,409.6700134277344,409.1700134277344,407.1600036621094,409.6700134277344,94700.0
2014-04-21,409.5199890136719,409.2300109863281,406.239990234375,409.5199890136719,54200.0
2014-04-22,409.69000244140625,407.760009765625,407.1199951171875,410.9700012207031,64000.0
2014-04-23,407.2900085449219,408.2099914550781,405.5,408.57000732421875,55300.0
2014-04-24,408.9599914550781,409.95001220703125,408.45001220703125,410.79998779296875,47100.0
2014-04-25,409.4800109863281,405.2799987792969,405.0,409.69000244140625,33100.0
2014-04-28,406.0,404.7099914550781,403.4100036621094,407.95001220703125,41700.0
2014-04-29,405.20001220703125,405.3599853515625,404.0199890136719,407.20001220703125,25000.0
2014-04-30,403.79998779296875,407.9800109863281,403.04998779296875,408.0,46500.0
2014-05-01,408.8900146484375,412.17999267578125,408.3999938964844,414.0,47900.0
2014-05-02,412.9200134277344,413.6000061035156,411.3999938964844,419.5,82800.0
2014-05-05,412.80999755859375,415.9200134277344,411.07000732421875,417.05999755859375,66700.0
2014-05-06,414.05999755859375,408.6300048828125,405.4200134277344,414.1700134277344,134500.0
2014-05-07,409.3999938964844,414.3399963378906,407.79998779296875,414.3399963378906,72200.0
2014-05-08,415.0,413.32000732421875,413.19000244140625,417.04998779296875,41400.0
2014-05-09,411.6099853515625,414.6199951171875,411.07000732421875,415.0299987792969,37900.0
2014-05-12,416.4800109863281,419.30999755859375,414.6499938964844,422.5299987792969,58900.0
2014-05-13,419.30999755859375,420.0199890136719,416.54998779296875,420.69000244140625,83000.0
2014-05-14,419.75,415.04998779296875,413.54998779296875,419.75,55800.0
2014-05-15,412.75,407.82000732421875,406.989990234375,413.2799987792969,51800.0
2014-05-16,408.1099853515625,409.9200134277344,405.5799865722656,410.05999755859375,32600.0
2014-05-19,407.94000244140625,415.0799865722656,407.94000244140625,415.510009765625,38700.0
2014-05-20,415.55999755859375,414.0899963378906,411.67999267578125,415.70001220703125,47200.0
2014-05-21,414.739990234375,419.5199890136719,414.70001220703125,420.510009765625,86600.0
2014-05-22,419.04998779296875,423.6600036621094,417.2099914550781,424.0,55800.0
2014-05-23,423.6600036621094,425.3999938964844,423.54998779296875,427.4700012207031,69300.0
2014-05-27,426.5,422.1300048828125,420.7099914550781,428.6199951171875,50200.0
2014-05-28,423.4100036621094,419.8599853515625,419.2200012207031,423.4100036621094,65400.0
2014-05-29,420.3800048828125,423.0400085449219,419.17999267578125,423.0799865722656,30600.0
2014-05-30,421.92999267578125,421.1199951171875,420.3999938964844,423.67999267578125,60900.0
2014-06-02,422.010009765625,425.17999267578125,417.8900146484375,425.17999267578125,38600.0
2014-06-03,424.8500061035156,419.8299865722656,418.4200134277344,424.8500061035156,46800.0
2014-06-04,418.7300109863281,426.7200012207031,418.7300109863281,426.92999267578125,67100.0
2014-06-05,426.8299865722656,430.9100036621094,423.7799987792969,431.69000244140625,36800.0
2014-06-06,431.3399963378906,430.69000244140625,430.0799865722656,435.0799865722656,50400.0
2014-06-09,430.8900146484375,429.760009765625,428.5400085449219,430.8900146484375,32300.0
2014-06-10,429.8800048828125,430.989990234375,427.3299865722656,431.1499938964844,36800.0
2014-06-11,430.3999938964844,429.80999755859375,428.1700134277344,431.0299987792969,26600.0
2014-06-12,428.510009765625,430.1099853515625,426.5799865722656,430.3299865722656,34700.0
2014-06-13,430.0,429.9100036621094,426.79998779296875,430.1400146484375,34000.0
2014-06-16,429.6499938964844,427.0199890136719,423.3399963378906,429.6499938964844,41200.0
2014-06-17,427.8500061035156,432.5400085449219,426.260009765625,435.32000732421875,73300.0
2014-06-18,431.42999267578125,431.1700134277344,428.70001220703125,434.6300048828125,39200.0
2014-06-19,432.0,431.5,429.0899963378906,432.29998779296875,30000.0
2014-06-20,433.1300048828125,430.9800109863281,427.57000732421875,433.1300048828125,118200.0
2014-06-23,430.1499938964844,430.8599853515625,427.1199951171875,431.30999755859375,26700.0
2014-06-24,430.17999267578125,431.8999938964844,428.4100036621094,436.05999755859375,64700.0
2014-06-25,431.6000061035156,431.07000732421875,429.4700012207031,432.5899963378906,50000.0
2014-06-26,431.5299987792969,431.79998779296875,429.3399963378906,434.260009765625,31200.0
2014-06-27,431.6400146484375,435.0799865722656,430.9100036621094,435.3599853515625,55700.0
2014-06-30,435.8599853515625,438.1199951171875,432.760009765625,438.5,51700.0
2014-07-01,439.4800109863281,443.510009765625,439.4800109863281,445.989990234375,84300.0
2014-07-02,443.95001220703125,439.75,438.54998779296875,444.010009765625,34100.0
2014-07-03,442.239990234375,440.45001220703125,440.3599853515625,443.6000061035156,19000.0
2014-07-07,439.989990234375,437.1199951171875,435.1199951171875,440.44000244140625,37600.0
2014-07-08,436.9599914550781,437.1000061035156,432.07000732421875,437.6400146484375,56800.0
2014-07-09,437.5799865722656,436.55999755859375,434.0400085449219,438.5,39500.0
2014-07-10,431.8599853515625,436.9700012207031,430.0,438.8800048828125,38200.0
2014-07-11,438.0400085449219,436.3999938964844,434.3999938964844,439.5299987792969,30300.0
2014-07-14,439.1499938964844,437.19000244140625,436.5,440.7900085449219,26900.0
2014-07-15,438.6700134277344,438.1700134277344,436.4599914550781,438.9700012207031,30100.0
2014-07-16,440.2699890136719,433.54998779296875,432.45001220703125,440.9200134277344,77400.0
2014-07-17,433.05999755859375,429.3999938964844,428.760009765625,436.6199951171875,37200.0
2014-07-18,431.4700012207031,431.739990234375,429.30999755859375,432.70001220703125,48400.0
2014-07-21,430.8999938964844,430.510009765625,428.239990234375,432.4800109863281,39600.0
2014-07-22,433.3399963378906,428.4100036621094,428.0400085449219,433.3399963378906,39400.0
2014-07-23,430.260009765625,428.9200134277344,427.29998779296875,430.260009765625,42200.0
2014-07-24,430.19000244140625,428.9599914550781,426.6000061035156,430.19000244140625,34000.0
2014-07-25,427.79998779296875,425.6300048828125,423.3800048828125,428.4599914550781,32200.0
2014-07-28,425.739990234375,424.760009765625,420.70001220703125,425.739990234375,63200.0
2014-07-29,424.989990234375,419.6000061035156,419.0400085449219,425.0199890136719,44600.0
2014-07-30,420.239990234375,417.239990234375,417.0899963378906,420.75,34000.0
2014-07-31,416.0199890136719,413.8500061035156,411.04998779296875,416.5,65400.0
2014-08-01,414.25,417.04998779296875,413.6400146484375,418.5,100500.0
2014-08-04,414.7799987792969,417.67999267578125,412.6000061035156,417.8999938964844,84800.0
2014-08-05,417.1000061035156,417.2799987792969,414.4599914550781,424.0199890136719,80400.0
2014-08-06,416.3900146484375,417.739990234375,415.9700012207031,421.8900146484375,63600.0
2014-08-07,418.0400085449219,415.8500061035156,414.1000061035156,418.8800048828125,49100.0
2014-08-08,414.9800109863281,417.9700012207031,412.0799865722656,418.7799987792969,43100.0
2014-08-11,419.6300048828125,418.0799865722656,417.75,420.25,38500.0
2014-08-12,415.8800048828125,419.8500061035156,415.8800048828125,420.2699890136719,34700.0
2014-08-13,421.6499938964844,421.260009765625,418.2300109863281,421.6499938964844,86100.0
2014-08-14,421.3500061035156,423.6300048828125,421.3500061035156,423.94000244140625,85400.0
2014-08-15,423.0,422.0199890136719,418.8399963378906,424.7699890136719,32200.0
2014-08-18,426.54998779296875,424.2900085449219,423.0299987792969,427.8500061035156,35300.0
2014-08-19,424.0,424.3699951171875,422.8800048828125,426.7200012207031,41100.0
2014-08-20,423.04998779296875,424.760009765625,421.0799865722656,424.8900146484375,31600.0
2014-08-21,426.1199951171875,425.739990234375,423.739990234375,426.45001220703125,54300.0
2014-08-22,424.19000244140625,425.32000732421875,422.6300048828125,425.79998779296875,32300.0
2014-08-25,426.489990234375,428.1300048828125,425.69000244140625,429.1600036621094,27500.0
2014-08-26,428.8900146484375,430.0899963378906,427.2699890136719,430.95001220703125,27600.0
2014-08-27,429.70001220703125,430.8599853515625,428.79998779296875,431.9800109863281,26000.0
2014-08-28,430.3399963378906,428.3900146484375,427.760009765625,431.3800048828125,34300.0
2014-08-29,428.79998779296875,431.1300048828125,427.239990234375,432.010009765625,31800.0
2014-09-02,431.0,433.4599914550781,431.0,436.19000244140625,57100.0
2014-09-03,433.1199951171875,433.7099914550781,432.0799865722656,435.6400146484375,40400.0
2014-09-04,433.510009765625,429.7799987792969,429.6300048828125,433.989990234375,34500.0
2014-09-05,434.92999267578125,430.3500061035156,428.9700012207031,434.92999267578125,28400.0
2014-09-08,428.8699951171875,429.69000244140625,426.82000732421875,430.17999267578125,28500.0
2014-09-09,428.1199951171875,427.4700012207031,426.7900085449219,429.1099853515625,37900.0
