Date,fcelopen,fcelclose,fcellow,fcelhigh,fcelvolume
2016-10-25,3.8499999046325684,3.75,3.549999952316284,3.8499999046325684,3604900.0
2016-10-26,3.700000047683716,3.700000047683716,3.6500000953674316,3.75,1164800.0
2016-10-27,4.0,3.6500000953674316,3.6500000953674316,4.099999904632568,1197300.0
2016-10-28,3.6500000953674316,3.549999952316284,3.5,3.700000047683716,887900.0
2016-10-31,3.5,3.3499999046325684,3.3499999046325684,3.549999952316284,676400.0
2016-11-01,3.3499999046325684,3.0,2.700000047683716,3.4000000953674316,2021000.0
2016-11-02,3.0,3.0999999046325684,3.0,3.1500000953674316,724000.0
2016-11-03,3.1500000953674316,2.799999952316284,2.799999952316284,3.200000047683716,655400.0
2016-11-04,2.8499999046325684,2.950000047683716,2.8499999046325684,3.049999952316284,623000.0
2016-11-07,3.049999952316284,2.950000047683716,2.9000000953674316,3.0999999046325684,428100.0
2016-11-08,2.9000000953674316,3.0,2.8499999046325684,3.0,357300.0
2016-11-09,2.799999952316284,3.049999952316284,2.75,3.049999952316284,581200.0
2016-11-10,3.3499999046325684,2.950000047683716,2.9000000953674316,3.3499999046325684,813600.0
2016-11-11,2.950000047683716,3.0999999046325684,2.799999952316284,3.0999999046325684,699400.0
2016-11-14,3.0999999046325684,3.1500000953674316,3.0999999046325684,3.200000047683716,461800.0
2016-11-15,3.1500000953674316,3.1500000953674316,3.0999999046325684,3.25,446000.0
2016-11-16,3.200000047683716,3.049999952316284,3.049999952316284,3.200000047683716,315600.0
2016-11-17,3.0999999046325684,3.0,3.0,3.1500000953674316,440100.0
2016-11-18,3.0999999046325684,3.0999999046325684,3.049999952316284,3.1500000953674316,315600.0
2016-11-21,3.0999999046325684,3.049999952316284,3.049999952316284,3.1500000953674316,471300.0
2016-11-22,3.0999999046325684,2.950000047683716,2.9000000953674316,3.1500000953674316,547800.0
2016-11-23,2.9000000953674316,2.880000114440918,2.8499999046325684,2.940000057220459,344200.0
2016-11-25,2.8499999046325684,2.9000000953674316,2.8499999046325684,2.9000000953674316,196000.0
2016-11-28,2.8499999046325684,2.75,2.75,2.9000000953674316,405000.0
2016-11-29,2.75,2.200000047683716,2.0199999809265137,2.799999952316284,2311600.0
2016-11-30,2.25,2.25,2.1500000953674316,2.299999952316284,1045200.0
