Date,zbhopen,zbhclose,zbhlow,zbhhigh,zbhvolume
2017-05-26,119.44999694824219,119.2300033569336,118.91000366210938,119.6500015258789,648100.0
2017-05-30,118.62000274658203,118.43000030517578,118.0199966430664,119.05000305175781,520700.0
2017-05-31,118.43000030517578,119.20999908447266,117.5999984741211,119.41000366210938,817400.0
2017-06-01,119.68000030517578,122.66999816894531,119.30999755859375,123.05000305175781,1632700.0
2017-06-02,121.75,123.94000244140625,121.75,124.3499984741211,1394200.0
2017-06-05,124.33999633789062,123.93000030517578,123.19000244140625,124.33999633789062,1030100.0
2017-06-06,123.5,124.16999816894531,123.5,124.44999694824219,1118700.0
2017-06-07,124.5,124.3499984741211,123.9000015258789,124.7300033569336,835700.0
2017-06-08,124.3499984741211,125.16999816894531,123.9000015258789,125.55999755859375,1028600.0
2017-06-09,125.19000244140625,125.01000213623047,123.73999786376953,125.94000244140625,1332200.0
2017-06-12,124.58000183105469,125.0,122.91999816894531,125.08999633789062,1023800.0
2017-06-13,124.76000213623047,125.47000122070312,124.52999877929688,125.7699966430664,648400.0
2017-06-14,125.97000122070312,125.5999984741211,124.95999908447266,126.0,803400.0
2017-06-15,124.86000061035156,125.83999633789062,124.41999816894531,126.19999694824219,851400.0
2017-06-16,126.19999694824219,125.91999816894531,125.43000030517578,126.37999725341797,1084000.0
2017-06-19,126.22000122070312,127.08999633789062,125.80000305175781,127.2699966430664,912400.0
2017-06-20,127.26000213623047,127.22000122070312,127.08999633789062,127.88999938964844,869700.0
2017-06-21,127.58999633789062,128.52000427246094,126.8499984741211,128.9499969482422,1092900.0
2017-06-22,128.5399932861328,129.38999938964844,128.5399932861328,130.1999969482422,1143500.0
2017-06-23,129.64999389648438,129.08999633789062,128.86000061035156,129.64999389648438,3304300.0
2017-06-26,129.33999633789062,129.05999755859375,128.47999572753906,129.82000732421875,1016900.0
2017-06-27,128.82000732421875,128.25,127.77999877929688,129.11000061035156,926800.0
2017-06-28,129.14999389648438,128.50999450683594,128.3699951171875,129.4199981689453,1121600.0
2017-06-29,128.94000244140625,127.88999938964844,127.0,128.9499969482422,1311000.0
2017-06-30,127.88999938964844,128.39999389648438,127.88999938964844,128.9199981689453,742400.0
2017-07-03,129.00999450683594,128.3800048828125,128.1999969482422,129.10000610351562,546100.0
2017-07-05,128.5500030517578,127.7699966430664,126.31999969482422,128.97999572753906,1859200.0
2017-07-06,127.12000274658203,125.62999725341797,125.4000015258789,127.52999877929688,1532400.0
2017-07-07,125.94999694824219,127.11000061035156,125.4800033569336,127.69999694824219,1035700.0
2017-07-10,127.12000274658203,127.4000015258789,126.87000274658203,127.70999908447266,1025600.0
2017-07-11,127.38999938964844,126.48999786376953,126.47000122070312,127.5,1188400.0
2017-07-12,128.4600067138672,126.36000061035156,125.62000274658203,128.99000549316406,3141600.0
2017-07-13,126.52999877929688,128.97999572753906,125.8499984741211,130.97000122070312,4104100.0
2017-07-14,129.25999450683594,132.49000549316406,129.2100067138672,133.08999633789062,1818700.0
2017-07-17,132.50999450683594,132.61000061035156,131.89999389648438,133.49000549316406,943300.0
2017-07-18,132.27999877929688,131.17999267578125,130.69000244140625,132.6199951171875,1516000.0
2017-07-19,131.35000610351562,131.07000732421875,130.8699951171875,132.1999969482422,1434000.0
2017-07-20,131.39999389648438,129.47000122070312,129.33999633789062,131.47999572753906,2567900.0
2017-07-21,129.5500030517578,129.61000061035156,129.1699981689453,130.2100067138672,912900.0
2017-07-24,129.82000732421875,128.7899932861328,127.9000015258789,129.9499969482422,1813300.0
2017-07-25,129.1999969482422,128.77000427246094,128.19000244140625,129.44000244140625,1214000.0
2017-07-26,128.82000732421875,128.6999969482422,128.5,129.3000030517578,1322900.0
2017-07-27,127.58999633789062,125.44000244140625,124.88999938964844,127.5999984741211,3787000.0
2017-07-28,124.76000213623047,123.77999877929688,123.66000366210938,124.97000122070312,1523100.0
2017-07-31,123.69999694824219,121.31999969482422,121.06999969482422,123.69999694824219,2257400.0
2017-08-01,121.80999755859375,120.31999969482422,120.25,121.80999755859375,2160500.0
