Date,lmtopen,lmtclose,lmtlow,lmthigh,lmtvolume
2017-03-03,267.07000732421875,267.760009765625,266.25,268.3299865722656,771100.0
2017-03-06,267.42999267578125,267.7200012207031,266.79998779296875,268.4800109863281,778300.0
2017-03-07,267.30999755859375,269.0400085449219,267.29998779296875,269.3800048828125,884000.0
2017-03-08,269.0,267.7200012207031,267.30999755859375,269.04998779296875,818000.0
2017-03-09,268.0,268.67999267578125,267.5400085449219,269.0,729400.0
2017-03-10,269.8999938964844,268.6600036621094,267.2699890136719,269.8999938964844,687200.0
2017-03-13,268.510009765625,269.19000244140625,268.0,269.260009765625,819100.0
2017-03-14,268.92999267578125,268.0,267.3800048828125,269.1499938964844,701600.0
2017-03-15,268.0,269.44000244140625,267.75,269.8699951171875,748500.0
2017-03-16,270.67999267578125,267.94000244140625,267.1300048828125,270.67999267578125,982200.0
2017-03-17,268.7799987792969,271.9800109863281,268.29998779296875,272.17999267578125,2127700.0
2017-03-20,272.1600036621094,272.0299987792969,271.6300048828125,274.57000732421875,1325000.0
2017-03-21,272.3500061035156,269.0,268.3599853515625,273.0199890136719,1359600.0
2017-03-22,268.8299865722656,269.4200134277344,267.9100036621094,270.2799987792969,1021200.0
2017-03-23,269.4200134277344,269.5,268.9800109863281,271.4700012207031,803800.0
2017-03-24,269.8299865722656,267.4200134277344,266.7300109863281,269.9800109863281,870500.0
2017-03-27,265.6499938964844,267.1600036621094,264.0400085449219,267.8800048828125,994300.0
2017-03-28,266.6300048828125,269.1199951171875,266.0199890136719,270.7900085449219,1021300.0
2017-03-29,268.9200134277344,268.239990234375,267.260009765625,268.9200134277344,814100.0
2017-03-30,268.55999755859375,270.5400085449219,268.2099914550781,270.92999267578125,562200.0
2017-03-31,270.4700012207031,267.6000061035156,267.6000061035156,270.4700012207031,1214400.0
2017-04-03,267.6000061035156,268.67999267578125,267.3500061035156,269.29998779296875,799100.0
2017-04-04,268.5400085449219,269.55999755859375,268.25,270.04998779296875,567900.0
2017-04-05,269.8399963378906,266.9800109863281,266.80999755859375,270.95001220703125,949500.0
2017-04-06,266.8699951171875,267.1099853515625,266.32000732421875,267.7900085449219,740400.0
2017-04-07,272.3399963378906,270.2300109863281,268.17999267578125,272.3399963378906,1020800.0
2017-04-10,270.19000244140625,269.0299987792969,268.8299865722656,271.3599853515625,789300.0
2017-04-11,269.0,270.2699890136719,268.17999267578125,270.5199890136719,744400.0
2017-04-12,269.8900146484375,268.510009765625,268.0400085449219,270.4800109863281,955400.0
2017-04-13,268.1400146484375,268.0,268.0,270.2799987792969,764000.0
