Date,oxyopen,oxyclose,oxylow,oxyhigh,oxyvolume
2014-06-27,98.00968170166016,97.92345428466797,96.71630096435547,98.27793884277344,4403800.0
2014-06-30,97.61687469482422,98.32584381103516,97.61687469482422,98.82403564453125,4274800.0
2014-07-01,99.41802978515625,98.48871612548828,98.41207122802734,99.67671203613281,3459400.0
2014-07-02,98.43122863769531,97.95220184326172,97.03246307373047,98.6132583618164,5580300.0
2014-07-03,98.03842163085938,97.8851318359375,97.50190734863281,98.44081115722656,2520400.0
2014-07-07,97.98094177246094,97.32946014404297,97.04203796386719,98.02884674072266,3006500.0
2014-07-08,97.22407531738281,97.6072998046875,97.07078552246094,98.09590911865234,2660500.0
2014-07-09,97.7893295288086,97.67436218261719,97.19532775878906,98.0000991821289,2356600.0
2014-07-10,96.86959075927734,96.19894409179688,95.70075225830078,97.2911376953125,5036200.0
2014-07-11,96.33307647705078,96.2660140991211,95.5474624633789,96.4959487915039,3252400.0
2014-07-14,96.71630096435547,96.9749755859375,96.53427124023438,97.13784790039062,2726000.0
2014-07-15,97.05162048339844,95.34627532958984,95.10675811767578,97.27197265625,3968600.0
2014-07-16,95.64327239990234,97.46358489990234,95.64327239990234,97.63603973388672,3237100.0
2014-07-17,97.6072998046875,95.75823974609375,95.64327239990234,97.8851318359375,2903600.0
2014-07-18,95.83488464355469,96.69713592529297,95.32711029052734,96.7737808227539,3536900.0
2014-07-21,96.91749572753906,96.36181640625,95.83488464355469,96.91749572753906,2720300.0
2014-07-22,96.72588348388672,97.02288055419922,96.51510620117188,97.73184204101562,2682100.0
2014-07-23,97.00371551513672,97.33904266357422,96.50552368164062,97.46358489990234,1767500.0
2014-07-24,97.27197265625,96.64923858642578,96.14146423339844,97.32946014404297,2455600.0
2014-07-25,96.17020416259766,95.89236450195312,95.80614471435547,96.69713592529297,2703300.0
2014-07-28,95.99775695800781,95.6336898803711,95.32711029052734,96.3809814453125,2443800.0
2014-07-29,95.37501525878906,95.16423797607422,95.09717559814453,95.7486572265625,2355100.0
2014-07-30,95.57621002197266,93.99540710449219,93.96666717529297,96.10314178466797,4434400.0
2014-07-31,94.68521118164062,93.6121826171875,93.39183044433594,94.9343032836914,5682600.0
2014-08-01,93.54512023925781,93.78462982177734,92.75950622558594,94.78101348876953,5414600.0
2014-08-04,94.61814880371094,96.52468872070312,94.48401641845703,96.98455810546875,5348300.0
2014-08-05,96.03607940673828,94.9534683227539,94.28282165527344,96.05523681640625,4921500.0
2014-08-06,94.77143859863281,95.24088287353516,94.57982635498047,96.33307647705078,3035100.0
2014-08-07,95.37501525878906,94.16785430908203,93.66966247558594,95.5666275024414,3405800.0
2014-08-08,94.51275634765625,95.61453247070312,94.23492431640625,95.66242980957031,3137300.0
2014-08-11,95.99775695800781,95.58578491210938,95.34627532958984,96.81210327148438,2579800.0
2014-08-12,95.23130798339844,95.62410736083984,94.89598083496094,96.17020416259766,3111200.0
2014-08-13,95.79656219482422,95.79656219482422,95.03011322021484,96.72588348388672,2561500.0
2014-08-14,96.08397674560547,95.77739715576172,95.55704498291016,96.59175109863281,3613200.0
2014-08-15,95.83488464355469,96.2468490600586,95.16423797607422,96.39055633544922,4465300.0
2014-08-18,96.55342864990234,96.3809814453125,95.3175277709961,96.677978515625,3099700.0
2014-08-19,96.84085083007812,97.53065490722656,96.42887878417969,97.82765197753906,3300200.0
2014-08-20,97.1091079711914,97.4731674194336,96.68756103515625,97.62645721435547,2003100.0
2014-08-21,97.4923324584961,97.98094177246094,97.28155517578125,98.2012939453125,2782400.0
2014-08-22,97.95220184326172,98.14381408691406,97.67436218261719,98.50787353515625,3195100.0
2014-08-25,98.57493591308594,98.9485855102539,98.36416625976562,99.20726013183594,3328000.0
2014-08-26,99.2264175415039,98.82403564453125,98.77613067626953,99.35096740722656,2387400.0
2014-08-27,99.07312774658203,99.04438781738281,98.6324234008789,99.3318099975586,2331400.0
2014-08-28,98.91026306152344,99.6479721069336,98.76654815673828,100.09825897216797,2932600.0
