Date,bgopen,bgclose,bglow,bghigh,bgvolume
2008-04-04,94.55999755859375,96.38999938964844,92.0,96.81999969482422,3714200.0
2008-04-07,96.6500015258789,102.87000274658203,96.6500015258789,104.97000122070312,4776100.0
2008-04-08,101.5,103.11000061035156,101.36000061035156,104.7300033569336,2202300.0
2008-04-09,104.48999786376953,101.25,100.2699966430664,104.94000244140625,3332300.0
2008-04-10,103.06999969482422,104.91999816894531,100.5,104.95999908447266,1897100.0
2008-04-11,103.98999786376953,103.37000274658203,102.4000015258789,104.75,1801000.0
2008-04-14,103.0,109.41999816894531,103.0,109.98999786376953,2599100.0
2008-04-15,110.18000030517578,108.58000183105469,107.48999786376953,111.7699966430664,1882300.0
2008-04-16,111.5999984741211,120.33999633789062,110.62999725341797,122.72000122070312,4882300.0
2008-04-17,118.29000091552734,117.0,114.80000305175781,120.0,3278200.0
2008-04-18,116.75,117.13999938964844,115.33000183105469,119.38999938964844,3089500.0
2008-04-21,117.8499984741211,119.0,115.33999633789062,119.8499984741211,2623300.0
2008-04-22,119.98999786376953,118.18000030517578,116.81999969482422,119.98999786376953,2527000.0
2008-04-23,119.12000274658203,119.69000244140625,117.12000274658203,120.0,3006600.0
2008-04-24,121.0,120.55999755859375,111.05000305175781,123.44000244140625,6201700.0
2008-04-25,121.36000061035156,123.27999877929688,117.2300033569336,123.58000183105469,2530300.0
2008-04-28,122.9800033569336,118.70999908447266,118.06999969482422,122.9800033569336,2286200.0
2008-04-29,117.0999984741211,113.0,111.91000366210938,118.30999755859375,2815400.0
2008-04-30,112.88999938964844,114.08999633789062,111.80999755859375,116.25,3013400.0
2008-05-01,113.98999786376953,110.61000061035156,106.56999969482422,113.98999786376953,2690200.0
2008-05-02,113.0,111.31999969482422,107.9000015258789,113.05999755859375,1904100.0
2008-05-05,111.93000030517578,115.91000366210938,111.7300033569336,116.62000274658203,2233200.0
2008-05-06,116.48999786376953,115.23999786376953,113.66999816894531,117.80999755859375,1686000.0
2008-05-07,115.69999694824219,117.05000305175781,114.66000366210938,118.0,2604000.0
2008-05-08,119.08000183105469,118.73999786376953,115.22000122070312,119.08000183105469,1407100.0
2008-05-09,118.4000015258789,120.06999969482422,117.88999938964844,120.5,1614600.0
2008-05-12,119.55999755859375,121.11000061035156,118.2699966430664,122.22000122070312,2139300.0
2008-05-13,120.0199966430664,116.7300033569336,113.83999633789062,120.5,3266200.0
2008-05-14,116.33000183105469,115.38999938964844,113.75,119.43000030517578,2753300.0
2008-05-15,116.11000061035156,117.33000183105469,115.22000122070312,117.95999908447266,1464100.0
2008-05-16,118.97000122070312,124.4800033569336,118.0999984741211,124.94000244140625,3109700.0
2008-05-19,124.37000274658203,122.62999725341797,121.19999694824219,127.25,2392500.0
2008-05-20,123.38999938964844,122.33999633789062,119.52999877929688,123.4000015258789,1510900.0
2008-05-21,123.36000061035156,118.44000244140625,117.81999969482422,123.36000061035156,1763600.0
2008-05-22,117.80999755859375,117.94999694824219,117.0,120.36000061035156,1113800.0
2008-05-23,117.91999816894531,117.0199966430664,115.86000061035156,119.30000305175781,1575400.0
2008-05-27,116.44999694824219,117.06999969482422,114.51000213623047,117.7300033569336,994600.0
2008-05-28,116.97000122070312,117.9000015258789,115.55999755859375,118.4800033569336,1874300.0
2008-05-29,117.55999755859375,118.3499984741211,117.55999755859375,119.80000305175781,2232700.0
2008-05-30,118.26000213623047,119.37000274658203,117.9800033569336,120.55000305175781,1287900.0
2008-06-02,120.19999694824219,120.1500015258789,118.8499984741211,121.83000183105469,1434300.0
2008-06-03,124.08000183105469,121.56999969482422,120.41000366210938,124.8499984741211,2145000.0
2008-06-04,121.20999908447266,120.38999938964844,118.70999908447266,124.97000122070312,1933500.0
2008-06-05,120.41000366210938,122.48999786376953,118.44999694824219,122.48999786376953,1654000.0
2008-06-06,122.41999816894531,118.2699966430664,117.93000030517578,122.41999816894531,1076900.0
2008-06-09,119.94999694824219,122.1500015258789,119.7699966430664,123.9800033569336,2056600.0
2008-06-10,121.38999938964844,121.93000030517578,120.25,122.79000091552734,1420300.0
2008-06-11,123.45999908447266,122.4000015258789,120.06999969482422,123.94000244140625,3268700.0
2008-06-12,122.19999694824219,119.7699966430664,114.63999938964844,123.43000030517578,3315700.0
2008-06-13,119.44999694824219,117.8499984741211,116.0,120.48999786376953,2393500.0
2008-06-16,117.8499984741211,121.80999755859375,117.38999938964844,122.2300033569336,2213500.0
2008-06-17,122.87999725341797,122.73999786376953,120.41999816894531,124.0,1632400.0
2008-06-18,122.69000244140625,119.86000061035156,118.0,122.80999755859375,1565300.0
2008-06-19,120.95999908447266,121.08000183105469,118.13999938964844,122.3499984741211,1972100.0
2008-06-20,120.55999755859375,122.16999816894531,119.4000015258789,123.0,1748100.0
2008-06-23,126.06999969482422,110.69999694824219,106.2699966430664,127.63999938964844,19111600.0
2008-06-24,113.1500015258789,109.7300033569336,108.54000091552734,113.87000274658203,5201000.0
2008-06-25,109.72000122070312,107.5,106.12000274658203,111.72000122070312,3238900.0
2008-06-26,106.52999877929688,105.80999755859375,105.08999633789062,108.94999694824219,2200900.0
2008-06-27,104.75,105.5199966430664,104.7300033569336,107.29000091552734,1695000.0
2008-06-30,107.93000030517578,107.69000244140625,106.3499984741211,109.19000244140625,2671300.0
2008-07-01,105.69000244140625,105.04000091552734,102.29000091552734,106.0,2382100.0
2008-07-02,103.26000213623047,100.69999694824219,100.08999633789062,106.37000274658203,2209900.0
2008-07-03,100.01000213623047,97.12999725341797,93.55000305175781,100.98999786376953,3140100.0
2008-07-07,97.75,99.12000274658203,97.5199966430664,100.41000366210938,3041600.0
2008-07-08,100.41999816894531,100.62999725341797,97.4000015258789,101.25,3294400.0
2008-07-09,101.0999984741211,100.75,100.51000213623047,104.5,2632500.0
2008-07-10,102.19999694824219,100.52999877929688,99.0999984741211,102.48999786376953,1707000.0
2008-07-11,99.22000122070312,96.12000274658203,95.0,99.5199966430664,2977100.0
2008-07-14,98.37999725341797,96.94999694824219,95.48999786376953,98.41999816894531,1425800.0
2008-07-15,97.08000183105469,97.44999694824219,95.55999755859375,99.0,1959500.0
2008-07-16,97.9000015258789,100.16999816894531,95.93000030517578,100.16999816894531,2077400.0
2008-07-17,100.93000030517578,100.91000366210938,98.62000274658203,102.0,1963700.0
2008-07-18,100.94000244140625,98.79000091552734,97.79000091552734,101.58000183105469,1360500.0
2008-07-21,99.0999984741211,98.87000274658203,94.55000305175781,100.05000305175781,2530900.0
2008-07-22,98.98999786376953,99.04000091552734,97.7699966430664,99.9000015258789,1465500.0
2008-07-23,99.06999969482422,99.31999969482422,97.0,99.58999633789062,2433900.0
2008-07-24,104.26000213623047,97.06999969482422,95.91000366210938,106.66999816894531,6594500.0
2008-07-25,99.73999786376953,100.80999755859375,96.45999908447266,101.87000274658203,2268700.0
2008-07-28,99.72000122070312,99.52999877929688,98.63999938964844,101.5,1586900.0
2008-07-29,100.0,97.4000015258789,95.80999755859375,100.26000213623047,1957900.0
2008-07-30,98.0999984741211,101.9000015258789,98.0999984741211,102.48999786376953,1797800.0
2008-07-31,102.87999725341797,98.91999816894531,98.0,102.87999725341797,1326900.0
2008-08-01,100.25,98.18000030517578,96.23999786376953,100.25,2333100.0
2008-08-04,97.68000030517578,93.52999877929688,92.79000091552734,97.91999816894531,2594400.0
2008-08-05,92.87999725341797,91.5,88.75,93.44999694824219,3931200.0
2008-08-06,91.98999786376953,93.37999725341797,90.04000091552734,94.11000061035156,2453300.0
2008-08-07,93.9000015258789,93.11000061035156,91.69000244140625,93.9000015258789,1564600.0
2008-08-08,92.4000015258789,93.08000183105469,91.08000183105469,93.86000061035156,1932400.0
2008-08-11,93.0,90.8499984741211,90.38999938964844,93.01000213623047,2490400.0
2008-08-12,91.25,94.51000213623047,91.04000091552734,95.36000061035156,2028700.0
2008-08-13,94.62999725341797,97.69999694824219,93.20999908447266,98.75,2246000.0
2008-08-14,96.08999633789062,94.16999816894531,94.11000061035156,97.54000091552734,1761900.0
2008-08-15,94.37999725341797,90.2699966430664,89.23999786376953,94.37999725341797,2506800.0
2008-08-18,90.9800033569336,89.58000183105469,88.62000274658203,92.2699966430664,2048100.0
2008-08-19,90.25,92.16999816894531,89.1500015258789,92.98999786376953,1660100.0
2008-08-20,93.0,92.69999694824219,91.62999725341797,93.97000122070312,1080400.0
2008-08-21,91.68000030517578,92.23999786376953,91.51000213623047,93.0,1630500.0
2008-08-22,91.61000061035156,91.43000030517578,90.01000213623047,92.08999633789062,1725600.0
2008-08-25,91.37000274658203,89.33000183105469,88.72000122070312,91.37000274658203,1137600.0
2008-08-26,90.37000274658203,90.20999908447266,89.41999816894531,90.5999984741211,1393000.0
2008-08-27,91.19000244140625,91.16000366210938,90.58999633789062,91.9800033569336,899900.0
2008-08-28,91.55999755859375,90.68000030517578,89.05000305175781,92.04000091552734,1508400.0
2008-08-29,90.33000183105469,89.36000061035156,89.25,91.48999786376953,1000600.0
2008-09-02,87.95999908447266,85.01000213623047,84.0,88.93000030517578,2104000.0
2008-09-03,83.83000183105469,83.69000244140625,82.9000015258789,86.6500015258789,2833100.0
2008-09-04,82.97000122070312,80.36000061035156,80.22000122070312,85.38999938964844,2764600.0
2008-09-05,80.0,82.48999786376953,78.69000244140625,82.75,3159600.0
2008-09-08,83.75,79.94999694824219,79.25,84.94999694824219,1810100.0
2008-09-09,79.81999969482422,71.38999938964844,70.16000366210938,79.81999969482422,5835500.0
2008-09-10,71.51000213623047,73.05000305175781,70.44000244140625,75.16000366210938,4435400.0
2008-09-11,72.0,71.83999633789062,70.08999633789062,72.11000061035156,4789100.0
2008-09-12,71.80999755859375,75.86000061035156,71.18000030517578,76.30999755859375,3844200.0
2008-09-15,73.0199966430664,71.18000030517578,70.88999938964844,74.20999908447266,1676900.0
2008-09-16,69.80000305175781,72.26000213623047,67.33999633789062,72.87999725341797,4348600.0
2008-09-17,72.08000183105469,71.48999786376953,70.30000305175781,72.98999786376953,3084600.0
2008-09-18,72.45999908447266,69.7699966430664,67.55999755859375,73.18000030517578,3516000.0
2008-09-19,72.80000305175781,72.94999694824219,69.6500015258789,73.5,4062000.0
2008-09-22,74.1500015258789,72.94000244140625,70.58000183105469,74.5,2380600.0
2008-09-23,72.38999938964844,72.70999908447266,71.47000122070312,76.0,2831200.0
2008-09-24,74.3499984741211,74.3499984741211,72.51000213623047,75.80000305175781,1632000.0
2008-09-25,73.91000366210938,73.37999725341797,73.19999694824219,75.5,1669000.0
2008-09-26,71.2699966430664,69.87000274658203,69.44999694824219,72.69000244140625,2284300.0
2008-09-29,69.5199966430664,60.099998474121094,58.83000183105469,69.5199966430664,4542600.0
2008-09-30,61.849998474121094,63.18000030517578,60.0,64.79000091552734,2715400.0
2008-10-01,64.0,63.0,62.38999938964844,65.25,2512700.0
2008-10-02,58.5,50.15999984741211,46.970001220703125,59.0,7691300.0
2008-10-03,51.060001373291016,50.310001373291016,49.25,55.59000015258789,3712800.0
2008-10-06,47.869998931884766,46.880001068115234,41.0,48.34000015258789,4469000.0
2008-10-07,48.900001525878906,43.81999969482422,42.0,49.40999984741211,3323400.0
2008-10-08,41.0,43.279998779296875,39.0099983215332,47.31999969482422,5071900.0
2008-10-09,43.75,42.869998931884766,39.880001068115234,47.58000183105469,2681000.0
2008-10-10,40.0099983215332,39.20000076293945,35.0099983215332,43.0,3781400.0
2008-10-13,42.77000045776367,45.790000915527344,42.16999816894531,47.400001525878906,2789900.0
2008-10-14,48.08000183105469,45.599998474121094,44.61000061035156,48.810001373291016,2904400.0
2008-10-15,44.38999938964844,39.25,38.81999969482422,44.38999938964844,3430000.0
2008-10-16,40.93000030517578,38.36000061035156,37.0,41.189998626708984,4310200.0
2008-10-17,37.83000183105469,42.459999084472656,35.5,43.72999954223633,5416700.0
2008-10-20,43.91999816894531,44.5099983215332,43.20000076293945,47.720001220703125,2452600.0
2008-10-21,44.4900016784668,40.970001220703125,40.54999923706055,44.63999938964844,2358800.0
2008-10-22,40.459999084472656,35.25,33.709999084472656,40.459999084472656,4739300.0
2008-10-23,37.09000015258789,37.9900016784668,34.209999084472656,39.79999923706055,7908600.0
2008-10-24,33.220001220703125,34.619998931884766,33.0099983215332,36.349998474121094,3838500.0
2008-10-27,34.5,31.0,31.0,34.5,3732800.0
2008-10-28,33.4900016784668,29.989999771118164,27.600000381469727,34.0,5895400.0
2008-10-29,30.979999542236328,33.810001373291016,30.5,35.0,5512500.0
2008-10-30,34.9900016784668,35.880001068115234,34.209999084472656,37.93000030517578,4173400.0
2008-10-31,36.72999954223633,38.40999984741211,34.849998474121094,40.75,4302500.0
2008-11-03,39.04999923706055,41.720001220703125,38.400001525878906,41.9900016784668,3523200.0
2008-11-04,44.9900016784668,45.310001373291016,44.63999938964844,47.150001525878906,3618100.0
2008-11-05,46.369998931884766,44.15999984741211,44.0,46.4900016784668,2915800.0
2008-11-06,42.33000183105469,41.0,40.70000076293945,45.040000915527344,3908600.0
2008-11-07,41.9900016784668,44.220001220703125,41.02000045776367,44.220001220703125,2274600.0
2008-11-10,47.4900016784668,44.220001220703125,42.4900016784668,47.4900016784668,2599500.0
