Date,lnnopen,lnnclose,lnnlow,lnnhigh,lnnvolume
2016-10-26,77.87999725341797,78.06999969482422,77.76000213623047,78.80999755859375,102600.0
2016-10-27,78.16000366210938,78.0999984741211,76.94999694824219,78.51000213623047,69600.0
2016-10-28,77.7699966430664,78.38999938964844,77.7699966430664,78.7699966430664,53200.0
2016-10-31,78.56999969482422,78.30000305175781,77.91999816894531,78.7699966430664,137100.0
2016-11-01,78.19000244140625,77.30000305175781,76.75,78.19000244140625,83600.0
2016-11-02,77.27999877929688,76.80000305175781,76.41999816894531,78.02999877929688,57900.0
2016-11-03,76.75,75.95999908447266,75.73999786376953,76.76000213623047,40100.0
2016-11-04,76.12999725341797,76.76000213623047,76.12000274658203,78.5,131000.0
2016-11-07,78.05000305175781,77.41000366210938,76.98999786376953,79.19999694824219,65400.0
2016-11-08,77.12999725341797,77.08999633789062,75.6500015258789,77.87999725341797,73100.0
2016-11-09,76.58999633789062,77.69000244140625,74.5199966430664,79.33000183105469,158000.0
2016-11-10,78.56999969482422,78.62999725341797,77.05000305175781,79.0199966430664,314400.0
2016-11-11,78.5199966430664,78.5199966430664,76.44000244140625,78.62999725341797,201200.0
2016-11-14,78.27999877929688,77.81999969482422,76.19000244140625,79.19999694824219,117100.0
2016-11-15,77.73999786376953,78.37000274658203,77.6500015258789,78.58999633789062,62900.0
2016-11-16,77.63999938964844,78.93000030517578,77.08000183105469,79.04000091552734,78600.0
2016-11-17,78.93000030517578,79.04000091552734,77.4000015258789,79.08000183105469,100100.0
2016-11-18,79.0,78.9800033569336,78.43000030517578,79.25,115000.0
2016-11-21,78.77999877929688,79.04000091552734,77.44000244140625,79.2699966430664,105400.0
2016-11-22,79.0,79.0199966430664,78.08000183105469,79.2699966430664,144400.0
2016-11-23,79.70999908447266,80.68000030517578,79.70999908447266,81.52999877929688,175300.0
2016-11-25,80.87999725341797,81.55000305175781,80.44000244140625,81.87000274658203,48100.0
2016-11-28,83.55000305175781,83.55999755859375,82.5,85.08999633789062,241200.0
2016-11-29,83.04000091552734,82.9800033569336,82.0999984741211,83.5199966430664,98900.0
2016-11-30,83.98999786376953,84.27999877929688,83.98999786376953,85.68000030517578,135500.0
2016-12-01,84.97000122070312,85.5999984741211,84.95999908447266,87.30000305175781,249000.0
2016-12-02,85.62000274658203,85.37000274658203,85.04000091552734,87.13999938964844,50300.0
2016-12-05,85.66000366210938,86.37999725341797,85.56999969482422,86.7300033569336,68100.0
2016-12-06,86.19000244140625,87.47000122070312,85.55999755859375,87.75,76500.0
2016-12-07,87.86000061035156,88.5,86.79000091552734,88.73999786376953,61800.0
2016-12-08,88.37999725341797,89.08999633789062,87.70999908447266,89.9800033569336,98500.0
2016-12-09,89.68000030517578,88.37000274658203,88.19000244140625,89.94999694824219,108200.0
2016-12-12,88.16000366210938,88.7300033569336,87.54000091552734,89.4800033569336,71000.0
2016-12-13,89.01000213623047,86.94000244140625,86.68000030517578,89.26000213623047,67000.0
2016-12-14,87.12000274658203,85.44999694824219,85.4000015258789,87.12000274658203,84000.0
2016-12-15,85.72000122070312,86.02999877929688,85.27999877929688,86.22000122070312,70900.0
2016-12-16,85.75,85.94999694824219,85.62999725341797,87.1500015258789,209700.0
2016-12-19,86.19000244140625,85.41000366210938,85.11000061035156,88.30000305175781,132800.0
2016-12-20,85.94000244140625,85.2300033569336,84.54000091552734,86.16999816894531,110600.0
2016-12-21,79.80000305175781,76.01000213623047,75.79000091552734,81.0,579900.0
2016-12-22,76.05000305175781,74.73999786376953,72.8499984741211,76.1500015258789,370400.0
2016-12-23,74.30999755859375,75.4800033569336,73.83000183105469,76.72000122070312,215300.0
2016-12-27,74.72000122070312,75.76000213623047,74.72000122070312,76.1500015258789,106500.0
2016-12-28,75.80999755859375,75.16000366210938,74.62999725341797,76.66999816894531,127800.0
2016-12-29,75.45999908447266,75.2300033569336,74.66999816894531,76.0,79100.0
2016-12-30,75.5,74.61000061035156,74.47000122070312,75.5,77700.0
2017-01-03,75.62000274658203,75.44999694824219,75.01000213623047,77.2300033569336,92500.0
2017-01-04,75.45999908447266,75.05000305175781,74.44000244140625,75.66000366210938,149500.0
2017-01-05,74.8499984741211,75.18000030517578,74.55000305175781,76.33999633789062,117000.0
2017-01-06,75.31999969482422,75.08000183105469,74.56999969482422,76.0199966430664,74400.0
2017-01-09,75.22000122070312,74.31999969482422,73.8499984741211,75.22000122070312,85800.0
2017-01-10,74.06999969482422,74.87000274658203,74.06999969482422,75.4000015258789,54000.0
2017-01-11,75.1500015258789,74.56999969482422,74.2300033569336,75.41000366210938,79400.0
2017-01-12,74.3499984741211,74.4800033569336,73.63999938964844,75.30999755859375,68400.0
2017-01-13,75.06999969482422,74.80999755859375,74.36000061035156,75.75,123400.0
2017-01-17,74.98999786376953,74.52999877929688,74.13999938964844,75.0,65100.0
2017-01-18,74.37000274658203,74.91999816894531,74.20999908447266,75.18000030517578,54800.0
2017-01-19,75.01000213623047,74.02999877929688,73.55000305175781,75.44000244140625,137300.0
2017-01-20,73.77999877929688,74.6500015258789,73.77999877929688,74.83000183105469,59500.0
2017-01-23,74.6500015258789,75.08999633789062,73.87000274658203,75.2699966430664,96200.0
2017-01-24,75.0,76.91999816894531,74.80999755859375,77.19999694824219,75600.0
2017-01-25,77.69999694824219,78.81999969482422,77.33000183105469,79.16000366210938,118600.0
2017-01-26,78.44000244140625,77.91999816894531,77.30000305175781,79.05999755859375,66000.0
2017-01-27,77.8499984741211,78.12000274658203,77.83000183105469,78.61000061035156,60100.0
2017-01-30,78.0,76.76000213623047,76.70999908447266,78.0,91100.0
2017-01-31,76.44999694824219,75.33999633789062,74.69000244140625,76.44999694824219,84600.0
2017-02-01,75.20999908447266,75.08999633789062,74.2300033569336,75.80999755859375,85200.0
2017-02-02,74.77999877929688,75.02999877929688,74.47000122070312,75.23999786376953,78200.0
2017-02-03,75.02999877929688,75.83999633789062,74.12000274658203,76.0199966430664,75900.0
2017-02-06,75.5,76.04000091552734,75.41999816894531,76.25,68100.0
2017-02-07,76.29000091552734,75.83999633789062,75.08999633789062,76.30999755859375,57600.0
2017-02-08,75.37000274658203,74.33000183105469,73.33999633789062,75.37000274658203,74700.0
2017-02-09,74.2699966430664,75.30000305175781,74.04000091552734,76.12000274658203,43000.0
2017-02-10,75.2699966430664,76.2699966430664,74.80000305175781,76.37000274658203,38400.0
2017-02-13,76.20999908447266,76.33999633789062,75.95999908447266,77.5,48100.0
2017-02-14,75.97000122070312,76.19999694824219,75.62999725341797,76.41999816894531,47100.0
2017-02-15,76.08999633789062,77.62999725341797,75.83000183105469,77.7300033569336,97400.0
2017-02-16,77.29000091552734,77.95999908447266,77.25,78.86000061035156,88600.0
2017-02-17,78.16000366210938,78.41999816894531,77.13999938964844,78.44000244140625,83000.0
2017-02-21,78.25,78.58000183105469,77.30000305175781,78.9000015258789,64400.0
2017-02-22,79.3499984741211,81.05999755859375,78.61000061035156,81.5999984741211,145100.0
2017-02-23,81.66999816894531,80.0,79.30000305175781,81.66999816894531,128200.0
2017-02-24,79.23999786376953,81.3499984741211,78.5,81.94000244140625,171700.0
