Date,varopen,varclose,varlow,varhigh,varvolume
2008-05-23,40.337398529052734,40.0217170715332,39.89018249511719,40.60923767089844,1375000.0
2008-05-27,39.96910095214844,40.01294708251953,39.179893493652344,40.06555938720703,1319400.0
2008-05-28,40.16202163696289,40.65308380126953,40.03048324584961,40.81969451904297,955000.0
2008-05-29,40.7583122253418,41.573829650878906,40.7583122253418,42.08243179321289,1086800.0
2008-05-30,41.44229507446289,41.68782424926758,41.43352508544922,41.88951110839844,887700.0
2008-06-02,41.626441955566406,41.45983123779297,41.06522750854492,41.793052673339844,776700.0
2008-06-03,41.46860122680664,41.415985107421875,40.88984680175781,41.722900390625,733100.0
2008-06-04,41.26691436767578,41.775516510009766,41.126609802246094,42.14381408691406,963100.0
2008-06-05,41.9947395324707,42.75764465332031,41.81936264038086,42.77518081665039,1023800.0
2008-06-06,41.66151809692383,41.89828109741211,41.66151809692383,42.74010467529297,904600.0
2008-06-09,41.88951110839844,41.591365814208984,41.135379791259766,42.24904251098633,999600.0
2008-06-10,41.46860122680664,41.775516510009766,41.310760498046875,41.91582107543945,934400.0
2008-06-11,41.626441955566406,42.994407653808594,41.363372802734375,43.38024139404297,2050600.0
2008-06-12,43.15224838256836,43.231170654296875,42.871639251708984,43.669620513916016,1458600.0
2008-06-13,43.73100280761719,45.01127624511719,43.23994064331055,45.03758239746094,1678000.0
2008-06-16,45.10773468017578,45.29188537597656,44.283451080322266,45.59880065917969,1268500.0
2008-06-17,45.43218994140625,46.177555084228516,45.42341995239258,46.4669303894043,1902100.0
2008-06-18,46.53708267211914,45.26557922363281,45.1428108215332,46.72999954223633,1756900.0
2008-06-19,45.03758239746094,45.993404388427734,45.03758239746094,46.142478942871094,1265000.0
2008-06-20,46.116172790527344,44.967430114746094,44.67805480957031,46.116172790527344,1564100.0
2008-06-23,45.06389236450195,45.60757064819336,45.06389236450195,46.01094436645508,1109000.0
2008-06-24,45.39711380004883,45.49357223510742,45.23050308227539,45.75664138793945,769900.0
2008-06-25,45.74787139892578,46.019710540771484,45.43218994140625,46.36170196533203,633300.0
2008-06-26,45.29188537597656,45.388343811035156,45.03758239746094,45.86186981201172,1026500.0
2008-06-27,45.1428108215332,45.098968505859375,45.098968505859375,45.60757064819336,834800.0
2008-06-30,44.739437103271484,45.46726608276367,44.739437103271484,46.07232666015625,996100.0
2008-07-01,44.862205505371094,44.695594787597656,44.58159637451172,45.528648376464844,1275000.0
2008-07-02,44.941123962402344,44.52021408081055,44.40621566772461,45.02004623413086,912800.0
2008-07-03,44.49390411376953,44.60790252685547,44.01161193847656,44.800819396972656,537500.0
2008-07-07,44.70436096191406,44.58159637451172,44.248374938964844,45.791717529296875,1029700.0
2008-07-08,44.73066711425781,44.05545425415039,43.660850524902344,44.862205505371094,2961200.0
2008-07-09,44.26591110229492,44.18699264526367,44.17822265625,45.47603225708008,1850700.0
2008-07-10,44.29221725463867,43.36270523071289,42.74010467529297,46.70369338989258,2140700.0
2008-07-11,43.23994064331055,43.82746124267578,42.59980010986328,44.300987243652344,1859700.0
2008-07-14,44.25714111328125,43.2662467956543,43.15224838256836,44.52898025512695,1086200.0
2008-07-15,43.09086608886719,44.01161193847656,43.09086608886719,44.26591110229492,1286900.0
2008-07-16,43.99407196044922,44.721900939941406,43.99407196044922,45.01127624511719,939500.0
2008-07-17,45.26557922363281,45.24803924560547,44.458831787109375,45.69525909423828,794100.0
2008-07-18,43.643314361572266,45.581260681152344,43.643314361572266,45.68648910522461,1174200.0
2008-07-21,45.563724517822266,44.967430114746094,44.52021408081055,45.66895294189453,668300.0
2008-07-22,44.967430114746094,46.002174377441406,44.967430114746094,46.03725051879883,1331600.0
2008-07-23,46.019710540771484,46.72123336791992,45.362037658691406,47.21229553222656,1939300.0
2008-07-24,50.51820755004883,51.32495880126953,49.87807083129883,53.06998825073242,7979100.0
2008-07-25,51.45649337768555,51.54418182373047,50.97419738769531,51.89494323730469,2745500.0
2008-07-28,51.474029541015625,51.99140167236328,50.860198974609375,52.19308853149414,2492100.0
2008-07-29,51.97386169433594,53.157676696777344,51.824790954589844,53.28921127319336,3843300.0
2008-07-30,53.4032096862793,52.552616119384766,52.09663009643555,53.42951583862305,2844600.0
2008-07-31,52.50877380371094,52.61399841308594,52.1755485534668,53.43828582763672,1644300.0
2008-08-01,52.42108154296875,51.86863327026367,51.658180236816406,53.05244827270508,1954300.0
2008-08-04,51.938785552978516,52.04401397705078,51.76340866088867,52.61399841308594,1465700.0
2008-08-05,52.272010803222656,53.66627883911133,52.21939468383789,53.82412338256836,1736800.0
2008-08-06,53.73643112182617,55.34992980957031,53.569820404052734,55.68315124511719,3748500.0
