Date,bxpopen,bxpclose,bxplow,bxphigh,bxpvolume
2008-04-02,98.25,98.0,96.56999969482422,99.5,1403600.0
2008-04-03,97.41999816894531,99.51000213623047,96.38999938964844,100.0,1068200.0
2008-04-04,98.6500015258789,97.52999877929688,97.29000091552734,99.81999969482422,1105200.0
2008-04-07,97.55000305175781,97.08000183105469,96.01000213623047,98.1500015258789,1207000.0
2008-04-08,96.6500015258789,95.18000030517578,94.94999694824219,97.0199966430664,1160700.0
2008-04-09,95.5999984741211,93.44000244140625,93.05999755859375,96.16999816894531,982600.0
2008-04-10,93.4000015258789,95.05000305175781,93.26000213623047,95.66999816894531,2518700.0
2008-04-11,94.12000274658203,94.61000061035156,93.9800033569336,96.45999908447266,966600.0
2008-04-14,95.0199966430664,93.80999755859375,93.75,95.7300033569336,832500.0
2008-04-15,94.66999816894531,94.29000091552734,92.80999755859375,95.01000213623047,1186900.0
2008-04-16,95.61000061035156,98.23999786376953,93.9000015258789,98.45999908447266,1330400.0
2008-04-17,97.6500015258789,99.23999786376953,96.62000274658203,99.33000183105469,767300.0
2008-04-18,100.12000274658203,98.01000213623047,97.30000305175781,100.44999694824219,926400.0
2008-04-21,97.5,98.62999725341797,97.43000030517578,99.1500015258789,584000.0
2008-04-22,98.81999969482422,99.27999877929688,98.4000015258789,100.23999786376953,952800.0
2008-04-23,100.05999755859375,101.05000305175781,98.8499984741211,101.68000030517578,865400.0
2008-04-24,100.94999694824219,103.05999755859375,100.61000061035156,103.4000015258789,977300.0
2008-04-25,103.05999755859375,103.27999877929688,102.16999816894531,103.9000015258789,510100.0
2008-04-28,103.75,102.9000015258789,102.26000213623047,103.88999938964844,783700.0
2008-04-29,102.38999938964844,100.55999755859375,100.2699966430664,103.37000274658203,901600.0
2008-04-30,100.70999908447266,100.48999786376953,100.48999786376953,103.66000366210938,1005900.0
2008-05-01,101.5199966430664,105.04000091552734,100.87999725341797,105.04000091552734,1104500.0
2008-05-02,105.0,103.01000213623047,102.61000061035156,106.52999877929688,1397000.0
2008-05-05,102.16999816894531,102.37000274658203,101.80000305175781,103.38999938964844,873900.0
2008-05-06,101.75,103.83999633789062,101.11000061035156,103.83999633789062,1090300.0
2008-05-07,104.02999877929688,100.5199966430664,100.37000274658203,104.62000274658203,949200.0
2008-05-08,101.66000366210938,99.58000183105469,98.80999755859375,103.43000030517578,981000.0
2008-05-09,98.54000091552734,97.76000213623047,97.11000061035156,99.33000183105469,832500.0
2008-05-12,98.13999938964844,99.48999786376953,97.80000305175781,99.72000122070312,761400.0
2008-05-13,100.16000366210938,99.73999786376953,98.72000122070312,100.25,846400.0
2008-05-14,100.43000030517578,101.5999984741211,99.73999786376953,102.08000183105469,775300.0
2008-05-15,101.04000091552734,102.9000015258789,100.2699966430664,102.9000015258789,609700.0
2008-05-16,102.79000091552734,100.25,99.86000061035156,102.79000091552734,995900.0
2008-05-19,100.63999938964844,100.13999938964844,99.48999786376953,101.0999984741211,812300.0
2008-05-20,99.62000274658203,99.01000213623047,98.1500015258789,100.06999969482422,605900.0
2008-05-21,99.47000122070312,96.94000244140625,96.80000305175781,100.12999725341797,1276300.0
2008-05-22,96.66000366210938,97.01000213623047,96.25,97.58999633789062,957100.0
2008-05-23,96.48999786376953,96.11000061035156,95.70999908447266,96.91999816894531,910000.0
2008-05-27,96.86000061035156,97.58000183105469,96.0199966430664,97.94000244140625,794100.0
2008-05-28,97.79000091552734,96.68000030517578,95.88999938964844,98.27999877929688,850700.0
2008-05-29,96.93000030517578,98.41999816894531,96.69999694824219,98.44999694824219,1201100.0
2008-05-30,98.76000213623047,97.73999786376953,96.91999816894531,99.0,1826200.0
2008-06-02,97.0999984741211,94.91999816894531,94.26000213623047,97.30999755859375,1559100.0
2008-06-03,95.30000305175781,96.5999984741211,95.04000091552734,96.79000091552734,1378200.0
2008-06-04,96.55000305175781,97.76000213623047,95.87999725341797,98.25,853400.0
2008-06-05,97.83000183105469,100.66000366210938,97.79000091552734,100.72000122070312,834200.0
2008-06-06,98.98999786376953,96.05000305175781,95.76000213623047,99.75,1365400.0
2008-06-09,97.0,94.62000274658203,94.47000122070312,97.55000305175781,1012200.0
2008-06-10,94.12000274658203,95.0199966430664,92.69999694824219,95.29000091552734,1274700.0
