Date,smsiopen,smsiclose,smsilow,smsihigh,smsivolume
2008-08-21,28.440000534057617,29.399999618530273,28.280000686645508,30.0,74700.0
2008-08-22,29.68000030517578,30.200000762939453,29.399999618530273,30.920000076293945,72100.0
2008-08-25,29.799999237060547,28.719999313354492,28.600000381469727,30.239999771118164,53400.0
2008-08-26,28.799999237060547,28.68000030517578,28.31999969482422,30.239999771118164,61000.0
2008-08-27,28.84000015258789,30.399999618530273,28.719999313354492,30.760000228881836,84900.0
2008-08-28,30.440000534057617,30.639999389648438,30.0,30.799999237060547,85200.0
2008-08-29,30.520000457763672,30.280000686645508,29.68000030517578,31.0,66000.0
2008-09-02,30.799999237060547,31.799999237060547,30.079999923706055,31.799999237060547,90800.0
2008-09-03,31.520000457763672,31.559999465942383,31.079999923706055,32.0,65600.0
2008-09-04,31.399999618530273,30.040000915527344,29.84000015258789,31.799999237060547,72100.0
2008-09-05,29.84000015258789,29.479999542236328,28.799999237060547,29.920000076293945,40300.0
2008-09-08,30.15999984741211,30.079999923706055,28.8799991607666,30.799999237060547,56500.0
2008-09-09,30.0,29.079999923706055,29.079999923706055,30.799999237060547,52600.0
2008-09-10,29.639999389648438,29.399999618530273,28.0,29.959999084472656,83800.0
2008-09-11,28.84000015258789,28.440000534057617,28.1200008392334,28.8799991607666,78100.0
2008-09-12,28.239999771118164,28.399999618530273,28.040000915527344,28.639999389648438,61800.0
2008-09-15,28.280000686645508,26.84000015258789,26.200000762939453,28.31999969482422,71700.0
2008-09-16,26.360000610351562,28.760000228881836,25.280000686645508,29.079999923706055,125000.0
2008-09-17,28.1200008392334,28.559999465942383,26.8799991607666,29.079999923706055,137400.0
2008-09-18,29.15999984741211,31.959999084472656,28.520000457763672,31.959999084472656,230400.0
2008-09-19,32.959999084472656,32.52000045776367,31.559999465942383,33.7599983215332,262300.0
2008-09-22,32.47999954223633,31.479999542236328,30.200000762939453,33.0,101200.0
2008-09-23,31.399999618530273,29.520000457763672,29.15999984741211,32.15999984741211,135600.0
2008-09-24,29.68000030517578,29.360000610351562,28.68000030517578,30.399999618530273,60700.0
2008-09-25,29.399999618530273,28.360000610351562,28.239999771118164,29.920000076293945,103300.0
2008-09-26,28.15999984741211,29.360000610351562,28.079999923706055,29.399999618530273,69000.0
2008-09-29,28.8799991607666,27.440000534057617,27.15999984741211,29.200000762939453,99500.0
2008-09-30,27.920000076293945,28.399999618530273,27.280000686645508,28.799999237060547,52100.0
2008-10-01,27.799999237060547,28.799999237060547,27.799999237060547,29.440000534057617,67000.0
2008-10-02,28.600000381469727,27.8799991607666,27.799999237060547,29.559999465942383,73600.0
2008-10-03,28.31999969482422,27.280000686645508,27.239999771118164,29.360000610351562,83600.0
2008-10-06,26.639999389648438,23.959999084472656,23.280000686645508,27.1200008392334,200200.0
2008-10-07,23.959999084472656,22.959999084472656,22.200000762939453,24.360000610351562,151200.0
2008-10-08,22.15999984741211,23.0,22.15999984741211,24.0,93900.0
2008-10-09,23.31999969482422,21.200000762939453,21.079999923706055,24.0,76200.0
2008-10-10,20.8799991607666,21.200000762939453,19.0,22.0,180200.0
2008-10-13,22.1200008392334,24.0,22.1200008392334,24.0,86300.0
2008-10-14,24.8799991607666,23.1200008392334,22.399999618530273,24.959999084472656,58500.0
2008-10-15,22.799999237060547,19.520000457763672,19.31999969482422,23.280000686645508,82200.0
2008-10-16,19.719999313354492,20.399999618530273,18.0,20.8799991607666,151700.0
2008-10-17,19.920000076293945,19.84000015258789,19.1200008392334,21.0,91100.0
2008-10-20,20.079999923706055,21.040000915527344,19.959999084472656,21.1200008392334,66100.0
2008-10-21,20.559999465942383,20.639999389648438,20.1200008392334,21.520000457763672,67800.0
2008-10-22,20.440000534057617,19.479999542236328,19.15999984741211,20.440000534057617,46900.0
2008-10-23,19.479999542236328,19.479999542236328,18.920000076293945,20.280000686645508,79300.0
2008-10-24,18.799999237060547,18.639999389648438,18.1200008392334,19.479999542236328,62900.0
2008-10-27,18.399999618530273,17.799999237060547,17.600000381469727,19.520000457763672,55600.0
2008-10-28,19.399999618530273,20.399999618530273,18.200000762939453,20.760000228881836,87000.0
2008-10-29,20.399999618530273,20.600000381469727,20.0,21.31999969482422,84400.0
2008-10-30,22.0,24.0,22.0,24.15999984741211,274600.0
2008-10-31,24.0,25.0,23.760000228881836,26.600000381469727,168500.0
2008-11-03,25.15999984741211,24.84000015258789,24.31999969482422,25.959999084472656,104300.0
2008-11-04,25.0,24.8799991607666,24.559999465942383,25.520000457763672,112200.0
2008-11-05,24.31999969482422,24.399999618530273,24.31999969482422,25.559999465942383,91000.0
