Date,rokopen,rokclose,roklow,rokhigh,rokvolume
2008-04-02,59.63999938964844,59.75,59.220001220703125,60.349998474121094,1303300.0
2008-04-03,59.400001525878906,59.040000915527344,58.59000015258789,59.599998474121094,1143100.0
2008-04-04,59.27000045776367,60.02000045776367,58.959999084472656,60.41999816894531,1210300.0
2008-04-07,60.400001525878906,59.40999984741211,59.15999984741211,60.63999938964844,893700.0
2008-04-08,58.90999984741211,59.150001525878906,58.4900016784668,59.290000915527344,796500.0
2008-04-09,59.0,57.720001220703125,57.5099983215332,59.2599983215332,1112100.0
2008-04-10,57.7400016784668,58.20000076293945,56.93000030517578,58.619998931884766,1341900.0
2008-04-11,57.5,56.86000061035156,56.63999938964844,57.68000030517578,1096500.0
2008-04-14,56.470001220703125,56.61000061035156,56.41999816894531,57.15999984741211,592300.0
2008-04-15,56.65999984741211,56.77000045776367,56.20000076293945,57.119998931884766,585400.0
2008-04-16,57.150001525878906,59.130001068115234,57.02000045776367,59.29999923706055,1356000.0
2008-04-17,58.849998474121094,59.11000061035156,58.61000061035156,59.4900016784668,1380500.0
2008-04-18,60.209999084472656,61.349998474121094,59.709999084472656,61.4900016784668,1239500.0
2008-04-21,61.13999938964844,60.689998626708984,60.45000076293945,61.16999816894531,1479400.0
2008-04-22,60.47999954223633,60.9900016784668,60.16999816894531,61.369998931884766,1304400.0
2008-04-23,58.11000061035156,55.43000030517578,54.2599983215332,58.869998931884766,4478500.0
2008-04-24,55.31999969482422,56.27000045776367,55.099998474121094,56.790000915527344,2086200.0
2008-04-25,56.400001525878906,56.029998779296875,54.86000061035156,56.81999969482422,1623100.0
2008-04-28,55.86000061035156,55.29999923706055,54.70000076293945,55.86000061035156,1825800.0
2008-04-29,55.119998931884766,54.91999816894531,54.720001220703125,55.529998779296875,1027300.0
2008-04-30,55.310001373291016,54.22999954223633,54.099998474121094,56.0,2086200.0
2008-05-01,54.38999938964844,55.869998931884766,54.189998626708984,56.130001068115234,2132400.0
2008-05-02,56.52000045776367,56.810001373291016,55.869998931884766,57.540000915527344,1853700.0
2008-05-05,56.119998931884766,55.59000015258789,55.29999923706055,56.650001525878906,2554600.0
2008-05-06,55.56999969482422,55.779998779296875,54.68000030517578,56.619998931884766,2017100.0
2008-05-07,55.34000015258789,54.439998626708984,54.369998931884766,56.130001068115234,2174200.0
2008-05-08,54.529998779296875,54.45000076293945,53.970001220703125,55.09000015258789,1803800.0
2008-05-09,53.849998474121094,54.11000061035156,53.709999084472656,54.380001068115234,1138500.0
2008-05-12,54.02000045776367,55.439998626708984,53.90999984741211,55.7400016784668,1427300.0
2008-05-13,55.47999954223633,55.349998474121094,54.70000076293945,55.70000076293945,2712800.0
2008-05-14,55.4900016784668,56.11000061035156,55.349998474121094,56.72999954223633,1268300.0
2008-05-15,56.4900016784668,57.290000915527344,55.88999938964844,57.290000915527344,1363000.0
2008-05-16,57.380001068115234,57.36000061035156,56.75,57.939998626708984,1441700.0
2008-05-19,57.220001220703125,57.83000183105469,57.220001220703125,58.52000045776367,1641900.0
2008-05-20,57.79999923706055,57.95000076293945,57.400001525878906,58.34000015258789,2728100.0
2008-05-21,58.11000061035156,57.400001525878906,57.09000015258789,58.84000015258789,1619700.0
2008-05-22,57.560001373291016,57.91999816894531,57.459999084472656,58.630001068115234,1714300.0
2008-05-23,57.61000061035156,57.349998474121094,56.810001373291016,57.79999923706055,1898900.0
2008-05-27,57.25,57.41999816894531,56.4900016784668,57.4900016784668,927800.0
2008-05-28,57.970001220703125,58.130001068115234,57.70000076293945,58.459999084472656,1191100.0
2008-05-29,58.09000015258789,58.08000183105469,57.33000183105469,58.31999969482422,1090700.0
2008-05-30,57.689998626708984,58.54999923706055,57.689998626708984,58.79999923706055,823000.0
2008-06-02,58.09000015258789,57.04999923706055,56.630001068115234,58.310001373291016,1807500.0
2008-06-03,57.099998474121094,55.86000061035156,55.400001525878906,57.349998474121094,2288900.0
2008-06-04,55.810001373291016,55.54999923706055,55.25,56.150001525878906,1975000.0
2008-06-05,55.650001525878906,56.91999816894531,55.5,56.91999816894531,1532100.0
2008-06-06,56.11000061035156,53.900001525878906,53.900001525878906,56.2400016784668,1903000.0
2008-06-09,54.119998931884766,53.79999923706055,53.2599983215332,54.43000030517578,1675300.0
2008-06-10,53.52000045776367,54.040000915527344,53.43000030517578,54.689998626708984,1158500.0
2008-06-11,53.720001220703125,52.540000915527344,52.5,53.970001220703125,1304100.0
2008-06-12,52.9900016784668,52.43000030517578,52.099998474121094,53.61000061035156,1893500.0
2008-06-13,52.93000030517578,54.15999984741211,52.93000030517578,54.18000030517578,1055100.0
2008-06-16,53.90999984741211,55.630001068115234,53.59000015258789,56.029998779296875,1995500.0
2008-06-17,56.119998931884766,54.61000061035156,54.61000061035156,56.119998931884766,1139900.0
2008-06-18,53.900001525878906,53.77000045776367,53.77000045776367,54.70000076293945,1346700.0
2008-06-19,53.540000915527344,53.63999938964844,53.060001373291016,53.91999816894531,1640300.0
2008-06-20,53.41999816894531,52.66999816894531,52.36000061035156,53.52000045776367,1657600.0
2008-06-23,52.790000915527344,52.869998931884766,52.34000015258789,53.02000045776367,960700.0
2008-06-24,52.84000015258789,52.189998626708984,51.70000076293945,52.91999816894531,945900.0
2008-06-25,47.900001525878906,45.77000045776367,44.88999938964844,48.0,7637700.0
2008-06-26,45.16999816894531,42.90999984741211,42.84000015258789,45.34000015258789,4084600.0
2008-06-27,43.029998779296875,43.91999816894531,42.849998474121094,43.91999816894531,3749700.0
2008-06-30,42.75,43.72999954223633,42.75,43.939998626708984,2509100.0
2008-07-01,43.400001525878906,43.400001525878906,42.72999954223633,44.0,2723500.0
2008-07-02,43.68000030517578,42.31999969482422,42.29999923706055,43.68000030517578,2518600.0
2008-07-03,42.7599983215332,42.970001220703125,42.400001525878906,43.540000915527344,961900.0
2008-07-07,42.95000076293945,42.869998931884766,42.18000030517578,43.86000061035156,1647400.0
2008-07-08,42.5099983215332,43.220001220703125,41.9900016784668,43.36000061035156,2266600.0
2008-07-09,43.220001220703125,42.0,41.77000045776367,43.83000183105469,1609100.0
2008-07-10,42.279998779296875,42.470001220703125,41.599998474121094,42.77000045776367,1843000.0
2008-07-11,41.79999923706055,41.650001525878906,41.130001068115234,42.29999923706055,2386600.0
2008-07-14,42.22999954223633,41.77000045776367,41.2400016784668,42.47999954223633,1897400.0
2008-07-15,41.2599983215332,41.540000915527344,40.58000183105469,42.25,2698500.0
2008-07-16,41.529998779296875,42.72999954223633,41.040000915527344,42.72999954223633,2407500.0
2008-07-17,43.040000915527344,44.220001220703125,42.79999923706055,44.7599983215332,3411600.0
2008-07-18,44.369998931884766,43.630001068115234,43.310001373291016,44.369998931884766,1666500.0
2008-07-21,43.52000045776367,43.630001068115234,43.209999084472656,44.18000030517578,2389200.0
2008-07-22,46.5,45.189998626708984,44.279998779296875,46.5,2486500.0
2008-07-23,45.0099983215332,45.099998474121094,44.68000030517578,46.20000076293945,1768900.0
2008-07-24,44.81999969482422,43.189998626708984,42.84000015258789,45.0099983215332,1927900.0
2008-07-25,43.540000915527344,43.720001220703125,42.599998474121094,43.88999938964844,1431200.0
2008-07-28,42.86000061035156,43.56999969482422,42.86000061035156,44.4900016784668,1518800.0
2008-07-29,43.84000015258789,44.90999984741211,43.40999984741211,45.060001373291016,1039300.0
2008-07-30,44.540000915527344,45.41999816894531,44.540000915527344,45.72999954223633,776500.0
2008-07-31,45.41999816894531,44.5099983215332,44.369998931884766,45.68000030517578,1222400.0
2008-08-01,44.31999969482422,43.81999969482422,43.400001525878906,45.220001220703125,1120200.0
2008-08-04,44.099998474121094,43.849998474121094,43.7400016784668,44.470001220703125,1107400.0
2008-08-05,43.619998931884766,45.75,43.619998931884766,45.779998779296875,1556200.0
2008-08-06,45.459999084472656,45.849998474121094,44.97999954223633,46.0099983215332,1190400.0
2008-08-07,45.20000076293945,45.130001068115234,44.689998626708984,45.88999938964844,1373100.0
2008-08-08,44.84000015258789,46.86000061035156,44.84000015258789,47.209999084472656,1920600.0
2008-08-11,46.869998931884766,47.72999954223633,46.060001373291016,48.119998931884766,1046200.0
2008-08-12,48.209999084472656,48.70000076293945,47.599998474121094,49.349998474121094,1723800.0
2008-08-13,47.849998474121094,48.790000915527344,47.810001373291016,49.06999969482422,1673300.0
2008-08-14,48.130001068115234,48.459999084472656,47.939998626708984,49.08000183105469,738500.0
2008-08-15,47.58000183105469,49.290000915527344,47.58000183105469,49.439998626708984,862500.0
2008-08-18,49.91999816894531,48.34000015258789,47.970001220703125,49.91999816894531,827400.0
2008-08-19,48.0,47.470001220703125,46.939998626708984,48.369998931884766,908800.0
2008-08-20,47.849998474121094,47.290000915527344,46.869998931884766,47.849998474121094,1092900.0
2008-08-21,46.9900016784668,47.540000915527344,46.439998626708984,47.7599983215332,1285200.0
2008-08-22,48.290000915527344,48.11000061035156,47.34000015258789,48.41999816894531,1322800.0
