Date,heiopen,heiclose,heilow,heihigh,heivolume
2010-10-06,12.310282707214355,12.375818252563477,12.205424308776855,12.457082748413086,246000.0
2010-10-07,12.467568397521973,12.370574951171875,12.320768356323242,12.580290794372559,145600.0
2010-10-08,12.412518501281738,12.485918998718262,12.299796104431152,12.580290794372559,201500.0
2010-10-11,12.51213264465332,12.423004150390625,12.391547203063965,12.588154792785645,79300.0
2010-10-12,12.386303901672363,12.412518501281738,12.260475158691406,12.483297348022461,191800.0
2010-10-13,12.44921875,12.876513481140137,12.383682250976562,12.942049026489258,372800.0
2010-10-14,12.89748477935791,12.934185028076172,12.8109769821167,13.057393074035645,382000.0
2010-10-15,13.120306968688965,12.852920532226562,12.721848487854004,13.120306968688965,336000.0
2010-10-18,12.84505558013916,12.976127624511719,12.724470138549805,13.01282787322998,139500.0
2010-10-19,12.750683784484863,12.693012237548828,12.606505393981934,12.923699378967285,250100.0
2010-10-20,12.797869682312012,12.879135131835938,12.713983535766602,12.942049026489258,158500.0
2010-10-21,12.965641975402832,12.711362838745117,12.373196601867676,12.965641975402832,378800.0
2010-10-22,12.719226837158203,12.8109769821167,12.635340690612793,12.850298881530762,160300.0
2010-10-25,12.918456077575684,12.923699378967285,12.881755828857422,13.067878723144531,161600.0
2010-10-26,12.8162202835083,13.172736167907715,12.724470138549805,13.243515014648438,361600.0
2010-10-27,13.052149772644043,13.159628868103027,12.892241477966309,13.212058067321777,284300.0
2010-10-28,13.303808212280273,13.086228370666504,12.884377479553223,13.303808212280273,226500.0
2010-10-29,13.041664123535156,13.049528121948242,12.923699378967285,13.172736167907715,195300.0
2010-11-01,13.107199668884277,13.028556823730469,12.900106430053711,13.219922065734863,225700.0
2010-11-02,13.225164413452148,13.53187370300293,13.133414268493652,13.542359352111816,302700.0
2010-11-03,13.503037452697754,13.526630401611328,13.240893363952637,13.652459144592285,223500.0
2010-11-04,13.778288841247559,13.773045539855957,13.660324096679688,13.828096389770508,434600.0
2010-11-05,13.828096389770508,13.555466651916504,13.489930152893066,13.828096389770508,266600.0
2010-11-08,13.476822853088379,13.39818000793457,13.366722106933594,13.581680297851562,275000.0
2010-11-09,13.406044006347656,13.235651016235352,13.052149772644043,13.500415802001953,369100.0
2010-11-10,13.309050559997559,13.571194648742676,13.028556823730469,13.602652549743652,269000.0
2010-11-11,13.476822853088379,13.14914321899414,13.120306968688965,13.476822853088379,153800.0
2010-11-12,12.983992576599121,12.842434883117676,12.821462631225586,13.020692825317383,275000.0
2010-11-15,12.942049026489258,12.860784530639648,12.750683784484863,13.041664123535156,355600.0
2010-11-16,12.727090835571289,12.748063087463379,12.580290794372559,12.774276733398438,273700.0
2010-11-17,12.771656036376953,12.693012237548828,12.64844799041748,12.78476333618164,165100.0
2010-11-18,12.879135131835938,12.98137092590332,12.8162202835083,13.107199668884277,225800.0
2010-11-19,12.944670677185059,12.973506927490234,12.766412734985352,13.007585525512695,292800.0
2010-11-22,12.913213729858398,13.159628868103027,12.847677230834961,13.243515014648438,203200.0
2010-11-23,13.01282787322998,13.080986022949219,12.926321029663086,13.101957321166992,369000.0
2010-11-24,13.246136665344238,13.440122604370117,13.164871215820312,13.442744255065918,335800.0
2010-11-26,13.327401161193848,13.432258605957031,13.272350311279297,13.579059600830078,108700.0
2010-11-29,13.31429386138916,13.691781044006348,13.240893363952637,13.72848129272461,349100.0
2010-11-30,13.547601699829102,13.788774490356445,13.445365905761719,13.799260139465332,522800.0
2010-12-01,13.917224884033203,14.132183074951172,13.828096389770508,14.142668724060059,473700.0
2010-12-02,14.142668724060059,14.3785982131958,14.082375526428223,14.412676811218262,332000.0
2010-12-03,14.281604766845703,14.402191162109375,14.226554870605469,14.412676811218262,230000.0
2010-12-06,14.368112564086914,14.546370506286621,14.320926666259766,14.577827453613281,327000.0
2010-12-07,14.753464698791504,15.112601280212402,14.643363952636719,15.193865776062012,444500.0
2010-12-08,15.199109077453613,15.002501487731934,14.971043586730957,15.280373573303223,407700.0
2010-12-09,15.157166481018066,14.632878303527832,14.617149353027344,15.157166481018066,453300.0
2010-12-10,14.70889949798584,14.588314056396484,14.530641555786133,14.76395034790039,388200.0
2010-12-13,14.666956901550293,14.619771003723145,14.588314056396484,14.732492446899414,411200.0
2010-12-14,14.68006420135498,14.703657150268555,14.67744255065918,14.853078842163086,197100.0
2010-12-15,14.706278800964355,14.769192695617676,14.556856155395508,14.879293441772461,796200.0
2010-12-16,15.466496467590332,14.14791202545166,14.09548282623291,15.466496467590332,1115600.0
2010-12-17,14.084997177124023,13.76255989074707,13.440122604370117,14.084997177124023,1175000.0
2010-12-20,13.854310035705566,13.75993824005127,13.757317543029785,14.06140422821045,390700.0
2010-12-21,13.849067687988281,13.901495933532715,13.704888343811035,13.925088882446289,332200.0
2010-12-22,13.883146286010742,13.828096389770508,13.76255989074707,13.919846534729004,148300.0
2010-12-23,13.796638488769531,13.741588592529297,13.686538696289062,13.799260139465332,223100.0
2010-12-27,13.707509994506836,13.736345291137695,13.641973495483398,13.744210243225098,287100.0
2010-12-28,13.736345291137695,13.668188095092773,13.605273246765137,13.752074241638184,296300.0
2010-12-29,13.72848129272461,13.607894897460938,13.600030899047852,13.807124137878418,161600.0
2010-12-30,13.576437950134277,13.534494400024414,13.521387100219727,13.681295394897461,118200.0
2010-12-31,13.466337203979492,13.377208709716797,13.322157859802246,13.618380546569824,283700.0
2011-01-03,13.558087348937988,13.670809745788574,13.442744255065918,13.888389587402344,455100.0
2011-01-04,13.744210243225098,13.691781044006348,13.356236457824707,13.744210243225098,546200.0
2011-01-05,13.67605209350586,13.767803192138672,13.584301948547363,13.796638488769531,312600.0
2011-01-06,13.75993824005127,13.867417335510254,13.668188095092773,13.904117584228516,288500.0
2011-01-07,13.867417335510254,13.820231437683105,13.59216594696045,13.98276138305664,468800.0
2011-01-10,13.775667190551758,13.820231437683105,13.613138198852539,13.935575485229492,350700.0
2011-01-11,13.891010284423828,13.875282287597656,13.801881790161133,13.972274780273438,165000.0
2011-01-12,14.019460678100586,14.221311569213867,13.985382080078125,14.281604766845703,424600.0
2011-01-13,14.237040519714355,14.155776023864746,14.0142183303833,14.31306266784668,207200.0
2011-01-14,14.163640022277832,14.328790664672852,14.09286117553711,14.349762916564941,232000.0
2011-01-18,14.268497467041016,14.362870216369629,14.197718620300293,14.399569511413574,189700.0
2011-01-19,14.320926666259766,14.069268226623535,14.016839981079102,14.402191162109375,371200.0
2011-01-20,13.967032432556152,13.602652549743652,13.487308502197266,14.140047073364258,567600.0
2011-01-21,13.81236743927002,13.621002197265625,13.589545249938965,13.995867729187012,392500.0
2011-01-24,13.641973495483398,13.639351844787598,13.558087348937988,13.757317543029785,291500.0
2011-01-25,13.521387100219727,13.521387100219727,13.303808212280273,13.56595230102539,332500.0
2011-01-26,13.539737701416016,13.835960388183594,13.500415802001953,13.906739234924316,309500.0
2011-01-27,13.835960388183594,13.534494400024414,13.518766403198242,13.835960388183594,279600.0
2011-01-28,13.526630401611328,13.015449523925781,12.915834426879883,13.547601699829102,593800.0
2011-01-31,13.558087348937988,13.707509994506836,13.274971961975098,14.155776023864746,640000.0
2011-02-01,13.833338737487793,14.278984069824219,13.744210243225098,14.438891410827637,705600.0
2011-02-02,14.234418869018555,14.522777557373047,14.17936897277832,14.606663703918457,340000.0
2011-02-03,14.488698959350586,14.522777557373047,14.163640022277832,14.62763500213623,344000.0
2011-02-04,14.51229190826416,14.604042053222656,14.334033966064453,14.62501335144043,274600.0
2011-02-07,14.59617805480957,14.732492446899414,14.522777557373047,14.87667179107666,350800.0
2011-02-08,14.737735748291016,14.798028945922852,14.611907005310059,14.839971542358398,318700.0
2011-02-09,14.698413848876953,14.727250099182129,14.606663703918457,14.866186141967773,243200.0
2011-02-10,14.611907005310059,14.727250099182129,14.554234504699707,14.771814346313477,473500.0
2011-02-11,14.651227951049805,14.837350845336914,14.62763500213623,14.853078842163086,140600.0
2011-02-14,14.826864242553711,15.028715133666992,14.685306549072266,15.06279468536377,364700.0
2011-02-15,14.947450637817383,14.950072288513184,14.766571044921875,15.026094436645508,480800.0
2011-02-16,14.973665237426758,14.99201488494873,14.829485893249512,15.070658683776855,300800.0
