Date,renopen,renclose,renlow,renhigh,renvolume
2011-03-02,90.0,90.30000305175781,89.80000305175781,90.55000305175781,64300.0
2011-03-03,90.75,91.0999984741211,90.30000305175781,91.94999694824219,141600.0
2011-03-04,91.44999694824219,91.30000305175781,89.94999694824219,92.1500015258789,255500.0
2011-03-07,90.80000305175781,89.25,88.8499984741211,90.80000305175781,137700.0
2011-03-08,89.05000305175781,88.25,87.44999694824219,89.19999694824219,94000.0
2011-03-09,87.94999694824219,88.94999694824219,87.5,89.05000305175781,58400.0
2011-03-10,87.55000305175781,86.8499984741211,85.5,88.55000305175781,179900.0
2011-03-11,83.9000015258789,87.25,83.9000015258789,88.30000305175781,70100.0
2011-03-14,86.3499984741211,86.94999694824219,85.94999694824219,87.80000305175781,48200.0
2011-03-15,85.4000015258789,87.69999694824219,85.4000015258789,88.4000015258789,92200.0
2011-03-16,86.25,88.1500015258789,85.75,89.0,91400.0
2011-03-17,88.94999694824219,88.80000305175781,88.05000305175781,89.1500015258789,67400.0
2011-03-18,89.0999984741211,87.9000015258789,87.55000305175781,89.5,96700.0
2011-03-21,88.80000305175781,90.3499984741211,88.5999984741211,90.3499984741211,89200.0
2011-03-22,90.1500015258789,89.75,89.55000305175781,90.6500015258789,87500.0
2011-03-23,90.9000015258789,91.1500015258789,90.19999694824219,91.25,162400.0
2011-03-24,91.25,91.1500015258789,90.6500015258789,91.5,76700.0
2011-03-25,91.0999984741211,91.4000015258789,90.5,91.94999694824219,104200.0
2011-03-28,91.75,89.8499984741211,89.75,91.75,99700.0
2011-03-29,90.0,90.55000305175781,89.9000015258789,90.75,70700.0
2011-03-30,90.69999694824219,90.55000305175781,89.94999694824219,90.94999694824219,76300.0
2011-03-31,90.69999694824219,90.69999694824219,89.6500015258789,90.8499984741211,69700.0
2011-04-01,91.44999694824219,91.6500015258789,90.69999694824219,91.75,108400.0
2011-04-04,91.6500015258789,92.0,91.6500015258789,92.75,68800.0
2011-04-05,91.8499984741211,90.94999694824219,90.5999984741211,92.1500015258789,73400.0
2011-04-06,91.0,90.6500015258789,90.4000015258789,92.0,53600.0
2011-04-07,90.5999984741211,89.80000305175781,89.80000305175781,91.0,62100.0
2011-04-08,90.69999694824219,89.94999694824219,89.80000305175781,90.69999694824219,80300.0
2011-04-11,90.25,88.69999694824219,88.6500015258789,90.55000305175781,85800.0
2011-04-12,88.30000305175781,87.5999984741211,86.94999694824219,88.55000305175781,274100.0
2011-04-13,87.69999694824219,87.55000305175781,87.30000305175781,88.3499984741211,62500.0
2011-04-14,86.8499984741211,86.94999694824219,86.19999694824219,87.55000305175781,93200.0
2011-04-15,86.75,86.19999694824219,85.8499984741211,86.94999694824219,141900.0
2011-04-18,85.55000305175781,85.5999984741211,85.0999984741211,86.05000305175781,77100.0
2011-04-19,85.55000305175781,85.1500015258789,85.05000305175781,85.80000305175781,85800.0
2011-04-20,86.0,86.6500015258789,85.3499984741211,86.80000305175781,60800.0
2011-04-21,87.0,86.94999694824219,86.3499984741211,87.0999984741211,29400.0
2011-04-25,86.25,85.69999694824219,84.55000305175781,86.69999694824219,38200.0
2011-04-26,85.55000305175781,84.25,84.05000305175781,85.94999694824219,101000.0
2011-04-27,84.44999694824219,85.75,84.05000305175781,86.1500015258789,51800.0
2011-04-28,85.80000305175781,87.55000305175781,85.80000305175781,87.94999694824219,75600.0
2011-04-29,87.75,88.44999694824219,87.30000305175781,88.69999694824219,66800.0
2011-05-02,88.44999694824219,89.3499984741211,88.44999694824219,89.75,95700.0
2011-05-03,89.19999694824219,86.94999694824219,86.4000015258789,89.30000305175781,111400.0
2011-05-04,86.55000305175781,85.19999694824219,85.19999694824219,88.69999694824219,145100.0
2011-05-05,85.0,82.30000305175781,81.8499984741211,85.4000015258789,151500.0
2011-05-06,83.30000305175781,81.4000015258789,81.0,84.94999694824219,116600.0
2011-05-09,80.94999694824219,85.1500015258789,80.9000015258789,85.5999984741211,88900.0
2011-05-10,85.3499984741211,86.3499984741211,84.6500015258789,86.5,51100.0
2011-05-11,85.94999694824219,84.25,83.5,86.3499984741211,69000.0
2011-05-12,84.05000305175781,84.5,83.5999984741211,85.0999984741211,66400.0
2011-05-13,84.6500015258789,83.5999984741211,83.25,85.0999984741211,44000.0
2011-05-16,83.19999694824219,84.30000305175781,83.0,85.55000305175781,68900.0
2011-05-17,84.0999984741211,84.1500015258789,82.94999694824219,84.6500015258789,58800.0
2011-05-18,84.44999694824219,83.44999694824219,83.1500015258789,84.6500015258789,50200.0
2011-05-19,83.80000305175781,84.5,82.5,84.69999694824219,105900.0
2011-05-20,84.19999694824219,85.1500015258789,84.05000305175781,85.6500015258789,92500.0
2011-05-23,84.30000305175781,83.9000015258789,83.4000015258789,84.75,47200.0
2011-05-24,84.4000015258789,85.19999694824219,84.25,85.69999694824219,87000.0
2011-05-25,85.05000305175781,85.94999694824219,84.8499984741211,86.1500015258789,67900.0
2011-05-26,85.94999694824219,86.25,85.1500015258789,86.5,46900.0
2011-05-27,86.6500015258789,86.3499984741211,86.0,86.75,26500.0
2011-05-31,87.0,87.0,85.94999694824219,87.25,81100.0
2011-06-01,87.25,84.0999984741211,84.05000305175781,87.75,69900.0
2011-06-02,84.05000305175781,84.44999694824219,83.80000305175781,85.5,48100.0
2011-06-03,83.94999694824219,83.6500015258789,82.80000305175781,84.30000305175781,74100.0
2011-06-06,83.4000015258789,81.0,80.6500015258789,83.69999694824219,84700.0
2011-06-07,81.5,81.1500015258789,80.25,82.5,98100.0
2011-06-08,81.05000305175781,82.94999694824219,81.0,83.25,78100.0
2011-06-09,83.5,84.9000015258789,82.75,85.05000305175781,103800.0
2011-06-10,84.4000015258789,83.8499984741211,83.19999694824219,85.0,70800.0
2011-06-13,84.05000305175781,81.25,79.55000305175781,84.55000305175781,85900.0
2011-06-14,81.94999694824219,84.94999694824219,81.94999694824219,84.94999694824219,64200.0
2011-06-15,84.30000305175781,82.5,81.75,84.69999694824219,62200.0
2011-06-16,82.5,81.44999694824219,81.25,83.05000305175781,81600.0
2011-06-17,81.6500015258789,81.0,79.94999694824219,82.19999694824219,99800.0
2011-06-20,80.44999694824219,78.6500015258789,77.9000015258789,80.5999984741211,113400.0
2011-06-21,79.19999694824219,78.05000305175781,77.4000015258789,79.44999694824219,147900.0
2011-06-22,77.80000305175781,78.1500015258789,76.75,79.69999694824219,161600.0
2011-06-23,77.1500015258789,77.94999694824219,75.75,78.05000305175781,91700.0
2011-06-24,78.19999694824219,76.94999694824219,76.5,78.19999694824219,188600.0
2011-06-27,77.0999984741211,76.8499984741211,76.30000305175781,77.25,107200.0
2011-06-28,77.0999984741211,76.8499984741211,76.4000015258789,77.30000305175781,133800.0
2011-06-29,77.25,78.55000305175781,76.5,78.8499984741211,220400.0
2011-06-30,78.8499984741211,80.80000305175781,78.44999694824219,80.94999694824219,94800.0
2011-07-01,79.94999694824219,82.5999984741211,79.55000305175781,82.75,69300.0
2011-07-05,82.69999694824219,84.0999984741211,82.69999694824219,84.44999694824219,56200.0
2011-07-06,84.0999984741211,84.5,83.5,84.5,65900.0
2011-07-07,84.80000305175781,85.6500015258789,84.80000305175781,86.19999694824219,47800.0
2011-07-08,84.69999694824219,83.5999984741211,82.80000305175781,85.25,52400.0
2011-07-11,82.80000305175781,81.75,81.1500015258789,84.1500015258789,58500.0
2011-07-12,81.6500015258789,82.0,81.44999694824219,84.19999694824219,56200.0
2011-07-13,82.5,82.8499984741211,82.30000305175781,84.5,122300.0
2011-07-14,83.4000015258789,82.3499984741211,82.05000305175781,85.19999694824219,77800.0
2011-07-15,82.5999984741211,85.25,82.5999984741211,85.5999984741211,63900.0
2011-07-18,85.19999694824219,83.80000305175781,83.75,85.5999984741211,100300.0
2011-07-19,84.4000015258789,85.19999694824219,84.25,86.0999984741211,211100.0
2011-07-20,85.6500015258789,85.05000305175781,84.5,85.8499984741211,52800.0
2011-07-21,85.5,87.0,85.0999984741211,87.0999984741211,102200.0
2011-07-22,87.05000305175781,87.0,86.25,87.5,39200.0
2011-07-25,86.19999694824219,85.80000305175781,85.44999694824219,87.1500015258789,40700.0
2011-07-26,86.0,85.1500015258789,84.69999694824219,86.0999984741211,53600.0
2011-07-27,84.5,82.6500015258789,81.94999694824219,84.9000015258789,62000.0
2011-07-28,82.55000305175781,81.94999694824219,81.44999694824219,83.25,32600.0
2011-07-29,80.80000305175781,81.44999694824219,80.4000015258789,82.44999694824219,35100.0
2011-08-01,82.5999984741211,81.9000015258789,81.0999984741211,83.44999694824219,51700.0
2011-08-02,81.3499984741211,79.19999694824219,78.94999694824219,82.6500015258789,67600.0
2011-08-03,79.44999694824219,79.25,76.94999694824219,79.8499984741211,66900.0
2011-08-04,78.0,74.1500015258789,73.69999694824219,78.0,172900.0
2011-08-05,74.9000015258789,71.5,69.75,74.94999694824219,137800.0
2011-08-08,70.05000305175781,65.55000305175781,65.19999694824219,71.5,251200.0
2011-08-09,66.80000305175781,71.5,65.05000305175781,72.25,264700.0
2011-08-10,70.44999694824219,68.5,68.25,72.3499984741211,132400.0
2011-08-11,69.0,69.80000305175781,67.3499984741211,70.9000015258789,143300.0
2011-08-12,70.6500015258789,69.0999984741211,68.0999984741211,70.94999694824219,43300.0
2011-08-15,69.9000015258789,69.44999694824219,68.55000305175781,71.55000305175781,95700.0
2011-08-16,68.44999694824219,66.69999694824219,66.19999694824219,68.5,203200.0
2011-08-17,67.30000305175781,65.94999694824219,65.75,68.30000305175781,141400.0
2011-08-18,64.4000015258789,63.849998474121094,62.900001525878906,65.05000305175781,216500.0
2011-08-19,62.900001525878906,62.20000076293945,62.04999923706055,64.75,84200.0
2011-08-22,63.95000076293945,61.54999923706055,61.099998474121094,64.0999984741211,131000.0
2011-08-23,61.95000076293945,63.70000076293945,61.5,63.849998474121094,70900.0
2011-08-24,63.54999923706055,64.44999694824219,63.400001525878906,64.69999694824219,66700.0
