Date,pbyiopen,pbyiclose,pbyilow,pbyihigh,pbyivolume
2012-07-18,12.5,12.5,12.5,12.5,0
2012-07-19,12.0,12.0,12.0,12.0,1800
2012-07-20,12.5,12.5,12.5,12.5,11500
2012-07-23,12.5,12.5,12.5,12.5,0
2012-07-24,12.5,12.5,12.5,12.5,0
2012-07-25,12.0,12.0,12.0,12.0,15400
2012-07-26,12.0,12.0,12.0,12.0,0
2012-07-27,12.5,12.5,12.5,12.5,450000
2012-07-30,12.75,12.979999542236328,12.550000190734863,13.0,27700
2012-07-31,12.949999809265137,12.75,12.75,12.949999809265137,800
2012-08-01,12.5,12.399999618530273,12.0,12.5,43000
2012-08-02,12.399999618530273,12.399999618530273,12.350000381469727,12.399999618530273,1000
2012-08-03,12.399999618530273,12.300000190734863,12.25,12.649999618530273,44300
2012-08-06,12.300000190734863,12.300000190734863,12.300000190734863,12.300000190734863,0
2012-08-07,13.0,12.800000190734863,12.550000190734863,13.0,343400
2012-08-08,13.0,13.0,13.0,13.0,1500
2012-08-09,13.5,13.5,13.5,13.5,10200
2012-08-10,13.5,13.5,13.5,13.5,0
2012-08-13,13.5,13.5,13.5,13.5,0
2012-08-14,13.5,13.5,13.5,13.5,0
2012-08-15,13.5,13.5,13.5,13.5,200
2012-08-16,13.5,13.5,13.5,13.5,0
2012-08-17,13.5,13.5,13.5,13.5,0
2012-08-20,14.0,14.5,14.0,14.5,6900
2012-08-21,14.5,14.0,14.0,14.5,8800
2012-08-22,14.0,14.0,14.0,14.0,0
2012-08-23,13.899999618530273,13.899999618530273,13.899999618530273,13.899999618530273,200
2012-08-24,14.25,14.5,14.0,14.75,23300
2012-08-27,14.5,14.0,14.0,14.5,46900
2012-08-28,14.149999618530273,14.0,14.0,14.149999618530273,35800
2012-08-29,14.989999771118164,14.100000381469727,14.050000190734863,14.989999771118164,7800
2012-08-30,15.0,14.050000190734863,14.050000190734863,15.0,2600
2012-08-31,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,0
2012-09-04,14.0,14.0,14.0,14.25,1500
2012-09-05,14.25,14.649999618530273,14.180000305175781,14.649999618530273,1200
2012-09-06,14.699999809265137,14.899999618530273,14.699999809265137,14.899999618530273,900
2012-09-07,14.989999771118164,14.899999618530273,14.899999618530273,14.989999771118164,2800
2012-09-10,14.0,14.0,14.0,14.0,500
2012-09-11,14.0,14.0,14.0,14.0,0
2012-09-12,14.0,14.0,14.0,14.0,0
2012-09-13,14.0,14.0,14.0,14.0,0
2012-09-14,14.25,14.25,14.25,14.25,100
2012-09-17,14.25,14.25,14.25,14.25,0
2012-09-18,14.25,14.25,14.25,14.25,1200
2012-09-19,14.050000190734863,14.0,14.0,14.050000190734863,6700
2012-09-20,14.989999771118164,15.0,14.989999771118164,15.0,1000
2012-09-21,15.0,14.899999618530273,14.899999618530273,15.0,2900
2012-09-24,14.5,14.5,14.5,14.5,1100
2012-09-25,14.899999618530273,14.899999618530273,14.899999618530273,15.0,1200
2012-09-26,14.899999618530273,14.899999618530273,14.899999618530273,14.899999618530273,0
2012-09-27,14.90999984741211,15.0,14.899999618530273,15.0,3400
2012-09-28,15.0,15.0,15.0,15.0,200
2012-10-01,15.0,15.010000228881836,15.0,15.010000228881836,4800
2012-10-02,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,0
2012-10-03,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,0
2012-10-04,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,0
2012-10-05,16.0,16.25,16.0,16.25,2000
2012-10-08,16.5,17.25,16.5,17.5,6900
2012-10-09,17.25,17.25,17.25,17.25,1700
2012-10-10,17.25,17.25,17.25,17.25,0
2012-10-11,16.75,16.5,16.5,16.75,1600
2012-10-12,16.25,15.5,15.199999809265137,16.25,9900
2012-10-15,15.5,15.5,15.5,15.5,600
2012-10-16,15.5,15.5,15.5,15.5,0
2012-10-17,15.5,15.5,15.5,15.5,1400
2012-10-18,15.449999809265137,16.5,15.449999809265137,16.5,9000
2012-10-19,19.479999542236328,22.3799991607666,19.25,23.25,2642000
2012-10-22,22.010000228881836,21.700000762939453,20.110000610351562,22.190000534057617,237200
2012-10-23,21.299999237060547,22.600000381469727,21.0,22.649999618530273,105800
2012-10-24,22.700000762939453,21.700000762939453,21.6200008392334,22.700000762939453,168200
2012-10-25,21.850000381469727,21.899999618530273,21.260000228881836,22.25,170000
2012-10-26,15.449999809265137,16.5,15.449999809265137,16.5,9000
2012-10-31,21.700000762939453,20.600000381469727,18.18000030517578,21.940000534057617,56800
2012-11-01,21.5,21.75,21.5,22.0,62600
2012-11-02,21.739999771118164,21.530000686645508,20.899999618530273,21.75,30900
2012-11-05,22.0,21.899999618530273,21.260000228881836,22.0,48900
2012-11-06,22.0,21.639999389648438,21.0,22.100000381469727,16000
2012-11-07,21.25,21.260000228881836,21.25,21.719999313354492,13000
2012-11-08,21.0,20.0,17.760000228881836,21.0,99200
2012-11-09,20.0,20.079999923706055,19.020000457763672,20.09000015258789,20000
2012-11-12,20.5,20.010000228881836,20.0,21.600000381469727,4900
2012-11-13,20.0,19.860000610351562,19.579999923706055,20.43000030517578,32900
2012-11-14,19.860000610351562,19.209999084472656,16.079999923706055,20.0,66600
2012-11-15,19.31999969482422,18.59000015258789,17.6299991607666,20.5,94000
2012-11-16,18.75,18.450000762939453,18.200000762939453,19.8799991607666,132400
2012-11-19,18.579999923706055,18.899999618530273,18.360000610351562,18.989999771118164,49800
2012-11-20,18.75,18.5,18.059999465942383,19.09000015258789,80000
2012-11-21,19.0,18.75,18.469999313354492,19.020000457763672,157200
2012-11-23,18.8799991607666,18.34000015258789,18.059999465942383,18.8799991607666,3200
2012-11-26,18.219999313354492,18.469999313354492,17.68000030517578,18.760000228881836,173400
2012-11-27,18.399999618530273,18.139999389648438,17.989999771118164,18.639999389648438,26800
2012-11-28,18.030000686645508,19.170000076293945,17.600000381469727,19.780000686645508,47200
2012-11-29,18.809999465942383,19.479999542236328,18.799999237060547,19.56999969482422,2900
2012-11-30,20.200000762939453,20.600000381469727,19.68000030517578,21.93000030517578,97600
2012-12-03,21.100000381469727,20.969999313354492,20.760000228881836,21.5,84400
2012-12-04,21.0,19.530000686645508,18.5,21.299999237060547,29000
2012-12-05,18.809999465942383,19.829999923706055,18.809999465942383,19.8799991607666,35000
2012-12-06,20.299999237060547,19.5,19.139999389648438,20.399999618530273,60500
2012-12-07,19.309999465942383,19.3799991607666,18.25,19.780000686645508,226600
2012-12-10,19.5,19.399999618530273,18.899999618530273,19.5,188200
2012-12-11,19.049999237060547,19.25,19.0,19.729999542236328,55200
2012-12-12,20.0,19.6200008392334,18.709999084472656,20.3799991607666,160500
2012-12-13,19.81999969482422,19.489999771118164,19.079999923706055,19.81999969482422,147300
2012-12-14,19.299999237060547,19.5,19.0,19.8700008392334,38500
2012-12-17,19.860000610351562,19.34000015258789,19.25,20.90999984741211,83900
2012-12-18,19.510000228881836,19.15999984741211,18.770000457763672,19.579999923706055,118700
2012-12-19,19.020000457763672,18.959999084472656,18.6200008392334,19.100000381469727,73200
2012-12-20,18.6299991607666,18.889999389648438,18.510000228881836,19.200000762939453,51000
2012-12-21,18.940000534057617,18.780000686645508,18.229999542236328,19.0,85100
2012-12-24,18.760000228881836,18.739999771118164,18.270000457763672,19.0,12900
2012-12-26,19.0,19.0,18.420000076293945,19.0,12500
2012-12-27,18.530000686645508,18.899999618530273,18.280000686645508,19.139999389648438,37200
2012-12-28,18.84000015258789,18.790000915527344,18.549999237060547,19.43000030517578,31900
2012-12-31,18.65999984741211,18.75,18.219999313354492,18.860000610351562,64900
2013-01-02,18.920000076293945,19.010000228881836,18.469999313354492,19.81999969482422,187100
2013-01-03,19.0,18.950000762939453,18.940000534057617,19.18000030517578,54400
2013-01-04,18.899999618530273,19.350000381469727,18.899999618530273,19.700000762939453,73300
2013-01-07,19.1200008392334,19.010000228881836,18.610000610351562,19.329999923706055,105300
2013-01-08,19.040000915527344,19.09000015258789,18.520000457763672,19.100000381469727,66700
2013-01-09,19.299999237060547,20.809999465942383,18.84000015258789,21.5,175900
2013-01-10,20.950000762939453,21.079999923706055,20.049999237060547,21.5,234900
2013-01-11,21.209999084472656,21.270000457763672,20.829999923706055,22.010000228881836,95400
2013-01-14,21.25,21.450000762939453,20.850000381469727,21.469999313354492,73700
2013-01-15,21.489999771118164,22.989999771118164,21.350000381469727,23.899999618530273,274300
2013-01-16,22.81999969482422,23.290000915527344,22.43000030517578,23.440000534057617,73600
2013-01-17,23.18000030517578,23.040000915527344,22.670000076293945,23.489999771118164,42800
2013-01-18,22.90999984741211,23.1200008392334,22.799999237060547,23.450000762939453,122800
2013-01-22,23.010000228881836,24.469999313354492,22.889999389648438,24.790000915527344,91200
2013-01-23,24.420000076293945,25.139999389648438,23.719999313354492,25.510000228881836,103400
2013-01-24,26.489999771118164,26.600000381469727,24.739999771118164,27.719999313354492,204500
2013-01-25,26.520000457763672,26.3700008392334,26.270000457763672,27.950000762939453,193400
2013-01-28,26.15999984741211,25.1200008392334,24.899999618530273,26.15999984741211,88200
2013-01-29,24.5,24.649999618530273,24.0,25.329999923706055,89300
2013-01-30,24.610000610351562,24.260000228881836,23.639999389648438,24.809999465942383,187100
2013-01-31,24.079999923706055,23.139999389648438,22.43000030517578,24.170000076293945,283500
2013-02-01,23.440000534057617,23.559999465942383,22.700000762939453,23.719999313354492,71600
2013-02-04,23.329999923706055,23.100000381469727,22.860000610351562,23.8799991607666,153400
2013-02-05,22.989999771118164,22.549999237060547,22.0,23.100000381469727,217900
2013-02-06,22.459999084472656,22.600000381469727,22.290000915527344,22.829999923706055,39800
2013-02-07,22.540000915527344,22.6200008392334,22.510000228881836,22.850000381469727,19400
2013-02-08,22.610000610351562,23.25,22.399999618530273,23.389999389648438,86500
2013-02-11,23.389999389648438,23.049999237060547,22.450000762939453,23.450000762939453,45700
2013-02-12,23.0,24.5,22.329999923706055,25.81999969482422,91000
2013-02-13,24.56999969482422,24.260000228881836,23.770000457763672,24.93000030517578,47400
2013-02-14,25.100000381469727,24.25,24.100000381469727,25.100000381469727,124000
