Date,piiopen,piiclose,piilow,piihigh,piivolume
2016-07-01,80.83999633789062,86.33999633789062,80.45999908447266,88.19999694824219,3351700.0
2016-07-05,84.9800033569336,82.7300033569336,82.19000244140625,84.9800033569336,1591500.0
2016-07-06,82.04000091552734,82.30000305175781,80.1500015258789,82.41000366210938,1105000.0
2016-07-07,82.73999786376953,82.94000244140625,82.08999633789062,83.79000091552734,478800.0
2016-07-08,84.23999786376953,85.2300033569336,84.22000122070312,86.2699966430664,1011000.0
2016-07-11,85.98999786376953,86.2300033569336,85.70999908447266,86.69999694824219,521400.0
2016-07-12,85.11000061035156,88.11000061035156,85.06999969482422,88.38999938964844,1305000.0
2016-07-13,87.58999633789062,87.58999633789062,86.87999725341797,88.93000030517578,915000.0
2016-07-14,88.11000061035156,87.7699966430664,87.41000366210938,88.9000015258789,820100.0
2016-07-15,87.7699966430664,88.06999969482422,87.11000061035156,88.79000091552734,832400.0
2016-07-18,87.55000305175781,88.51000213623047,87.4800033569336,88.98999786376953,1174700.0
2016-07-19,87.8499984741211,87.0999984741211,85.80999755859375,89.06999969482422,2013500.0
2016-07-20,85.5999984741211,95.02999877929688,85.41000366210938,95.76000213623047,4660000.0
2016-07-21,95.88999938964844,96.87000274658203,95.16000366210938,98.94000244140625,2407300.0
2016-07-22,97.0999984741211,96.55999755859375,95.31999969482422,97.47000122070312,1658900.0
2016-07-25,96.26000213623047,96.98999786376953,95.94000244140625,97.37999725341797,995700.0
2016-07-26,94.73999786376953,95.0999984741211,92.91000366210938,97.0999984741211,2266900.0
2016-07-27,95.41000366210938,95.66999816894531,94.68000030517578,96.91999816894531,1379200.0
2016-07-28,94.87000274658203,95.33000183105469,93.62000274658203,95.56999969482422,912900.0
2016-07-29,95.04000091552734,98.75,93.86000061035156,99.0,3050100.0
2016-08-01,98.76000213623047,94.66999816894531,94.29000091552734,98.93000030517578,1440100.0
2016-08-02,94.66999816894531,92.29000091552734,92.06999969482422,94.98999786376953,748900.0
2016-08-03,91.8499984741211,94.06999969482422,91.0,94.45999908447266,598200.0
2016-08-04,94.12999725341797,94.37000274658203,93.62999725341797,95.13999938964844,419500.0
2016-08-05,94.9000015258789,95.26000213623047,94.55999755859375,96.08000183105469,643300.0
2016-08-08,96.88999938964844,97.08000183105469,96.0199966430664,97.58999633789062,780800.0
2016-08-09,96.80999755859375,95.75,95.44999694824219,97.55999755859375,627000.0
2016-08-10,95.86000061035156,94.69999694824219,94.29000091552734,96.22000122070312,405700.0
2016-08-11,95.51000213623047,94.86000061035156,94.66000366210938,96.29000091552734,625300.0
2016-08-12,94.80000305175781,94.83999633789062,94.13999938964844,95.72000122070312,476400.0
2016-08-15,95.1500015258789,98.66000366210938,95.13999938964844,98.7300033569336,1225300.0
2016-08-16,97.5,94.79000091552734,94.54000091552734,98.31999969482422,1260600.0
2016-08-17,94.72000122070312,93.8499984741211,92.87999725341797,95.3499984741211,647600.0
2016-08-18,93.9800033569336,91.62999725341797,91.22000122070312,94.23999786376953,1606400.0
2016-08-19,91.43000030517578,92.79000091552734,90.01000213623047,93.43000030517578,799500.0
2016-08-22,92.76000213623047,92.0,91.66000366210938,93.29000091552734,819600.0
2016-08-23,92.86000061035156,93.13999938964844,92.41000366210938,93.98999786376953,752700.0
2016-08-24,93.11000061035156,91.6500015258789,91.45999908447266,93.91999816894531,512500.0
2016-08-25,91.58999633789062,91.22000122070312,90.61000061035156,91.97000122070312,501700.0
2016-08-26,91.55000305175781,90.81999969482422,90.20999908447266,92.9800033569336,827000.0
2016-08-29,91.08000183105469,90.13999938964844,89.91999816894531,91.19000244140625,540100.0
2016-08-30,89.5199966430664,88.87000274658203,88.68000030517578,90.36000061035156,592100.0
2016-08-31,88.0999984741211,86.63999938964844,85.16000366210938,88.19999694824219,1798900.0
2016-09-01,86.41999816894531,85.81999969482422,85.20999908447266,87.11000061035156,1000500.0
