Date,vstmopen,vstmclose,vstmlow,vstmhigh,vstmvolume
2014-06-06,9.399999618530273,9.25,8.899999618530273,9.420000076293945,155600
2014-06-09,9.289999961853027,9.899999618530273,8.899999618530273,10.220000267028809,381900
2014-06-10,10.0,10.069999694824219,9.609999656677246,10.15999984741211,171800
2014-06-11,9.960000038146973,9.739999771118164,9.5,10.5,245500
2014-06-12,9.640000343322754,9.800000190734863,9.569999694824219,10.34000015258789,131100
2014-06-13,9.829999923706055,9.470000267028809,9.25,9.869999885559082,141200
2014-06-16,9.430000305175781,9.880000114440918,9.3100004196167,9.949999809265137,129100
2014-06-17,9.949999809265137,10.0600004196167,9.819999694824219,10.170000076293945,147900
2014-06-18,10.09000015258789,9.930000305175781,9.699999809265137,10.109999656677246,140900
2014-06-19,9.949999809265137,9.710000038146973,9.550000190734863,9.949999809265137,115200
2014-06-20,9.800000190734863,9.800000190734863,9.319999694824219,9.880000114440918,186100
2014-06-23,9.899999618530273,9.319999694824219,9.220000267028809,9.989999771118164,248400
2014-06-24,9.34000015258789,9.220000267028809,9.0600004196167,9.640000343322754,186600
2014-06-25,9.119999885559082,9.109999656677246,9.020000457763672,9.3100004196167,178100
2014-06-26,9.15999984741211,9.109999656677246,8.9399995803833,9.170000076293945,142400
2014-06-27,9.039999961853027,9.520000457763672,8.859999656677246,9.539999961853027,924700
2014-06-30,9.59000015258789,9.0600004196167,9.010000228881836,9.59000015258789,143000
2014-07-01,9.020000457763672,9.0600004196167,8.899999618530273,9.359999656677246,147400
2014-07-02,9.0,9.329999923706055,9.0,9.420000076293945,88200
2014-07-03,9.380000114440918,9.729999542236328,9.180000305175781,9.789999961853027,130200
2014-07-07,9.720000267028809,8.989999771118164,8.930000305175781,9.720000267028809,336300
2014-07-08,8.800000190734863,8.4399995803833,8.050000190734863,8.930000305175781,780300
2014-07-09,8.430000305175781,8.579999923706055,8.390000343322754,8.989999771118164,302600
2014-07-10,8.420000076293945,8.479999542236328,8.319999694824219,8.720000267028809,211400
2014-07-11,8.710000038146973,8.640000343322754,8.550000190734863,8.819999694824219,325900
2014-07-14,8.84000015258789,8.710000038146973,8.649999618530273,8.989999771118164,306400
2014-07-15,8.739999771118164,8.779999732971191,8.460000038146973,8.880000114440918,220000
2014-07-16,8.8100004196167,8.859999656677246,8.619999885559082,8.949999809265137,152300
2014-07-17,8.75,8.5,8.369999885559082,8.930000305175781,177000
2014-07-18,8.40999984741211,8.380000114440918,8.300000190734863,8.520000457763672,171000
2014-07-21,8.270000457763672,8.390000343322754,8.15999984741211,8.720000267028809,157000
2014-07-22,8.520000457763672,8.359999656677246,8.270000457763672,8.539999961853027,158600
2014-07-23,8.430000305175781,8.430000305175781,8.359999656677246,8.619999885559082,265500
2014-07-24,8.600000381469727,8.399999618530273,8.229999542236328,8.600000381469727,210100
2014-07-25,8.270000457763672,8.300000190734863,8.130000114440918,8.399999618530273,135900
