Date,astcopen,astcclose,astclow,astchigh,astcvolume
2016-05-26,8.5,8.449999809265137,8.149999618530273,8.5,2400.0
2016-05-27,8.5,8.300000190734863,8.199999809265137,8.5,3400.0
2016-05-31,8.149999618530273,8.699999809265137,8.149999618530273,9.0,5400.0
2016-06-01,8.600000381469727,8.75,8.600000381469727,9.050000190734863,3900.0
2016-06-02,8.649999618530273,8.600000381469727,8.600000381469727,9.050000190734863,7500.0
2016-06-03,8.649999618530273,8.699999809265137,8.649999618530273,8.850000381469727,1600.0
2016-06-06,8.699999809265137,9.449999809265137,8.699999809265137,10.75,22600.0
2016-06-07,9.399999618530273,9.300000190734863,9.149999618530273,9.5,4200.0
2016-06-08,9.399999618530273,9.25,9.149999618530273,9.699999809265137,1300.0
2016-06-09,9.350000381469727,9.5,8.75,9.5,6500.0
2016-06-10,9.449999809265137,9.300000190734863,8.75,9.449999809265137,2200.0
2016-06-13,9.149999618530273,8.399999618530273,8.350000381469727,9.399999618530273,2300.0
2016-06-14,8.600000381469727,8.5,8.350000381469727,8.800000190734863,5500.0
2016-06-15,8.699999809265137,8.75,8.449999809265137,9.050000190734863,1700.0
2016-06-16,8.800000190734863,8.649999618530273,8.399999618530273,9.199999809265137,4800.0
2016-06-17,8.5,8.300000190734863,8.300000190734863,8.550000190734863,4500.0
2016-06-20,8.550000190734863,8.699999809265137,8.449999809265137,8.75,3100.0
2016-06-21,8.75,8.699999809265137,8.300000190734863,8.850000381469727,10800.0
2016-06-22,8.75,8.75,8.600000381469727,8.850000381469727,2800.0
2016-06-23,8.5,8.350000381469727,8.25,8.899999618530273,14500.0
2016-06-24,7.900000095367432,9.050000190734863,7.900000095367432,9.050000190734863,7800.0
2016-06-27,8.600000381469727,8.449999809265137,8.050000190734863,8.949999809265137,9400.0
2016-06-28,8.350000381469727,8.449999809265137,8.350000381469727,8.649999618530273,4000.0
2016-06-29,8.5,8.899999618530273,8.199999809265137,9.0,7900.0
2016-06-30,8.899999618530273,8.449999809265137,8.399999618530273,8.899999618530273,7900.0
2016-07-01,8.800000190734863,8.75,8.550000190734863,8.800000190734863,1400.0
2016-07-05,8.699999809265137,8.850000381469727,8.699999809265137,8.949999809265137,1200.0
2016-07-06,8.800000190734863,8.75,8.550000190734863,9.050000190734863,3500.0
2016-07-07,8.850000381469727,8.600000381469727,8.600000381469727,9.0,1400.0
2016-07-08,8.600000381469727,8.649999618530273,8.449999809265137,9.0,4900.0
2016-07-11,8.850000381469727,8.199999809265137,7.599999904632568,8.850000381469727,33600.0
2016-07-12,8.399999618530273,8.0,7.949999809265137,8.5,9300.0
2016-07-13,8.050000190734863,8.149999618530273,7.699999809265137,8.350000381469727,6700.0
2016-07-14,8.199999809265137,8.25,8.199999809265137,9.100000381469727,7700.0
2016-07-15,8.399999618530273,8.550000190734863,8.25,8.649999618530273,2600.0
2016-07-18,8.649999618530273,9.0,8.550000190734863,9.100000381469727,5400.0
2016-07-19,9.0,8.649999618530273,8.600000381469727,9.199999809265137,6900.0
2016-07-20,8.600000381469727,9.149999618530273,8.600000381469727,9.149999618530273,4500.0
2016-07-21,9.0,9.199999809265137,8.600000381469727,10.399999618530273,30200.0
2016-07-22,9.199999809265137,9.149999618530273,8.850000381469727,9.199999809265137,700.0
