Date,shpgfopen,shpgfclose,shpgflow,shpgfhigh,shpgfvolume
2010-06-04,21.149999618530273,21.149999618530273,21.149999618530273,21.149999618530273,0.0
2010-06-07,20.25,20.25,20.25,20.25,900.0
2010-06-08,20.25,20.25,20.25,20.25,0.0
2010-06-09,20.579999923706055,20.579999923706055,20.579999923706055,20.579999923706055,5000.0
2010-06-10,20.75,20.75,20.75,20.75,1000.0
2010-06-11,20.75,20.75,20.75,20.75,0.0
2010-06-14,20.75,20.75,20.75,20.75,0.0
2010-06-15,20.899999618530273,20.899999618530273,20.899999618530273,20.899999618530273,600.0
2010-06-16,20.899999618530273,20.899999618530273,20.899999618530273,20.899999618530273,0.0
2010-06-17,20.899999618530273,20.899999618530273,20.899999618530273,20.899999618530273,0.0
2010-06-18,20.899999618530273,20.899999618530273,20.899999618530273,20.899999618530273,0.0
2010-06-21,21.0,21.0,21.0,21.0,400.0
2010-06-22,21.0,21.0,21.0,21.0,0.0
2010-06-23,21.100000381469727,21.049999237060547,20.979999542236328,21.100000381469727,1200.0
2010-06-24,21.049999237060547,20.850000381469727,20.850000381469727,21.049999237060547,12000.0
2010-06-25,21.020000457763672,21.020000457763672,21.020000457763672,21.020000457763672,400.0
2010-06-28,21.020000457763672,21.020000457763672,21.020000457763672,21.020000457763672,0.0
2010-06-29,21.020000457763672,21.020000457763672,21.020000457763672,21.020000457763672,0.0
2010-06-30,20.450000762939453,20.299999237060547,20.299999237060547,20.450000762939453,800.0
2010-07-01,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,0.0
2010-07-02,20.450000762939453,20.450000762939453,20.450000762939453,20.450000762939453,600.0
2010-07-06,20.850000381469727,20.850000381469727,20.850000381469727,20.850000381469727,500.0
2010-07-07,20.850000381469727,20.850000381469727,20.850000381469727,20.850000381469727,0.0
2010-07-08,21.540000915527344,21.540000915527344,21.540000915527344,21.540000915527344,42600.0
2010-07-09,21.600000381469727,21.450000762939453,21.450000762939453,21.600000381469727,1600.0
2010-07-12,21.600000381469727,21.600000381469727,21.600000381469727,21.600000381469727,200.0
2010-07-13,22.0,21.950000762939453,21.950000762939453,22.049999237060547,5500.0
2010-07-14,21.950000762939453,21.950000762939453,21.950000762939453,21.950000762939453,0.0
