Date,tifopen,tifclose,tiflow,tifhigh,tifvolume
2010-07-19,39.36000061035156,38.79999923706055,38.470001220703125,39.52000045776367,3520500.0
2010-07-20,38.25,39.560001373291016,37.97999954223633,39.70000076293945,2743600.0
2010-07-21,40.08000183105469,39.209999084472656,39.11000061035156,40.33000183105469,2635900.0
2010-07-22,39.790000915527344,40.709999084472656,39.779998779296875,40.970001220703125,2163300.0
2010-07-23,40.810001373291016,41.5,40.459999084472656,41.58000183105469,1835100.0
2010-07-26,41.70000076293945,42.09000015258789,41.22999954223633,42.13999938964844,1444600.0
2010-07-27,42.189998626708984,42.0099983215332,41.66999816894531,42.709999084472656,3038600.0
2010-07-28,41.83000183105469,41.72999954223633,41.40999984741211,42.220001220703125,2346200.0
2010-07-29,42.13999938964844,41.5099983215332,40.68000030517578,42.400001525878906,2512200.0
2010-07-30,40.810001373291016,42.06999969482422,40.130001068115234,42.279998779296875,2753600.0
2010-08-02,42.75,43.54999923706055,42.529998779296875,43.95000076293945,3009500.0
2010-08-03,43.4900016784668,42.25,41.689998626708984,43.54999923706055,3447400.0
2010-08-04,42.380001068115234,42.45000076293945,42.189998626708984,42.86000061035156,1997600.0
2010-08-05,42.02000045776367,43.2599983215332,41.630001068115234,43.400001525878906,3122200.0
2010-08-06,42.619998931884766,43.34000015258789,42.189998626708984,43.34000015258789,5317300.0
2010-08-09,43.36000061035156,44.400001525878906,43.36000061035156,44.56999969482422,3682500.0
2010-08-10,43.939998626708984,44.0099983215332,43.2400016784668,44.20000076293945,2939800.0
2010-08-11,43.130001068115234,42.47999954223633,42.189998626708984,43.33000183105469,3114000.0
2010-08-12,41.70000076293945,42.439998626708984,41.25,42.619998931884766,3126300.0
2010-08-13,42.29999923706055,41.790000915527344,41.779998779296875,42.599998474121094,3404000.0
2010-08-16,41.5099983215332,41.68000030517578,41.349998474121094,42.09000015258789,2024300.0
2010-08-17,42.22999954223633,42.7599983215332,42.13999938964844,43.16999816894531,2146000.0
2010-08-18,42.75,43.5099983215332,42.22999954223633,43.81999969482422,2363100.0
2010-08-19,43.47999954223633,43.209999084472656,42.5099983215332,43.939998626708984,3127200.0
2010-08-20,42.72999954223633,43.29999923706055,42.189998626708984,43.34000015258789,2159300.0
2010-08-23,43.650001525878906,43.04999923706055,42.93000030517578,44.119998931884766,2193600.0
2010-08-24,42.369998931884766,41.97999954223633,41.5,42.77000045776367,3021200.0
2010-08-25,41.63999938964844,42.209999084472656,41.189998626708984,42.47999954223633,3581000.0
2010-08-26,42.380001068115234,42.040000915527344,42.029998779296875,43.060001373291016,3494800.0
2010-08-27,42.150001525878906,40.709999084472656,39.5099983215332,42.4900016784668,7814200.0
2010-08-30,40.689998626708984,39.84000015258789,39.779998779296875,40.869998931884766,3436100.0
2010-08-31,39.66999816894531,39.630001068115234,39.43000030517578,40.65999984741211,3262000.0
2010-09-01,40.06999969482422,41.130001068115234,40.060001373291016,41.349998474121094,2660100.0
2010-09-02,41.36000061035156,42.04999923706055,41.29999923706055,42.11000061035156,1879600.0
2010-09-03,42.540000915527344,42.79999923706055,42.099998474121094,43.150001525878906,2396400.0
2010-09-07,42.66999816894531,42.08000183105469,41.9900016784668,42.779998779296875,1738600.0
2010-09-08,42.11000061035156,42.5,42.029998779296875,42.709999084472656,1919600.0
2010-09-09,43.099998474121094,42.150001525878906,41.90999984741211,43.099998474121094,1698600.0
2010-09-10,42.189998626708984,42.5,42.13999938964844,42.65999984741211,1544500.0
2010-09-13,43.0,43.54999923706055,42.970001220703125,43.63999938964844,2362200.0
2010-09-14,43.5099983215332,43.79999923706055,43.29999923706055,44.540000915527344,1783300.0
2010-09-15,43.540000915527344,43.869998931884766,43.310001373291016,43.90999984741211,1324800.0
2010-09-16,43.34000015258789,44.41999816894531,43.33000183105469,44.43000030517578,2073000.0
2010-09-17,44.58000183105469,44.97999954223633,44.2400016784668,45.060001373291016,2171800.0
2010-09-20,45.119998931884766,46.18000030517578,44.970001220703125,46.33000183105469,2440300.0
2010-09-21,46.2400016784668,45.56999969482422,45.0,46.27000045776367,2944100.0
2010-09-22,45.349998474121094,45.560001373291016,45.13999938964844,45.900001525878906,2054100.0
2010-09-23,43.470001220703125,44.689998626708984,43.20000076293945,45.06999969482422,4078800.0
2010-09-24,45.38999938964844,45.5099983215332,45.209999084472656,45.650001525878906,2492900.0
2010-09-27,45.619998931884766,45.86000061035156,45.33000183105469,46.119998931884766,1635200.0
2010-09-28,46.040000915527344,47.11000061035156,45.31999969482422,47.16999816894531,2813800.0
2010-09-29,47.0099983215332,46.709999084472656,46.5,47.0099983215332,1639300.0
2010-09-30,46.880001068115234,46.9900016784668,46.27000045776367,47.20000076293945,1637400.0
2010-10-01,47.720001220703125,46.970001220703125,46.47999954223633,47.720001220703125,1495100.0
2010-10-04,46.77000045776367,46.45000076293945,45.91999816894531,46.88999938964844,2072300.0
2010-10-05,46.97999954223633,47.7400016784668,46.72999954223633,48.0,2004500.0
2010-10-06,47.66999816894531,47.459999084472656,47.11000061035156,47.849998474121094,1254400.0
2010-10-07,47.79999923706055,47.790000915527344,47.150001525878906,48.22999954223633,1799600.0
2010-10-08,47.939998626708984,48.5099983215332,47.880001068115234,49.04999923706055,1875700.0
2010-10-11,48.630001068115234,49.2599983215332,48.630001068115234,49.61000061035156,1362400.0
2010-10-12,49.0099983215332,49.83000183105469,48.66999816894531,50.189998626708984,2280000.0
2010-10-13,50.27000045776367,49.900001525878906,49.5099983215332,50.560001373291016,1867000.0
2010-10-14,49.83000183105469,49.439998626708984,48.970001220703125,49.869998931884766,1983000.0
2010-10-15,50.0099983215332,50.540000915527344,49.529998779296875,50.59000015258789,2090600.0
2010-10-18,50.33000183105469,50.61000061035156,50.18000030517578,50.83000183105469,1537100.0
2010-10-19,49.9900016784668,49.400001525878906,49.189998626708984,50.2400016784668,2613400.0
2010-10-20,49.41999816894531,49.849998474121094,49.380001068115234,50.13999938964844,1341400.0
2010-10-21,50.15999984741211,50.540000915527344,49.939998626708984,51.45000076293945,1811000.0
2010-10-22,50.58000183105469,50.47999954223633,50.20000076293945,50.880001068115234,1001100.0
2010-10-25,51.0,51.5,50.9900016784668,51.790000915527344,1400200.0
2010-10-26,51.099998474121094,52.40999984741211,51.099998474121094,52.880001068115234,2337100.0
2010-10-27,51.939998626708984,51.59000015258789,50.9900016784668,52.279998779296875,1968900.0
2010-10-28,51.849998474121094,51.5,50.849998474121094,52.16999816894531,1478600.0
2010-10-29,51.540000915527344,53.0,51.459999084472656,53.0,1982300.0
2010-11-01,53.119998931884766,53.47999954223633,52.959999084472656,53.970001220703125,2297600.0
2010-11-02,53.7400016784668,54.099998474121094,53.709999084472656,54.47999954223633,2536000.0
2010-11-03,54.16999816894531,53.900001525878906,53.18000030517578,54.290000915527344,1725600.0
2010-11-04,54.439998626708984,55.869998931884766,54.2599983215332,55.939998626708984,2475700.0
2010-11-05,55.970001220703125,56.95000076293945,55.79999923706055,57.380001068115234,1624200.0
2010-11-08,56.63999938964844,56.970001220703125,56.20000076293945,57.040000915527344,1247900.0
2010-11-09,57.25,56.84000015258789,56.52000045776367,57.790000915527344,1921800.0
2010-11-10,56.79999923706055,57.66999816894531,56.36000061035156,57.689998626708984,1578200.0
2010-11-11,56.900001525878906,57.040000915527344,56.79999923706055,57.779998779296875,1965100.0
2010-11-12,57.02000045776367,55.65999984741211,55.400001525878906,57.72999954223633,2511000.0
2010-11-15,56.130001068115234,56.209999084472656,56.09000015258789,57.2400016784668,1503900.0
2010-11-16,55.83000183105469,54.540000915527344,54.20000076293945,56.900001525878906,3846200.0
2010-11-17,54.650001525878906,55.65999984741211,54.650001525878906,56.20000076293945,2089000.0
2010-11-18,56.59000015258789,56.869998931884766,55.540000915527344,57.349998474121094,1643000.0
2010-11-19,56.88999938964844,58.029998779296875,56.29999923706055,58.06999969482422,1718900.0
2010-11-22,57.880001068115234,59.220001220703125,57.650001525878906,59.59000015258789,3492500.0
2010-11-23,58.5,58.27000045776367,57.25,59.029998779296875,4595800.0
2010-11-24,60.40999984741211,61.33000183105469,59.75,61.58000183105469,6792200.0
2010-11-26,61.15999984741211,60.599998474121094,60.310001373291016,61.189998626708984,1581200.0
2010-11-29,60.47999954223633,60.63999938964844,59.88999938964844,60.97999954223633,2117500.0
2010-11-30,60.11000061035156,62.099998474121094,59.900001525878906,62.66999816894531,3075700.0
2010-12-01,62.95000076293945,62.75,62.38999938964844,63.650001525878906,2418700.0
2010-12-02,62.900001525878906,63.20000076293945,62.5,63.41999816894531,2865500.0
2010-12-03,62.79999923706055,63.29999923706055,62.13999938964844,63.38999938964844,2521200.0
2010-12-06,63.119998931884766,63.06999969482422,62.54999923706055,63.290000915527344,1243400.0
