Date,abmcopen,abmcclose,abmclow,abmchigh,abmcvolume
2017-01-26,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,1200
2017-01-27,0.14000000059604645,0.10999999940395355,0.10999999940395355,0.14000000059604645,600
2017-01-30,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,300
2017-01-31,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-02-01,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,800
2017-02-02,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-02-03,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-02-06,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-02-07,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-02-08,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-02-09,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-02-10,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,1000
2017-02-13,0.10999999940395355,0.10000000149011612,0.10000000149011612,0.10999999940395355,30000
2017-02-14,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-02-15,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-02-16,0.12999999523162842,0.14000000059604645,0.12999999523162842,0.14000000059604645,5500
2017-02-17,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0
2017-02-21,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0
2017-02-22,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0
2017-02-23,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,100
2017-02-24,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,200
2017-02-27,0.11999999731779099,0.10999999940395355,0.10999999940395355,0.11999999731779099,7000
2017-02-28,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-01,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-02,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,1000
2017-03-03,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-06,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-07,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-08,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-09,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-10,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,1000
2017-03-13,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-03-14,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-03-15,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-03-16,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-03-17,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-03-20,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-03-21,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-03-22,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-03-23,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,1000
2017-03-24,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-27,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-28,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,500
2017-03-29,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-30,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-03-31,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-03,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-04,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-05,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-06,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-07,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-10,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,1500
2017-04-11,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-12,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-13,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.11999999731779099,4600
2017-04-17,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-18,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-04-19,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,1100
2017-04-20,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-04-21,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-04-24,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-04-25,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-04-26,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-04-27,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0
2017-04-28,0.10999999940395355,0.11999999731779099,0.10999999940395355,0.11999999731779099,200
2017-05-01,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,4700
2017-05-02,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,2000
2017-05-03,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-05-04,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-05-05,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-05-08,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-05-09,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-05-10,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-05-11,0.10999999940395355,0.10000000149011612,0.10000000149011612,0.10999999940395355,70700
2017-05-12,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-15,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-16,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-17,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-18,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-19,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-22,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-23,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-24,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-25,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-26,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-30,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-05-31,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-06-01,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-06-02,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,23400
2017-06-05,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,500
2017-06-06,0.10000000149011612,0.10999999940395355,0.10000000149011612,0.10999999940395355,1400
2017-06-07,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,3100
2017-06-08,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-06-09,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,200
2017-06-12,0.11999999731779099,0.12999999523162842,0.11999999731779099,0.12999999523162842,1000
2017-06-13,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0
2017-06-14,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,900
2017-06-15,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0
2017-06-16,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,200
2017-06-19,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,0
2017-06-20,0.10999999940395355,0.10000000149011612,0.10000000149011612,0.10999999940395355,309500
2017-06-21,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,300
2017-06-22,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-06-23,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-06-26,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-06-27,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-06-28,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-06-29,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,10000
2017-06-30,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-03,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-05,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-06,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-07,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-10,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-11,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-12,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,2000
2017-07-13,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,1000
2017-07-14,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-17,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-18,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,200
2017-07-19,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-20,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-21,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-24,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-25,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-07-26,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,103200
2017-07-27,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,1000
2017-07-28,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,500
2017-07-31,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,100
2017-08-01,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,20000
2017-08-02,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,30000
2017-08-03,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-08-04,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-08-07,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-08-08,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-08-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,1000
2017-08-10,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-08-11,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-08-14,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,100
2017-08-15,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0
2017-08-16,0.11999999731779099,0.12999999523162842,0.11999999731779099,0.1899999976158142,235300
2017-08-17,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,300
