Date,ptnopen,ptnclose,ptnlow,ptnhigh,ptnvolume
2014-02-25,1.2000000476837158,1.1399999856948853,1.090000033378601,1.2000000476837158,593400.0
2014-02-26,1.159999966621399,1.100000023841858,1.0700000524520874,1.159999966621399,404400.0
2014-02-27,1.0700000524520874,1.0700000524520874,1.059999942779541,1.1100000143051147,571600.0
2014-02-28,1.1399999856948853,1.059999942779541,1.0499999523162842,1.1399999856948853,553000.0
2014-03-03,1.0800000429153442,1.0499999523162842,1.0499999523162842,1.090000033378601,241400.0
2014-03-04,1.090000033378601,1.0700000524520874,1.0499999523162842,1.090000033378601,123000.0
2014-03-05,1.0800000429153442,1.0800000429153442,1.059999942779541,1.090000033378601,311800.0
2014-03-06,1.0700000524520874,1.0800000429153442,1.059999942779541,1.1200000047683716,472400.0
2014-03-07,1.090000033378601,1.0499999523162842,1.0499999523162842,1.100000023841858,181000.0
2014-03-10,1.0499999523162842,1.0499999523162842,0.949999988079071,1.059999942779541,662000.0
2014-03-11,1.0499999523162842,1.0,1.0,1.0499999523162842,161000.0
2014-03-12,1.0,1.0700000524520874,0.9700000286102295,1.0700000524520874,262400.0
2014-03-13,1.0800000429153442,1.0299999713897705,1.0,1.0800000429153442,187300.0
2014-03-14,1.0,1.0399999618530273,1.0,1.0399999618530273,106900.0
2014-03-17,1.0499999523162842,1.0800000429153442,1.0199999809265137,1.100000023841858,449700.0
2014-03-18,1.090000033378601,1.090000033378601,1.090000033378601,1.1299999952316284,489100.0
2014-03-19,1.1200000047683716,1.2599999904632568,1.090000033378601,1.2799999713897705,1413000.0
2014-03-20,1.309999942779541,1.2300000190734863,1.190000057220459,1.5,3151200.0
2014-03-21,1.2599999904632568,1.440000057220459,1.25,1.440000057220459,3324000.0
2014-03-24,1.4900000095367432,1.2899999618530273,1.25,1.4900000095367432,1707300.0
2014-03-25,1.3600000143051147,1.2999999523162842,1.2799999713897705,1.3600000143051147,827600.0
2014-03-26,1.309999942779541,1.2000000476837158,1.190000057220459,1.309999942779541,716900.0
2014-03-27,1.2000000476837158,1.1799999475479126,1.100000023841858,1.2000000476837158,677000.0
2014-03-28,1.2000000476837158,1.190000057220459,1.1799999475479126,1.25,525100.0
2014-03-31,1.2200000286102295,1.2300000190734863,1.159999966621399,1.2999999523162842,710100.0
2014-04-01,1.2699999809265137,1.3300000429153442,1.25,1.340000033378601,1188000.0
2014-04-02,1.340000033378601,1.3700000047683716,1.309999942779541,1.4299999475479126,883700.0
2014-04-03,1.3799999952316284,1.25,1.25,1.3899999856948853,564500.0
2014-04-04,1.2799999713897705,1.25,1.159999966621399,1.309999942779541,732900.0
2014-04-07,1.25,1.2300000190734863,1.1699999570846558,1.309999942779541,253700.0
2014-04-08,1.25,1.2400000095367432,1.2200000286102295,1.2999999523162842,301400.0
2014-04-09,1.2599999904632568,1.2300000190734863,1.2200000286102295,1.2699999809265137,198900.0
2014-04-10,1.25,1.190000057220459,1.1699999570846558,1.25,198500.0
2014-04-11,1.1699999570846558,1.25,1.159999966621399,1.2999999523162842,516600.0
2014-04-14,1.2599999904632568,1.159999966621399,1.159999966621399,1.2999999523162842,268800.0
2014-04-15,1.159999966621399,1.090000033378601,1.0,1.2200000286102295,1005900.0
2014-04-16,1.100000023841858,1.1200000047683716,1.0199999809265137,1.1299999952316284,140800.0
2014-04-17,1.1100000143051147,1.1299999952316284,1.0399999618530273,1.1299999952316284,153000.0
2014-04-21,1.2000000476837158,1.2699999809265137,1.149999976158142,1.2899999618530273,616900.0
2014-04-22,1.2899999618530273,1.2799999713897705,1.25,1.3300000429153442,470000.0
2014-04-23,1.309999942779541,1.2799999713897705,1.2699999809265137,1.3200000524520874,221300.0
2014-04-24,1.350000023841858,1.3200000524520874,1.2799999713897705,1.350000023841858,189000.0
2014-04-25,1.350000023841858,1.2799999713897705,1.2799999713897705,1.350000023841858,156800.0
2014-04-28,1.3300000429153442,1.3200000524520874,1.2200000286102295,1.3799999952316284,574300.0
2014-04-29,1.3799999952316284,1.25,1.2000000476837158,1.3799999952316284,434000.0
2014-04-30,1.25,1.25,1.149999976158142,1.25,283200.0
2014-05-01,1.25,1.2400000095367432,1.1799999475479126,1.3200000524520874,581000.0
2014-05-02,1.25,1.25,1.190000057220459,1.2799999713897705,334400.0
2014-05-05,1.2200000286102295,1.2000000476837158,1.2000000476837158,1.2300000190734863,171800.0
2014-05-06,1.190000057220459,1.1799999475479126,1.1799999475479126,1.2300000190734863,229600.0
2014-05-07,1.159999966621399,1.149999976158142,1.1299999952316284,1.2000000476837158,261800.0
2014-05-08,1.1699999570846558,1.159999966621399,1.1399999856948853,1.2100000381469727,266800.0
2014-05-09,1.149999976158142,1.100000023841858,1.0800000429153442,1.159999966621399,267300.0
2014-05-12,1.0499999523162842,1.1399999856948853,1.0499999523162842,1.159999966621399,49600.0
2014-05-13,1.159999966621399,1.1299999952316284,1.1100000143051147,1.1799999475479126,149300.0
2014-05-14,1.1200000047683716,1.1100000143051147,1.100000023841858,1.1799999475479126,112800.0
2014-05-15,1.1200000047683716,1.059999942779541,1.059999942779541,1.1200000047683716,186700.0
2014-05-16,1.0800000429153442,1.0700000524520874,1.0499999523162842,1.100000023841858,72300.0
2014-05-19,1.059999942779541,1.1200000047683716,1.0499999523162842,1.1200000047683716,82200.0
2014-05-20,1.100000023841858,1.100000023841858,1.0800000429153442,1.159999966621399,66700.0
2014-05-21,1.100000023841858,1.1100000143051147,1.090000033378601,1.149999976158142,46300.0
2014-05-22,1.1399999856948853,1.1100000143051147,1.1100000143051147,1.1399999856948853,60700.0
2014-05-23,1.1100000143051147,1.100000023841858,1.100000023841858,1.149999976158142,56500.0
2014-05-27,1.1299999952316284,1.100000023841858,1.090000033378601,1.1699999570846558,400900.0
2014-05-28,1.100000023841858,1.1200000047683716,1.059999942779541,1.1200000047683716,222300.0
2014-05-29,1.090000033378601,1.090000033378601,1.059999942779541,1.1100000143051147,110700.0
2014-05-30,1.0800000429153442,1.0800000429153442,1.059999942779541,1.1100000143051147,113600.0
2014-06-02,1.0700000524520874,1.0700000524520874,1.059999942779541,1.1200000047683716,49600.0
2014-06-03,1.059999942779541,1.0800000429153442,1.059999942779541,1.090000033378601,78600.0
2014-06-04,1.0800000429153442,1.1100000143051147,1.059999942779541,1.1200000047683716,90800.0
2014-06-05,1.100000023841858,1.090000033378601,1.0700000524520874,1.1100000143051147,72100.0
2014-06-06,1.0800000429153442,1.100000023841858,1.0800000429153442,1.1100000143051147,58100.0
2014-06-09,1.059999942779541,1.0499999523162842,1.0499999523162842,1.100000023841858,168100.0
2014-06-10,1.1100000143051147,1.090000033378601,1.059999942779541,1.1200000047683716,148000.0
2014-06-11,1.100000023841858,1.100000023841858,1.0700000524520874,1.100000023841858,66500.0
2014-06-12,1.0700000524520874,1.0800000429153442,1.0700000524520874,1.1200000047683716,149400.0
2014-06-13,1.100000023841858,1.0700000524520874,1.059999942779541,1.100000023841858,162400.0
2014-06-16,1.0700000524520874,1.1200000047683716,1.0099999904632568,1.1200000047683716,340700.0
2014-06-17,1.1100000143051147,1.1100000143051147,1.090000033378601,1.1200000047683716,162200.0
2014-06-18,1.1100000143051147,1.0800000429153442,1.0700000524520874,1.1100000143051147,58800.0
2014-06-19,1.090000033378601,1.0700000524520874,1.059999942779541,1.1100000143051147,110400.0
2014-06-20,1.0499999523162842,1.100000023841858,1.0499999523162842,1.100000023841858,223300.0
2014-06-23,1.090000033378601,1.059999942779541,1.0199999809265137,1.090000033378601,287500.0
2014-06-24,1.059999942779541,1.0299999713897705,0.9900000095367432,1.059999942779541,166500.0
2014-06-25,1.0499999523162842,1.0199999809265137,1.0,1.0499999523162842,80400.0
