Date,lllopen,lllclose,llllow,lllhigh,lllvolume
2008-05-02,108.7426528930664,107.39836883544922,106.77423858642578,108.98269653320312,624800.0
2008-05-05,107.1295166015625,105.66040802001953,105.25712585449219,107.1295166015625,647600.0
2008-05-06,104.98826599121094,105.59319305419922,104.27771759033203,106.07329559326172,589300.0
2008-05-07,105.63159942626953,104.8154296875,104.8154296875,106.21732330322266,546500.0
2008-05-08,105.41075897216797,105.5835952758789,104.73861694335938,106.46697235107422,655300.0
2008-05-09,104.70021057128906,103.3271255493164,103.10627746582031,104.873046875,882800.0
2008-05-12,103.48075103759766,104.52737426757812,103.06787109375,104.60418701171875,360000.0
2008-05-13,104.45055389404297,105.746826171875,104.45055389404297,106.29414367675781,537300.0
2008-05-14,106.09249877929688,105.75643157958984,105.746826171875,106.8702621459961,484100.0
2008-05-15,105.62200164794922,106.56299591064453,105.5547866821289,106.6494140625,517600.0
2008-05-16,106.47657775878906,105.9100570678711,105.46836853027344,106.76464080810547,399700.0
2008-05-19,105.89085388183594,106.02528381347656,105.75643157958984,106.96627807617188,554000.0
2008-05-20,105.63159942626953,104.5561752319336,104.1624984741211,105.63159942626953,540600.0
2008-05-21,104.53697204589844,102.72219848632812,102.53975677490234,104.92105102539062,721500.0
2008-05-22,102.78941345214844,102.5589599609375,102.24209594726562,103.4615478515625,614100.0
2008-05-23,102.45333862304688,102.11727142333984,101.75239562988281,102.83741760253906,587600.0
2008-05-27,102.3573226928711,103.02945709228516,101.75239562988281,103.17349243164062,823800.0
2008-05-28,103.57677459716797,103.53836822509766,102.74140167236328,104.19129943847656,709900.0
2008-05-29,104.04727172851562,103.52876281738281,102.41493225097656,104.04727172851562,628700.0
2008-05-30,103.52876281738281,103.11587524414062,102.46294403076172,103.60558319091797,940900.0
2008-06-02,102.92383575439453,101.47393798828125,100.87860870361328,102.92383575439453,853200.0
2008-06-03,101.31069946289062,98.73736572265625,97.92119598388672,101.55075073242188,1534700.0
2008-06-04,98.43970489501953,97.8443832397461,97.15303802490234,98.57413482666016,1605700.0
2008-06-05,98.39169311523438,96.48089599609375,95.94318389892578,98.39169311523438,1792000.0
2008-06-06,95.73194122314453,94.10919952392578,93.85955047607422,95.96238708496094,2493800.0
2008-06-09,94.14761352539062,92.95696258544922,92.21760559082031,94.26283264160156,1942000.0
2008-06-10,91.48785400390625,93.44666290283203,91.34382629394531,93.77313232421875,2045400.0
2008-06-11,93.58109283447266,93.38905334472656,92.84173583984375,93.97477722167969,1565800.0
2008-06-12,93.66751098632812,93.54268646240234,93.47547149658203,94.67572021484375,1588200.0
2008-06-13,93.71552276611328,94.03238677978516,93.16820526123047,95.02139282226562,995600.0
2008-06-16,94.05158996582031,93.89795684814453,92.66889953613281,94.36845397949219,752000.0
2008-06-17,94.09960174560547,92.4672622680664,92.19840240478516,94.53169250488281,1160600.0
2008-06-18,92.17919921875,91.305419921875,91.0557632446289,92.35203552246094,1682800.0
2008-06-19,91.4398422241211,92.38084411621094,90.73889923095703,92.75531768798828,830200.0
2008-06-20,91.70870208740234,91.0461654663086,90.89253234863281,92.6016845703125,1332100.0
2008-06-23,91.247802734375,90.71009063720703,90.47964477539062,91.80472564697266,1050700.0
2008-06-24,91.7567138671875,91.19019317626953,90.73889923095703,91.9871597290039,1404200.0
2008-06-25,91.89114379882812,90.26840209960938,89.87471771240234,91.89114379882812,1462200.0
2008-06-26,89.77870178222656,87.0229263305664,87.00372314453125,89.77870178222656,2144500.0
2008-06-27,87.0229263305664,87.36859893798828,86.9941177368164,88.06954193115234,1549000.0
2008-06-30,86.61003875732422,87.25337219238281,86.6004409790039,88.05033874511719,1008700.0
2008-07-01,86.48521423339844,85.34257507324219,84.19993591308594,86.9941177368164,2401100.0
2008-07-02,85.51541137695312,84.084716796875,84.06551361083984,85.6018295288086,1833700.0
2008-07-03,85.6978530883789,85.76506042480469,84.81446838378906,86.0531234741211,1147700.0
2008-07-07,86.19715118408203,86.93650817871094,86.18755340576172,89.29859924316406,1661100.0
2008-07-08,87.29177856445312,89.53865051269531,87.09014129638672,89.86511993408203,1687400.0
