Date,mlmopen,mlmclose,mlmlow,mlmhigh,mlmvolume
2014-03-27,125.05000305175781,125.62999725341797,123.72000122070312,126.33999633789062,356500.0
2014-03-28,126.11000061035156,126.94999694824219,126.11000061035156,128.80999755859375,585900.0
2014-03-31,127.80999755859375,128.35000610351562,127.41999816894531,128.9499969482422,602000.0
2014-04-01,128.75999450683594,128.10000610351562,127.2699966430664,129.47999572753906,760100.0
2014-04-02,128.0800018310547,126.88999938964844,126.11000061035156,128.39999389648438,933900.0
2014-04-03,127.5199966430664,124.69999694824219,124.68000030517578,128.99000549316406,1414900.0
2014-04-04,124.7699966430664,127.69999694824219,124.7699966430664,130.0,1645200.0
2014-04-07,126.9800033569336,122.05000305175781,120.27999877929688,127.87999725341797,1427500.0
2014-04-08,122.2300033569336,122.93000030517578,121.26000213623047,123.88999938964844,1413100.0
2014-04-09,123.2699966430664,126.5,123.08000183105469,127.11000061035156,1515100.0
2014-04-10,126.80000305175781,126.80999755859375,125.55999755859375,128.64999389648438,2138900.0
2014-04-11,125.25,124.41000366210938,123.76000213623047,126.9000015258789,602300.0
2014-04-14,125.20999908447266,125.05000305175781,124.05999755859375,126.80000305175781,573000.0
2014-04-15,125.05000305175781,124.9800033569336,123.0999984741211,126.04000091552734,640400.0
2014-04-16,125.83999633789062,126.33999633789062,124.88999938964844,126.69999694824219,444400.0
2014-04-17,126.33999633789062,125.55000305175781,125.31999969482422,126.44999694824219,555900.0
2014-04-21,125.87999725341797,126.73999786376953,125.06999969482422,127.18000030517578,913400.0
2014-04-22,126.26000213623047,128.02999877929688,126.2300033569336,128.44000244140625,715700.0
2014-04-23,127.94999694824219,126.83000183105469,126.01000213623047,127.94999694824219,402600.0
2014-04-24,128.11000061035156,126.63999938964844,124.58999633789062,128.11000061035156,454500.0
2014-04-25,126.1500015258789,123.63999938964844,122.88999938964844,126.1500015258789,432800.0
2014-04-28,123.05999755859375,116.88999938964844,115.48999786376953,123.63999938964844,1803800.0
2014-04-29,118.94999694824219,124.37000274658203,115.6500015258789,124.4800033569336,1197000.0
2014-04-30,123.98999786376953,124.33000183105469,122.33999633789062,125.5,791800.0
2014-05-01,124.12999725341797,125.51000213623047,124.12999725341797,129.13999938964844,607800.0
2014-05-02,125.55000305175781,126.25,125.5199966430664,127.8499984741211,748400.0
2014-05-05,124.91999816894531,125.77999877929688,123.68000030517578,126.11000061035156,740000.0
2014-05-06,125.20999908447266,124.08999633789062,123.98999786376953,127.05000305175781,607200.0
2014-05-07,124.22000122070312,122.43000030517578,121.55999755859375,124.94999694824219,642300.0
2014-05-08,122.30999755859375,119.93000030517578,119.6500015258789,123.7300033569336,762500.0
2014-05-09,119.52999877929688,118.91000366210938,117.5999984741211,120.0,642800.0
2014-05-12,119.87000274658203,122.4800033569336,119.0199966430664,123.45999908447266,461900.0
2014-05-13,121.98999786376953,120.5199966430664,120.41000366210938,123.22000122070312,327500.0
2014-05-14,120.36000061035156,118.95999908447266,118.87999725341797,120.7699966430664,301700.0
2014-05-15,118.93000030517578,118.0199966430664,115.55999755859375,118.93000030517578,544500.0
2014-05-16,118.33999633789062,119.33000183105469,117.77999877929688,120.27999877929688,331300.0
2014-05-19,118.66999816894531,119.56999969482422,118.47000122070312,120.80999755859375,436400.0
2014-05-20,118.97000122070312,117.5199966430664,115.91999816894531,119.72000122070312,487500.0
2014-05-21,118.0,118.66000366210938,117.61000061035156,119.56999969482422,569200.0
2014-05-22,118.86000061035156,121.0,118.29000091552734,121.19000244140625,400800.0
2014-05-23,120.7699966430664,123.72000122070312,120.48999786376953,123.83999633789062,401400.0
2014-05-27,123.93000030517578,124.2699966430664,123.9000015258789,125.19999694824219,280000.0
2014-05-28,124.91000366210938,123.63999938964844,123.58999633789062,125.94999694824219,310600.0
2014-05-29,125.31999969482422,123.58000183105469,121.9000015258789,125.31999969482422,344900.0
2014-05-30,123.7699966430664,122.80000305175781,121.66000366210938,123.8499984741211,400900.0
2014-06-02,122.7699966430664,122.68000030517578,121.73999786376953,124.25,368400.0
2014-06-03,122.0,121.37000274658203,120.63999938964844,122.63999938964844,398300.0
2014-06-04,120.9000015258789,122.63999938964844,120.44000244140625,122.72000122070312,417600.0
2014-06-05,122.83999633789062,126.9000015258789,122.48999786376953,127.94000244140625,693200.0
2014-06-06,127.66000366210938,128.67999267578125,126.62999725341797,129.02999877929688,348200.0
2014-06-09,128.33999633789062,127.97000122070312,127.3499984741211,129.5500030517578,301400.0
2014-06-10,127.95999908447266,130.6699981689453,127.54000091552734,130.80999755859375,378300.0
2014-06-11,129.9499969482422,129.11000061035156,128.57000732421875,131.0,290100.0
2014-06-12,129.32000732421875,128.05999755859375,127.91000366210938,130.1199951171875,378700.0
2014-06-13,128.3699951171875,132.10000610351562,127.94000244140625,132.1199951171875,650400.0
