Date,ppgopen,ppgclose,ppglow,ppghigh,ppgvolume
2018-04-16,110.87999725341797,111.7699966430664,110.45999908447266,112.0,1739300.0
2018-04-17,112.19999694824219,113.08000183105469,111.66999816894531,113.48999786376953,1604200.0
2018-04-18,113.30999755859375,113.19000244140625,112.77999877929688,113.83000183105469,2156800.0
2018-04-19,113.75,109.63999938964844,108.37999725341797,113.9000015258789,2374000.0
2018-04-20,109.45999908447266,108.87000274658203,108.23999786376953,110.16999816894531,1971200.0
2018-04-23,108.80000305175781,108.87999725341797,108.69999694824219,109.80000305175781,1431100.0
2018-04-24,108.97000122070312,105.7699966430664,104.38999938964844,109.44999694824219,2372200.0
2018-04-25,107.45999908447266,107.87999725341797,105.91999816894531,109.47000122070312,2649100.0
2018-04-26,107.97000122070312,107.69999694824219,106.44000244140625,108.08999633789062,1173700.0
2018-04-27,107.30999755859375,107.97000122070312,107.19999694824219,108.33999633789062,1022500.0
2018-04-30,108.51000213623047,105.87999725341797,105.75,108.9000015258789,1413100.0
2018-05-01,105.0999984741211,106.91999816894531,104.0199966430664,106.94000244140625,1316600.0
2018-05-02,107.05000305175781,105.70999908447266,105.4000015258789,107.2699966430664,1889900.0
2018-05-03,105.55000305175781,104.95999908447266,104.27999877929688,106.19999694824219,1281300.0
2018-05-04,104.4800033569336,106.4000015258789,104.13999938964844,107.04000091552734,1193900.0
2018-05-07,106.4800033569336,106.20999908447266,105.63999938964844,106.9800033569336,997700.0
2018-05-08,106.06999969482422,106.68000030517578,105.94999694824219,107.16000366210938,900600.0
2018-05-09,106.70999908447266,107.05000305175781,106.11000061035156,107.41000366210938,1153300.0
2018-05-10,107.26000213623047,106.11000061035156,105.94000244140625,107.69999694824219,1951500.0
2018-05-11,105.8499984741211,100.43000030517578,100.36000061035156,106.29000091552734,7285000.0
2018-05-14,101.04000091552734,102.97000122070312,100.97000122070312,102.97000122070312,3719800.0
2018-05-15,102.77999877929688,103.02999877929688,101.79000091552734,103.23999786376953,1787800.0
2018-05-16,101.88999938964844,103.5,101.20999908447266,103.9800033569336,2090300.0
2018-05-17,103.26000213623047,104.41000366210938,103.25,104.72000122070312,1292900.0
2018-05-18,104.16000366210938,104.94999694824219,104.02999877929688,105.30000305175781,2830000.0
2018-05-21,105.5,105.02999877929688,104.83999633789062,105.86000061035156,1229700.0
2018-05-22,105.02999877929688,102.83999633789062,102.72000122070312,105.2300033569336,1549200.0
2018-05-23,102.23999786376953,102.70999908447266,101.69999694824219,102.9800033569336,1279000.0
2018-05-24,102.36000061035156,102.5,101.5,102.93000030517578,1030100.0
2018-05-25,102.04000091552734,103.4000015258789,101.66999816894531,103.51000213623047,1121500.0
2018-05-29,102.44000244140625,101.04000091552734,100.61000061035156,103.11000061035156,1618300.0
2018-05-30,101.52999877929688,101.43000030517578,100.36000061035156,101.83999633789062,2070100.0
2018-05-31,101.68000030517578,100.91999816894531,100.81999969482422,101.7699966430664,1774400.0
2018-06-01,101.56999969482422,102.01000213623047,100.87000274658203,102.94999694824219,1420600.0
2018-06-04,102.44999694824219,102.43000030517578,101.97000122070312,102.86000061035156,939000.0
2018-06-05,102.45999908447266,102.5,101.97000122070312,102.91999816894531,854900.0
2018-06-06,102.52999877929688,103.93000030517578,101.86000061035156,104.0999984741211,1367000.0
2018-06-07,104.19000244140625,103.08999633789062,102.41000366210938,104.19999694824219,1261300.0
2018-06-08,102.98999786376953,104.1500015258789,102.52999877929688,104.37999725341797,1444900.0
2018-06-11,103.88999938964844,103.93000030517578,103.45999908447266,104.38999938964844,1094700.0
2018-06-12,104.0,103.52999877929688,102.72000122070312,104.30999755859375,2211700.0
2018-06-13,103.62000274658203,103.30000305175781,103.02999877929688,104.05000305175781,2391500.0
2018-06-14,103.62000274658203,103.95999908447266,102.69999694824219,104.16999816894531,2071500.0
2018-06-15,104.08999633789062,105.37999725341797,103.9000015258789,105.41999816894531,3221900.0
2018-06-18,104.44000244140625,105.0,103.76000213623047,105.01000213623047,1978600.0
2018-06-19,104.05000305175781,104.12999725341797,103.0,104.29000091552734,2613800.0
2018-06-20,104.01000213623047,105.13999938964844,104.01000213623047,105.26000213623047,1810700.0
2018-06-21,104.80999755859375,104.30000305175781,103.58999633789062,104.80999755859375,3472600.0
2018-06-22,104.6500015258789,105.41999816894531,104.5199966430664,105.86000061035156,3094300.0
2018-06-25,105.11000061035156,105.11000061035156,104.5,105.18000030517578,3175600.0
2018-06-26,105.51000213623047,105.83000183105469,105.29000091552734,106.7300033569336,2075000.0
2018-06-27,106.2699966430664,105.11000061035156,104.98999786376953,106.33999633789062,2166800.0
2018-06-28,105.5,105.72000122070312,103.9000015258789,106.94000244140625,2833500.0
2018-06-29,105.69000244140625,103.7300033569336,103.66999816894531,106.02999877929688,3074300.0
2018-07-02,102.72000122070312,102.68000030517578,101.16999816894531,103.37999725341797,2304300.0
2018-07-03,102.87999725341797,102.0,101.87000274658203,103.83000183105469,800600.0
2018-07-05,101.94999694824219,102.80999755859375,101.62000274658203,102.88999938964844,1445500.0
2018-07-06,102.36000061035156,103.0,101.87999725341797,103.33999633789062,1025400.0
