Date,ahpiopen,ahpiclose,ahpilow,ahpihigh,ahpivolume
2014-02-25,4.440000057220459,4.400000095367432,4.300000190734863,4.440000057220459,8400.0
2014-02-26,4.440000057220459,4.440000057220459,4.420000076293945,4.440000057220459,600.0
2014-02-27,4.360000133514404,4.320000171661377,4.320000171661377,4.360000133514404,2300.0
2014-02-28,4.320000171661377,4.320000171661377,4.300000190734863,4.320000171661377,15200.0
2014-03-03,4.360000133514404,4.400000095367432,4.360000133514404,4.400000095367432,300.0
2014-03-04,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,200.0
2014-03-05,4.440000057220459,4.360000133514404,4.360000133514404,4.460000038146973,2800.0
2014-03-06,4.420000076293945,4.699999809265137,4.420000076293945,4.699999809265137,59400.0
2014-03-07,4.739999771118164,4.639999866485596,4.639999866485596,5.340000152587891,15300.0
2014-03-10,5.260000228881836,4.679999828338623,4.519999980926514,5.260000228881836,15000.0
2014-03-11,4.519999980926514,4.820000171661377,4.519999980926514,5.28000020980835,3600.0
2014-03-12,4.900000095367432,4.619999885559082,4.5,5.199999809265137,2700.0
2014-03-13,4.559999942779541,4.579999923706055,4.519999980926514,4.78000020980835,5000.0
2014-03-14,4.579999923706055,4.579999923706055,4.579999923706055,4.579999923706055,0.0
2014-03-17,4.880000114440918,4.519999980926514,4.519999980926514,4.880000114440918,400.0
2014-03-18,4.480000019073486,4.480000019073486,4.480000019073486,4.480000019073486,100.0
2014-03-19,4.519999980926514,4.619999885559082,4.460000038146973,4.619999885559082,251000.0
2014-03-20,4.739999771118164,4.619999885559082,4.619999885559082,4.739999771118164,35800.0
2014-03-21,4.71999979019165,4.460000038146973,4.460000038146973,4.71999979019165,2300.0
2014-03-24,4.519999980926514,4.28000020980835,4.199999809265137,4.519999980926514,14300.0
2014-03-25,4.21999979019165,4.320000171661377,4.21999979019165,4.320000171661377,400.0
2014-03-26,4.320000171661377,4.320000171661377,4.320000171661377,4.320000171661377,0.0
2014-03-27,4.300000190734863,4.239999771118164,4.239999771118164,4.300000190734863,100.0
2014-03-28,4.260000228881836,4.300000190734863,4.260000228881836,4.300000190734863,500.0
2014-03-31,4.400000095367432,4.539999961853027,4.400000095367432,4.539999961853027,2200.0
