Date,manopen,manclose,manlow,manhigh,manvolume
2008-05-20,67.18000030517578,66.37000274658203,65.83999633789062,67.18000030517578,956200.0
2008-05-21,66.30000305175781,65.62000274658203,65.25,66.95999908447266,1201200.0
2008-05-22,64.01000213623047,64.02999877929688,61.470001220703125,65.08999633789062,1841200.0
2008-05-23,64.23999786376953,62.439998626708984,62.08000183105469,64.23999786376953,876900.0
2008-05-27,62.81999969482422,63.599998474121094,62.45000076293945,64.4000015258789,639700.0
2008-05-28,63.689998626708984,63.65999984741211,63.2599983215332,64.01000213623047,541700.0
2008-05-29,63.66999816894531,64.58000183105469,63.459999084472656,65.06999969482422,595600.0
2008-05-30,64.54000091552734,63.0,61.79999923706055,64.54000091552734,1032400.0
2008-06-02,62.95000076293945,64.41000366210938,62.08000183105469,65.27999877929688,1460200.0
2008-06-03,64.11000061035156,64.19000244140625,63.45000076293945,64.63999938964844,1198500.0
2008-06-04,64.08999633789062,65.66000366210938,63.720001220703125,66.79000091552734,1364700.0
2008-06-05,65.76000213623047,67.2699966430664,65.76000213623047,67.4800033569336,785200.0
2008-06-06,66.5,63.90999984741211,63.90999984741211,66.5,542600.0
2008-06-09,63.90999984741211,61.72999954223633,61.20000076293945,63.90999984741211,1118200.0
2008-06-10,62.4900016784668,61.02000045776367,60.540000915527344,62.4900016784668,1002600.0
2008-06-11,61.099998474121094,58.369998931884766,58.27000045776367,61.279998779296875,1522600.0
2008-06-12,58.58000183105469,60.189998626708984,58.470001220703125,60.34000015258789,1309200.0
2008-06-13,60.79999923706055,61.220001220703125,60.209999084472656,61.310001373291016,614200.0
2008-06-16,60.86000061035156,61.630001068115234,60.20000076293945,61.86000061035156,455500.0
2008-06-17,61.630001068115234,60.97999954223633,60.709999084472656,62.209999084472656,665100.0
2008-06-18,60.810001373291016,60.470001220703125,59.720001220703125,61.220001220703125,567700.0
2008-06-19,60.290000915527344,60.7599983215332,59.58000183105469,60.97999954223633,491100.0
2008-06-20,60.5099983215332,58.40999984741211,58.33000183105469,61.04999923706055,961900.0
2008-06-23,58.54999923706055,57.4900016784668,56.65999984741211,58.58000183105469,1148200.0
2008-06-24,57.290000915527344,57.720001220703125,56.54999923706055,59.59000015258789,1132400.0
2008-06-25,57.79999923706055,59.43000030517578,57.45000076293945,60.099998474121094,681700.0
2008-06-26,58.400001525878906,56.56999969482422,56.47999954223633,58.58000183105469,754600.0
2008-06-27,56.52000045776367,57.970001220703125,56.16999816894531,58.20000076293945,1754600.0
2008-06-30,57.689998626708984,58.2400016784668,57.06999969482422,59.20000076293945,1536400.0
2008-07-01,57.34000015258789,57.619998931884766,56.349998474121094,58.970001220703125,931300.0
2008-07-02,57.7400016784668,56.0,55.970001220703125,58.38999938964844,1005900.0
2008-07-03,56.2599983215332,55.70000076293945,55.09000015258789,56.59000015258789,456400.0
2008-07-07,55.72999954223633,55.650001525878906,53.56999969482422,56.119998931884766,1144200.0
2008-07-08,55.369998931884766,56.540000915527344,54.599998474121094,56.72999954223633,1113200.0
2008-07-09,56.619998931884766,54.79999923706055,54.59000015258789,56.86000061035156,807400.0
