Date,acglopen,acglclose,acgllow,acglhigh,acglvolume
2010-04-19,8.29444408416748,8.428889274597168,8.272222518920898,8.443333625793457,2668500.0
2010-04-20,8.475555419921875,8.481111526489258,8.396666526794434,8.494444847106934,1638000.0
2010-04-21,8.485555648803711,8.4622220993042,8.45888900756836,8.531110763549805,3159900.0
2010-04-22,8.473333358764648,8.414443969726562,8.396666526794434,8.473333358764648,2842200.0
2010-04-23,8.390000343322754,8.44444465637207,8.384444236755371,8.487777709960938,3100500.0
2010-04-26,8.442222595214844,8.454444885253906,8.40999984741211,8.505555152893066,3099600.0
2010-04-27,8.533333778381348,8.226666450500488,8.217778205871582,8.583333015441895,7290900.0
2010-04-28,8.281110763549805,8.418889045715332,8.281110763549805,8.430000305175781,5041800.0
2010-04-29,8.414443969726562,8.454444885253906,8.414443969726562,8.50333309173584,4964400.0
2010-04-30,8.421111106872559,8.397777557373047,8.39222240447998,8.473333358764648,4588200.0
2010-05-03,8.437777519226074,8.381111145019531,8.334444046020508,8.4622220993042,3888000.0
2010-05-04,8.333333015441895,8.274444580078125,8.272222518920898,8.376667022705078,3727800.0
2010-05-05,8.217778205871582,8.33666706085205,8.217778205871582,8.365555763244629,2583900.0
2010-05-06,8.35444450378418,8.15666675567627,7.300000190734863,8.35444450378418,5564700.0
2010-05-07,8.19444465637207,8.108888626098633,8.105555534362793,8.262222290039062,4567500.0
2010-05-10,8.35777759552002,8.274444580078125,8.165555953979492,8.35777759552002,4273200.0
2010-05-11,8.192222595214844,8.35444450378418,8.130000114440918,8.368888854980469,3370500.0
2010-05-12,8.358888626098633,8.48888874053955,8.30888843536377,8.489999771118164,3174300.0
2010-05-13,8.554444313049316,8.493332862854004,8.472222328186035,8.582221984863281,3253500.0
2010-05-14,8.454444885253906,8.345555305480957,8.316666603088379,8.474444389343262,3361500.0
2010-05-17,8.416666984558105,8.40333366394043,8.324444770812988,8.420000076293945,3654000.0
2010-05-18,8.430000305175781,8.30555534362793,8.304444313049316,8.491110801696777,3517200.0
2010-05-19,8.284444808959961,8.333333015441895,8.228888511657715,8.376667022705078,3822300.0
2010-05-20,8.229999542236328,8.042222023010254,8.042222023010254,8.277777671813965,5265900.0
2010-05-21,8.001111030578613,8.020000457763672,7.9422221183776855,8.069999694824219,7506900.0
2010-05-24,7.840000152587891,7.972222328186035,7.82111120223999,8.091111183166504,6048900.0
2010-05-25,7.914444446563721,8.038888931274414,7.871110916137695,8.064444541931152,6631200.0
2010-05-26,8.158888816833496,8.050000190734863,8.045555114746094,8.178889274597168,8415900.0
2010-05-27,8.198888778686523,8.229999542236328,8.113333702087402,8.231111526489258,5621400.0
2010-05-28,8.149999618530273,8.168889045715332,8.144444465637207,8.243332862854004,2568600.0
2010-06-01,8.15333366394043,8.001111030578613,8.001111030578613,8.184444427490234,3711600.0
2010-06-02,8.071110725402832,8.126667022705078,8.018888473510742,8.126667022705078,5547600.0
2010-06-03,8.119999885559082,8.109999656677246,8.102222442626953,8.20555591583252,3209400.0
2010-06-04,8.033333778381348,7.976666450500488,7.967777729034424,8.097777366638184,7773300.0
2010-06-07,7.97777795791626,7.92888879776001,7.9277777671813965,8.016666412353516,2439000.0
2010-06-08,7.965555667877197,7.995555400848389,7.889999866485596,8.006667137145996,5415300.0
2010-06-09,8.0,7.9666666984558105,7.953333377838135,8.065555572509766,7188300.0
2010-06-10,8.025555610656738,8.170000076293945,8.021111488342285,8.184444427490234,2565000.0
2010-06-11,8.115555763244629,8.215555191040039,8.09333324432373,8.224444389343262,2635200.0
2010-06-14,8.2877779006958,8.234444618225098,8.170000076293945,8.332221984863281,3250800.0
2010-06-15,8.30555534362793,8.478888511657715,8.234444618225098,8.483333587646484,4281300.0
2010-06-16,8.466666221618652,8.482222557067871,8.40666675567627,8.520000457763672,3432600.0
2010-06-17,8.523333549499512,8.632222175598145,8.44111156463623,8.64555549621582,4348800.0
2010-06-18,8.64222240447998,8.658888816833496,8.60444450378418,8.680000305175781,3589200.0
2010-06-21,8.680000305175781,8.574444770812988,8.550000190734863,8.729999542236328,2421900.0
