Date,deopen,declose,delow,dehigh,devolume
2010-10-27,75.9000015258789,75.83999633789062,74.22000122070312,75.91000366210938,4183300.0
2010-10-28,76.37000274658203,75.5,74.58999633789062,76.86000061035156,3018200.0
2010-10-29,75.0199966430664,76.80000305175781,75.0199966430664,77.08999633789062,2567100.0
2010-11-01,77.45999908447266,76.33999633789062,75.72000122070312,77.94000244140625,2707200.0
2010-11-02,77.36000061035156,77.33999633789062,76.86000061035156,78.33999633789062,2984600.0
2010-11-03,77.48999786376953,77.5199966430664,76.19999694824219,77.58000183105469,2485400.0
2010-11-04,78.31999969482422,79.18000030517578,77.69000244140625,79.26000213623047,3338300.0
2010-11-05,79.33999633789062,79.0999984741211,78.62000274658203,79.52999877929688,2282200.0
2010-11-08,78.94999694824219,78.66999816894531,77.9000015258789,79.0199966430664,2343600.0
2010-11-09,79.20999908447266,77.87000274658203,77.47000122070312,79.66000366210938,3617800.0
2010-11-10,78.16999816894531,78.91999816894531,77.5999984741211,79.13999938964844,3057700.0
2010-11-11,78.19999694824219,78.79000091552734,78.05000305175781,78.91999816894531,4440400.0
2010-11-12,78.19000244140625,76.86000061035156,76.05999755859375,78.83999633789062,5650000.0
2010-11-15,77.06999969482422,76.4800033569336,76.43000030517578,77.75,3084500.0
2010-11-16,75.87999725341797,75.69999694824219,74.12999725341797,76.01000213623047,4361600.0
2010-11-17,75.76000213623047,76.0,75.08000183105469,76.2300033569336,2155600.0
2010-11-18,77.26000213623047,77.27999877929688,76.88999938964844,78.19000244140625,3597000.0
2010-11-19,77.66999816894531,77.9800033569336,76.80999755859375,78.1500015258789,4068300.0
2010-11-22,77.16000366210938,77.25,76.19999694824219,77.73999786376953,4049500.0
2010-11-23,76.22000122070312,76.33999633789062,75.5199966430664,76.76000213623047,4195700.0
2010-11-24,76.2300033569336,76.2300033569336,75.66999816894531,77.36000061035156,8469300.0
2010-11-26,75.69000244140625,76.0,75.26000213623047,76.30000305175781,1750100.0
2010-11-29,76.02999877929688,75.18000030517578,75.18000030517578,76.44999694824219,5992300.0
2010-11-30,74.94000244140625,74.69999694824219,74.05999755859375,75.13999938964844,5376600.0
2010-12-01,75.88999938964844,76.13999938964844,75.2300033569336,76.22000122070312,4969500.0
2010-12-02,76.23999786376953,78.30000305175781,76.16000366210938,78.58000183105469,5231700.0
2010-12-03,77.56999969482422,78.30999755859375,77.5199966430664,78.55000305175781,2751700.0
2010-12-06,78.44999694824219,79.04000091552734,77.70999908447266,79.13999938964844,3191900.0
2010-12-07,79.9000015258789,81.41999816894531,79.81999969482422,82.5,8160100.0
2010-12-08,81.52999877929688,80.61000061035156,79.47000122070312,81.7300033569336,5331300.0
2010-12-09,81.44000244140625,80.55000305175781,79.94999694824219,81.44000244140625,3565100.0
2010-12-10,80.86000061035156,82.13999938964844,80.44000244140625,82.4800033569336,4063100.0
2010-12-13,82.98999786376953,81.91000366210938,81.88999938964844,82.98999786376953,3915700.0
2010-12-14,81.91999816894531,82.54000091552734,81.6500015258789,82.98999786376953,3522300.0
2010-12-15,82.2300033569336,81.55999755859375,81.36000061035156,83.38999938964844,3957000.0
2010-12-16,82.11000061035156,82.27999877929688,81.0999984741211,82.45999908447266,2944700.0
2010-12-17,82.26000213623047,81.55000305175781,81.5,82.33000183105469,3370400.0
2010-12-20,81.69999694824219,82.56999969482422,81.61000061035156,82.66999816894531,2188600.0
2010-12-21,82.7300033569336,84.45999908447266,82.62000274658203,84.8499984741211,3698100.0
2010-12-22,84.4800033569336,83.94999694824219,83.54000091552734,84.66999816894531,2230900.0
2010-12-23,83.9800033569336,83.58000183105469,83.30999755859375,83.9800033569336,1685000.0
2010-12-27,83.23999786376953,83.56999969482422,82.93000030517578,83.76000213623047,1489200.0
2010-12-28,83.80999755859375,83.54000091552734,83.0,83.9800033569336,1643500.0
2010-12-29,83.61000061035156,83.30999755859375,83.30999755859375,83.80999755859375,1511600.0
2010-12-30,83.36000061035156,83.30000305175781,83.05000305175781,83.8499984741211,1269500.0
2010-12-31,83.25,83.05000305175781,82.75,83.29000091552734,1187900.0
