Date,cokeopen,cokeclose,cokelow,cokehigh,cokevolume
2013-12-13,69.04000091552734,69.66000366210938,68.20999908447266,70.18000030517578,12100.0
2013-12-16,69.75,71.55999755859375,69.75,71.81999969482422,42600.0
2013-12-17,71.2300033569336,69.43000030517578,69.06999969482422,71.2300033569336,33100.0
2013-12-18,69.79000091552734,71.16999816894531,69.01000213623047,71.37000274658203,10000.0
2013-12-19,71.0,70.94999694824219,69.94999694824219,71.0,16000.0
2013-12-20,70.66999816894531,72.23999786376953,70.66999816894531,72.23999786376953,49100.0
2013-12-23,72.02999877929688,72.62000274658203,72.02999877929688,72.91999816894531,16700.0
2013-12-24,72.80000305175781,72.18000030517578,72.0,72.80000305175781,11600.0
2013-12-26,72.43000030517578,72.16000366210938,72.01000213623047,72.98999786376953,12600.0
2013-12-27,72.44999694824219,72.9800033569336,72.16999816894531,73.0,12600.0
2013-12-30,73.0,73.5,72.6500015258789,73.97000122070312,22700.0
2013-12-31,73.61000061035156,73.19000244140625,73.19000244140625,73.98999786376953,11300.0
2014-01-02,72.91000366210938,71.23999786376953,70.16999816894531,72.94999694824219,20300.0
2014-01-03,71.38999938964844,72.26000213623047,71.38999938964844,72.68000030517578,14500.0
2014-01-06,72.72000122070312,71.66999816894531,71.0199966430664,72.72000122070312,19100.0
2014-01-07,71.6500015258789,73.5999984741211,71.6500015258789,74.0,25200.0
2014-01-08,73.45999908447266,72.72000122070312,71.79000091552734,73.9000015258789,26300.0
2014-01-09,73.0,72.91000366210938,71.75,73.54000091552734,12200.0
2014-01-10,73.0999984741211,72.47000122070312,72.06999969482422,73.48999786376953,41400.0
2014-01-13,72.41000366210938,71.68000030517578,71.04000091552734,72.86000061035156,34300.0
2014-01-14,71.9800033569336,71.63999938964844,71.16999816894531,72.18000030517578,20500.0
2014-01-15,71.58999633789062,72.9800033569336,71.12999725341797,73.0,27100.0
2014-01-16,72.62999725341797,72.8499984741211,72.0199966430664,73.0,30500.0
2014-01-17,73.30999755859375,72.30000305175781,72.0999984741211,73.30999755859375,13900.0
2014-01-21,72.94000244140625,72.0999984741211,72.0,73.48999786376953,24300.0
2014-01-22,72.12000274658203,72.12999725341797,71.66999816894531,72.16999816894531,27300.0
2014-01-23,72.06999969482422,71.9000015258789,71.5,72.55000305175781,10500.0
2014-01-24,71.5,70.30999755859375,70.12000274658203,71.68000030517578,24500.0
2014-01-27,70.30000305175781,69.45999908447266,68.08999633789062,70.51000213623047,36100.0
2014-01-28,69.7300033569336,68.88999938964844,68.12999725341797,69.7300033569336,28000.0
2014-01-29,68.26000213623047,68.3499984741211,68.0,68.80000305175781,22500.0
2014-01-30,68.41000366210938,68.68000030517578,67.94000244140625,69.81999969482422,26500.0
2014-01-31,67.94000244140625,68.27999877929688,67.94000244140625,69.1500015258789,23300.0
2014-02-03,68.27999877929688,66.0999984741211,66.0,68.75,33800.0
2014-02-04,66.30999755859375,66.1500015258789,66.06999969482422,66.9000015258789,24500.0
2014-02-05,66.1500015258789,66.52999877929688,65.73999786376953,66.70999908447266,33400.0
2014-02-06,66.25,66.86000061035156,66.01000213623047,67.37000274658203,36300.0
2014-02-07,67.31999969482422,67.94000244140625,67.31999969482422,68.45999908447266,30900.0
2014-02-10,68.38999938964844,68.7300033569336,67.9800033569336,69.18000030517578,30100.0
2014-02-11,69.08000183105469,69.47000122070312,68.69999694824219,69.72000122070312,23200.0
2014-02-12,69.4000015258789,69.38999938964844,68.91000366210938,70.0999984741211,24600.0
2014-02-13,69.44000244140625,71.94000244140625,69.44000244140625,72.44999694824219,27800.0
2014-02-14,72.01000213623047,72.2699966430664,71.69999694824219,73.0999984741211,25400.0
2014-02-18,72.8499984741211,73.12999725341797,71.51000213623047,73.44000244140625,27100.0
2014-02-19,72.66999816894531,72.43000030517578,71.97000122070312,72.94000244140625,25100.0
2014-02-20,72.02999877929688,73.51000213623047,72.02999877929688,73.72000122070312,10900.0
2014-02-21,73.5,74.6500015258789,72.97000122070312,75.0,22500.0
2014-02-24,74.73999786376953,75.66000366210938,74.69999694824219,75.93000030517578,31800.0
2014-02-25,75.9800033569336,75.16999816894531,74.63999938964844,75.9800033569336,10100.0
2014-02-26,74.87999725341797,75.0,74.66999816894531,75.98999786376953,12400.0
2014-02-27,74.95999908447266,75.55999755859375,74.83000183105469,75.80999755859375,12400.0
2014-02-28,75.72000122070312,75.63999938964844,75.56999969482422,76.5199966430664,20200.0
2014-03-03,76.7699966430664,79.95999908447266,76.0199966430664,80.56999969482422,131500.0
2014-03-04,80.26000213623047,84.33999633789062,79.79000091552734,84.88999938964844,242200.0
2014-03-05,83.79000091552734,85.45999908447266,82.51000213623047,85.87000274658203,74700.0
2014-03-06,85.94000244140625,86.08999633789062,84.54000091552734,87.54000091552734,54100.0
2014-03-07,86.0999984741211,86.56999969482422,84.62000274658203,87.08000183105469,45100.0
2014-03-10,89.4000015258789,87.33999633789062,86.48999786376953,89.4000015258789,32200.0
2014-03-11,87.48999786376953,87.16000366210938,86.33000183105469,87.76000213623047,37400.0
2014-03-12,86.58000183105469,87.61000061035156,86.19999694824219,88.9000015258789,25800.0
2014-03-13,87.75,87.58999633789062,86.70999908447266,88.0,22400.0
2014-03-14,87.25,88.41999816894531,86.98999786376953,89.31999969482422,24900.0
2014-03-17,88.87999725341797,88.5,87.69000244140625,89.2699966430664,27400.0
2014-03-18,88.18000030517578,88.45999908447266,87.43000030517578,88.63999938964844,35500.0
2014-03-19,88.12000274658203,88.55000305175781,87.51000213623047,89.0,23300.0
2014-03-20,88.0999984741211,88.41000366210938,88.0999984741211,89.12000274658203,12100.0
2014-03-21,88.95999908447266,88.04000091552734,88.0199966430664,89.0,18800.0
2014-03-24,87.79000091552734,87.01000213623047,86.87999725341797,88.12000274658203,22100.0
2014-03-25,86.0999984741211,87.9000015258789,85.62000274658203,88.4000015258789,15000.0
2014-03-26,88.02999877929688,86.44000244140625,86.22000122070312,88.83999633789062,31400.0
2014-03-27,87.08999633789062,85.69999694824219,85.33000183105469,87.94999694824219,20100.0
2014-03-28,85.94000244140625,85.25,85.25,86.62999725341797,24800.0
2014-03-31,85.3499984741211,84.9800033569336,84.5199966430664,86.55999755859375,48200.0
2014-04-01,85.3499984741211,85.01000213623047,84.69000244140625,85.9800033569336,26200.0
2014-04-02,84.76000213623047,83.25,82.69999694824219,84.79000091552734,30300.0
2014-04-03,83.30999755859375,82.4000015258789,82.01000213623047,83.58999633789062,37900.0
2014-04-04,82.41999816894531,79.1500015258789,78.01000213623047,82.45999908447266,54500.0
2014-04-07,79.43000030517578,80.2300033569336,79.43000030517578,81.0999984741211,28100.0
2014-04-08,80.55999755859375,81.5,80.0199966430664,81.91999816894531,24100.0
2014-04-09,82.06999969482422,81.94999694824219,81.51000213623047,82.44999694824219,19100.0
2014-04-10,81.68000030517578,81.44999694824219,79.8499984741211,82.31999969482422,57400.0
2014-04-11,80.9800033569336,81.05999755859375,80.31999969482422,82.01000213623047,62900.0
2014-04-14,81.5,81.19999694824219,80.55000305175781,82.19000244140625,45700.0
2014-04-15,81.80000305175781,80.77999877929688,80.12999725341797,82.48999786376953,46900.0
2014-04-16,81.48999786376953,81.06999969482422,80.80999755859375,81.52999877929688,13600.0
2014-04-17,81.05999755859375,80.70999908447266,80.48999786376953,81.63999938964844,17200.0
2014-04-21,81.05999755859375,81.25,80.45999908447266,81.4800033569336,22600.0
2014-04-22,81.19999694824219,81.04000091552734,80.66000366210938,81.94000244140625,18200.0
2014-04-23,81.0999984741211,81.30000305175781,80.19999694824219,81.6500015258789,27400.0
2014-04-24,81.86000061035156,82.4000015258789,80.75,82.69999694824219,40500.0
2014-04-25,82.0199966430664,82.41000366210938,81.2699966430664,82.79000091552734,32600.0
2014-04-28,82.7699966430664,82.97000122070312,82.56999969482422,83.51000213623047,28400.0
2014-04-29,83.69999694824219,83.33999633789062,83.25,84.3499984741211,35900.0
2014-04-30,82.70999908447266,82.2300033569336,80.76000213623047,82.8499984741211,19800.0
2014-05-01,82.16999816894531,82.13999938964844,80.18000030517578,82.62000274658203,39500.0
2014-05-02,82.6500015258789,82.98999786376953,82.45999908447266,84.83999633789062,17700.0
2014-05-05,82.2699966430664,82.22000122070312,81.66000366210938,83.38999938964844,19700.0
2014-05-06,82.31999969482422,80.3499984741211,80.3499984741211,83.23999786376953,31000.0
2014-05-07,80.0,78.26000213623047,78.0,81.19999694824219,57200.0
2014-05-08,77.94999694824219,77.2699966430664,76.8499984741211,79.31999969482422,68800.0
2014-05-09,77.25,77.48999786376953,77.01000213623047,77.97000122070312,33600.0
2014-05-12,78.08000183105469,78.31999969482422,78.04000091552734,79.80999755859375,26100.0
2014-05-13,78.30000305175781,77.62999725341797,77.5,79.83000183105469,25400.0
2014-05-14,77.51000213623047,75.61000061035156,75.01000213623047,77.75,35000.0
2014-05-15,75.7300033569336,76.0199966430664,75.01000213623047,76.61000061035156,28400.0
2014-05-16,76.44000244140625,76.30000305175781,75.45999908447266,77.12999725341797,23300.0
2014-05-19,75.68000030517578,75.6500015258789,75.55000305175781,76.43000030517578,27500.0
2014-05-20,75.79000091552734,75.37000274658203,74.6500015258789,75.79000091552734,43000.0
2014-05-21,75.41999816894531,75.83999633789062,75.12000274658203,75.91999816894531,23300.0
2014-05-22,75.54000091552734,76.52999877929688,75.54000091552734,77.33999633789062,19900.0
2014-05-23,76.12999725341797,76.45999908447266,75.7300033569336,76.75,18700.0
2014-05-27,76.69999694824219,77.93000030517578,76.69000244140625,78.44999694824219,19800.0
2014-05-28,77.62999725341797,75.61000061035156,74.73999786376953,77.98999786376953,64600.0
2014-05-29,75.54000091552734,76.36000061035156,75.54000091552734,76.8499984741211,30900.0
2014-05-30,76.0999984741211,75.26000213623047,75.19999694824219,76.0999984741211,18600.0
2014-06-02,75.62999725341797,75.26000213623047,74.69999694824219,75.62999725341797,29900.0
2014-06-03,74.7300033569336,75.9800033569336,74.51000213623047,77.0,82300.0
2014-06-04,75.6500015258789,75.06999969482422,75.05000305175781,76.58999633789062,22100.0
2014-06-05,75.0,75.66999816894531,74.5,76.08999633789062,22800.0
2014-06-06,75.55000305175781,76.33000183105469,75.20999908447266,77.0,17700.0
2014-06-09,76.3499984741211,76.2300033569336,75.80000305175781,77.06999969482422,17600.0
2014-06-10,75.8499984741211,75.88999938964844,75.8499984741211,76.19999694824219,18000.0
2014-06-11,75.86000061035156,75.11000061035156,75.0999984741211,76.31999969482422,14400.0
2014-06-12,75.01000213623047,74.73999786376953,74.52999877929688,75.58999633789062,15700.0
2014-06-13,75.2699966430664,74.76000213623047,74.25,75.37999725341797,24100.0
2014-06-16,75.08000183105469,74.30000305175781,73.23999786376953,75.08000183105469,16900.0
2014-06-17,73.94999694824219,73.75,73.4000015258789,74.5,28400.0
2014-06-18,74.02999877929688,74.08999633789062,73.41000366210938,74.44000244140625,10600.0
2014-06-19,74.05000305175781,73.9800033569336,73.61000061035156,74.51000213623047,11500.0
2014-06-20,74.33999633789062,75.0,73.68000030517578,75.23999786376953,23500.0
2014-06-23,74.68000030517578,75.11000061035156,74.2300033569336,75.91999816894531,27100.0
2014-06-24,75.0,74.1500015258789,74.05000305175781,75.23999786376953,11900.0
2014-06-25,73.68000030517578,73.76000213623047,72.01000213623047,73.9000015258789,55000.0
2014-06-26,73.80000305175781,73.5999984741211,72.91999816894531,74.0999984741211,12700.0
2014-06-27,73.11000061035156,74.55999755859375,73.11000061035156,74.97000122070312,38000.0
2014-06-30,74.73999786376953,73.66999816894531,73.66000366210938,75.0,16200.0
2014-07-01,74.0,74.45999908447266,74.0,74.94000244140625,18800.0
2014-07-02,74.7300033569336,74.62999725341797,74.4000015258789,75.01000213623047,9800.0
2014-07-03,75.0,75.61000061035156,74.7300033569336,75.86000061035156,12700.0
2014-07-07,75.5,74.5199966430664,74.4000015258789,75.5,14500.0
2014-07-08,74.4000015258789,74.23999786376953,73.94000244140625,74.91999816894531,12200.0
2014-07-09,74.2699966430664,73.41999816894531,73.25,74.2699966430664,9500.0
2014-07-10,72.98999786376953,72.51000213623047,72.02999877929688,72.98999786376953,14100.0
2014-07-11,72.11000061035156,72.63999938964844,72.04000091552734,72.87000274658203,13100.0
2014-07-14,73.04000091552734,72.54000091552734,72.01000213623047,73.43000030517578,18400.0
2014-07-15,72.23999786376953,72.1500015258789,72.02999877929688,72.5,14900.0
2014-07-16,72.69000244140625,72.43000030517578,72.12000274658203,72.69000244140625,11100.0
2014-07-17,72.25,72.25,72.05000305175781,72.68000030517578,14800.0
2014-07-18,72.1500015258789,72.54000091552734,72.05000305175781,72.69000244140625,12600.0
2014-07-21,72.30999755859375,72.5999984741211,72.25,72.72000122070312,12100.0
2014-07-22,72.48999786376953,72.44999694824219,72.25,72.48999786376953,13400.0
2014-07-23,72.2300033569336,72.11000061035156,72.0,72.4000015258789,16100.0
2014-07-24,72.11000061035156,70.76000213623047,70.69000244140625,72.37000274658203,14100.0
2014-07-25,70.75,70.87999725341797,70.5,71.0,14500.0
2014-07-28,70.87000274658203,70.83000183105469,70.63999938964844,71.18000030517578,22800.0
2014-07-29,70.91999816894531,70.69999694824219,70.27999877929688,71.12999725341797,15100.0
2014-07-30,70.75,70.08000183105469,70.0,71.01000213623047,11000.0
2014-07-31,69.75,69.81999969482422,68.75,70.41000366210938,32700.0
2014-08-01,69.81999969482422,69.27999877929688,69.12000274658203,70.33000183105469,14800.0
2014-08-04,69.7300033569336,70.55999755859375,69.19999694824219,70.62000274658203,24000.0
2014-08-05,70.86000061035156,70.62999725341797,70.08999633789062,71.66000366210938,17400.0
2014-08-06,72.0,71.68000030517578,71.13999938964844,72.41999816894531,21000.0
2014-08-07,71.43000030517578,72.16000366210938,71.05000305175781,72.41000366210938,13600.0
2014-08-08,72.31999969482422,73.27999877929688,72.31999969482422,73.94000244140625,21000.0
2014-08-11,73.4800033569336,74.1500015258789,73.26000213623047,74.2699966430664,19100.0
2014-08-12,74.1500015258789,74.16999816894531,73.72000122070312,74.5,15400.0
2014-08-13,74.43000030517578,74.25,74.05999755859375,74.79000091552734,12200.0
2014-08-14,74.44999694824219,73.9000015258789,73.20999908447266,74.44999694824219,15900.0
2014-08-15,74.6500015258789,74.25,73.61000061035156,74.98999786376953,17800.0
