Date,nephopen,nephclose,nephlow,nephhigh,nephvolume
2014-04-01,0.6399999856948853,0.6299999952316284,0.5600000023841858,0.6399999856948853,2100
2014-04-02,0.6299999952316284,0.7300000190734863,0.6299999952316284,0.7300000190734863,22200
2014-04-03,0.7200000286102295,0.7200000286102295,0.7200000286102295,0.7200000286102295,800
2014-04-04,0.699999988079071,0.6600000262260437,0.550000011920929,0.699999988079071,18800
2014-04-07,0.6600000262260437,0.6399999856948853,0.5699999928474426,0.6600000262260437,5100
2014-04-08,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.5799999833106995,2600
2014-04-09,0.5099999904632568,0.5899999737739563,0.5,0.5899999737739563,7200
2014-04-10,0.41999998688697815,0.5400000214576721,0.41999998688697815,0.5699999928474426,4300
2014-04-11,0.46000000834465027,0.49000000953674316,0.46000000834465027,0.49000000953674316,15400
2014-04-14,0.4699999988079071,0.44999998807907104,0.4099999964237213,0.4699999988079071,6200
2014-04-15,0.47999998927116394,0.4300000071525574,0.4300000071525574,0.47999998927116394,3700
2014-04-16,0.4300000071525574,0.4399999976158142,0.3499999940395355,0.46000000834465027,4800
2014-04-17,0.41999998688697815,0.38999998569488525,0.38999998569488525,0.41999998688697815,10900
2014-04-21,0.38999998569488525,0.38999998569488525,0.3499999940395355,0.38999998569488525,4600
2014-04-22,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,13800
2014-04-23,0.4000000059604645,0.46000000834465027,0.4000000059604645,0.46000000834465027,1900
2014-04-24,0.4300000071525574,0.49000000953674316,0.4300000071525574,0.5,33700
2014-04-25,0.550000011920929,0.6000000238418579,0.550000011920929,0.6499999761581421,21000
2014-04-28,0.6000000238418579,0.7200000286102295,0.41999998688697815,0.7200000286102295,47000
2014-04-29,0.7200000286102295,0.7200000286102295,0.7200000286102295,0.7200000286102295,0
2014-04-30,0.6899999976158142,0.6899999976158142,0.6899999976158142,0.6899999976158142,300
2014-05-01,0.47999998927116394,0.6399999856948853,0.47999998927116394,0.6899999976158142,25800
2014-05-02,0.6800000071525574,0.6800000071525574,0.6800000071525574,0.6800000071525574,100
2014-05-05,0.6800000071525574,0.6299999952316284,0.5199999809265137,0.6800000071525574,1700
2014-05-06,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,2700
2014-05-07,0.6299999952316284,0.6000000238418579,0.6000000238418579,0.6399999856948853,5900
2014-05-08,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,200
2014-05-09,0.5099999904632568,0.6000000238418579,0.5099999904632568,0.6000000238418579,200
2014-05-12,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,100
2014-05-13,0.5899999737739563,0.5899999737739563,0.5299999713897705,0.5899999737739563,48500
2014-05-14,0.6000000238418579,0.75,0.6000000238418579,0.75,129000
2014-05-15,0.7300000190734863,0.7900000214576721,0.7099999785423279,0.7900000214576721,19100
2014-05-16,0.7599999904632568,0.7900000214576721,0.7400000095367432,0.7900000214576721,10400
2014-05-19,0.7599999904632568,0.699999988079071,0.699999988079071,0.7599999904632568,14100
