Date,uhsopen,uhsclose,uhslow,uhshigh,uhsvolume
2008-06-16,30.75,30.809999465942383,30.395000457763672,30.954999923706055,611200.0
2008-06-17,30.825000762939453,30.809999465942383,30.649999618530273,31.0,662200.0
2008-06-18,30.719999313354492,30.75,30.415000915527344,31.0,640000.0
2008-06-19,30.709999084472656,30.989999771118164,30.354999542236328,31.125,1211600.0
2008-06-20,30.7549991607666,30.94499969482422,30.75,31.170000076293945,1364000.0
2008-06-23,31.110000610351562,30.670000076293945,30.56999969482422,31.110000610351562,1046000.0
2008-06-24,30.639999389648438,31.44499969482422,30.639999389648438,31.68000030517578,1826800.0
2008-06-25,31.485000610351562,31.6299991607666,31.405000686645508,31.860000610351562,1054000.0
2008-06-26,31.579999923706055,31.604999542236328,31.264999389648438,32.0,1021800.0
2008-06-27,31.524999618530273,31.690000534057617,31.204999923706055,31.920000076293945,1569800.0
2008-06-30,31.604999542236328,31.610000610351562,31.545000076293945,32.150001525878906,842200.0
2008-07-01,31.34000015258789,31.545000076293945,31.045000076293945,31.719999313354492,971200.0
2008-07-02,31.834999084472656,32.0,31.575000762939453,32.5,1909200.0
2008-07-03,32.025001525878906,32.17499923706055,31.635000228881836,32.27000045776367,1055800.0
2008-07-07,32.20000076293945,31.729999542236328,31.315000534057617,32.6150016784668,1613000.0
2008-07-08,31.704999923706055,31.424999237060547,31.024999618530273,31.825000762939453,1363400.0
2008-07-09,31.43000030517578,31.799999237060547,31.350000381469727,32.189998626708984,1124200.0
2008-07-10,31.75,31.860000610351562,31.475000381469727,32.005001068115234,824200.0
2008-07-11,30.1200008392334,30.5,29.875,31.03499984741211,3881000.0
2008-07-14,30.684999465942383,30.274999618530273,30.084999084472656,30.899999618530273,1031200.0
2008-07-15,30.2450008392334,30.69499969482422,30.020000457763672,30.84000015258789,1077200.0
2008-07-16,30.75,31.280000686645508,30.75,31.375,1457800.0
2008-07-17,31.219999313354492,30.985000610351562,30.3700008392334,31.329999923706055,1940000.0
2008-07-18,31.03499984741211,30.700000762939453,30.604999542236328,31.354999542236328,924600.0
2008-07-21,30.700000762939453,29.985000610351562,29.954999923706055,30.700000762939453,1595800.0
2008-07-22,29.809999465942383,30.510000228881836,29.594999313354492,30.575000762939453,1442000.0
2008-07-23,30.30500030517578,29.739999771118164,29.440000534057617,30.424999237060547,2163800.0
2008-07-24,29.69499969482422,29.59000015258789,29.5,29.815000534057617,872600.0
2008-07-25,29.774999618530273,29.55500030517578,29.46500015258789,30.020000457763672,1635000.0
2008-07-28,29.764999389648438,30.024999618530273,29.399999618530273,30.135000228881836,2037000.0
