Date,cohropen,cohrclose,cohrlow,cohrhigh,cohrvolume
2008-03-05,28.40999984741211,28.31999969482422,28.219999313354492,28.59000015258789,173100.0
2008-03-06,28.290000915527344,28.139999389648438,28.100000381469727,28.440000534057617,96900.0
2008-03-07,28.0,28.010000228881836,27.940000534057617,28.479999542236328,146200.0
2008-03-10,27.8799991607666,28.219999313354492,27.8799991607666,28.479999542236328,136000.0
2008-03-11,28.350000381469727,28.450000762939453,28.149999618530273,28.469999313354492,172200.0
2008-03-12,28.5,28.670000076293945,28.5,28.670000076293945,113700.0
2008-03-13,28.239999771118164,28.6200008392334,28.239999771118164,28.940000534057617,226200.0
2008-03-14,28.6200008392334,28.700000762939453,28.290000915527344,28.899999618530273,525800.0
2008-03-17,28.049999237060547,28.469999313354492,27.809999465942383,28.639999389648438,1505600.0
2008-03-18,28.59000015258789,28.079999923706055,26.989999771118164,28.600000381469727,236200.0
2008-03-19,28.059999465942383,27.93000030517578,27.760000228881836,28.3700008392334,151700.0
2008-03-20,27.899999618530273,27.739999771118164,27.360000610351562,28.0,238600.0
2008-03-24,27.719999313354492,27.899999618530273,27.389999389648438,28.100000381469727,185100.0
2008-03-25,28.059999465942383,27.93000030517578,27.889999389648438,28.15999984741211,96100.0
2008-03-26,27.899999618530273,28.020000457763672,27.899999618530273,28.450000762939453,164700.0
2008-03-27,28.059999465942383,27.75,27.65999984741211,28.25,47600.0
2008-03-28,27.75,27.8799991607666,27.719999313354492,28.110000610351562,95200.0
2008-03-31,28.06999969482422,27.889999389648438,27.6200008392334,28.3799991607666,131700.0
2008-04-01,28.100000381469727,28.079999923706055,27.360000610351562,28.100000381469727,233500.0
2008-04-02,28.100000381469727,28.18000030517578,27.950000762939453,28.3700008392334,105900.0
2008-04-03,28.0,28.530000686645508,27.84000015258789,28.739999771118164,174500.0
2008-04-04,28.65999984741211,28.860000610351562,28.65999984741211,29.18000030517578,54200.0
2008-04-07,28.770000457763672,29.139999389648438,28.520000457763672,29.25,50000.0
2008-04-08,29.100000381469727,29.440000534057617,28.469999313354492,29.549999237060547,51800.0
2008-04-09,29.3700008392334,29.209999084472656,29.040000915527344,29.68000030517578,82000.0
2008-04-10,29.1200008392334,29.260000228881836,29.040000915527344,29.40999984741211,184400.0
2008-04-11,29.100000381469727,28.56999969482422,28.5,29.15999984741211,43300.0
2008-04-14,28.809999465942383,28.809999465942383,28.6299991607666,29.06999969482422,69500.0
2008-04-15,28.809999465942383,29.350000381469727,28.809999465942383,29.520000457763672,365600.0
2008-04-16,29.399999618530273,29.56999969482422,29.079999923706055,29.639999389648438,147800.0
2008-04-17,29.170000076293945,29.549999237060547,29.149999618530273,29.709999084472656,50500.0
2008-04-18,29.700000762939453,29.84000015258789,29.690000534057617,30.3799991607666,65400.0
2008-04-21,29.6200008392334,29.850000381469727,29.6200008392334,30.079999923706055,190700.0
2008-04-22,29.59000015258789,29.8700008392334,29.479999542236328,29.8700008392334,60500.0
2008-04-23,29.709999084472656,29.81999969482422,29.399999618530273,30.0,72800.0
2008-04-24,30.3700008392334,30.530000686645508,29.81999969482422,30.799999237060547,88300.0
2008-04-25,30.399999618530273,30.610000610351562,29.350000381469727,31.079999923706055,78200.0
2008-04-28,29.399999618530273,29.190000534057617,28.889999389648438,29.8700008392334,124300.0
2008-04-29,29.079999923706055,29.5,29.079999923706055,29.549999237060547,157500.0
2008-04-30,29.450000762939453,29.799999237060547,29.450000762939453,30.530000686645508,155600.0
2008-05-01,28.770000457763672,29.969999313354492,28.770000457763672,30.010000228881836,211000.0
2008-05-02,30.100000381469727,29.979999542236328,29.56999969482422,30.149999618530273,58500.0
2008-05-05,30.0,29.270000457763672,29.190000534057617,30.049999237060547,70700.0
2008-05-06,29.229999542236328,29.899999618530273,29.229999542236328,30.0,89100.0
2008-05-07,29.829999923706055,29.739999771118164,29.399999618530273,29.959999084472656,94300.0
2008-05-08,29.719999313354492,29.649999618530273,29.239999771118164,29.739999771118164,93700.0
2008-05-09,29.510000228881836,29.770000457763672,29.459999084472656,29.93000030517578,46600.0
2008-05-12,29.719999313354492,30.0,29.719999313354492,30.040000915527344,48600.0
2008-05-13,29.950000762939453,30.020000457763672,29.84000015258789,30.059999465942383,78700.0
2008-05-14,30.010000228881836,30.200000762939453,29.93000030517578,30.399999618530273,70500.0
2008-05-15,30.139999389648438,30.260000228881836,29.8700008392334,30.34000015258789,103800.0
2008-05-16,30.31999969482422,30.040000915527344,29.510000228881836,30.31999969482422,60300.0
2008-05-19,29.969999313354492,30.649999618530273,29.969999313354492,30.760000228881836,86100.0
2008-05-20,30.549999237060547,30.40999984741211,30.06999969482422,30.709999084472656,38600.0
2008-05-21,30.280000686645508,30.15999984741211,30.06999969482422,30.84000015258789,47600.0
2008-05-22,30.100000381469727,30.3799991607666,30.100000381469727,30.940000534057617,41700.0
2008-05-23,30.3700008392334,30.139999389648438,29.809999465942383,30.530000686645508,61200.0
2008-05-27,30.06999969482422,30.100000381469727,29.860000610351562,30.3799991607666,90800.0
2008-05-28,30.200000762939453,30.229999542236328,29.579999923706055,30.3700008392334,68600.0
2008-05-29,30.149999618530273,30.1299991607666,29.559999465942383,30.600000381469727,38500.0
2008-05-30,30.100000381469727,30.270000457763672,30.06999969482422,30.469999313354492,70600.0
2008-06-02,30.25,30.0,29.829999923706055,30.540000915527344,58800.0
2008-06-03,30.0,30.309999465942383,29.709999084472656,30.440000534057617,144300.0
2008-06-04,30.309999465942383,30.90999984741211,30.170000076293945,30.979999542236328,51300.0
2008-06-05,30.90999984741211,31.520000457763672,30.68000030517578,31.639999389648438,111900.0
2008-06-06,31.559999465942383,31.270000457763672,31.09000015258789,31.559999465942383,43300.0
2008-06-09,31.479999542236328,32.220001220703125,31.389999389648438,32.56999969482422,163000.0
2008-06-10,32.11000061035156,32.459999084472656,31.959999084472656,32.619998931884766,89400.0
