Date,txmdopen,txmdclose,txmdlow,txmdhigh,txmdvolume
2018-01-09,6.400000095367432,6.389999866485596,6.349999904632568,6.5,1263700
2018-01-10,6.300000190734863,6.329999923706055,6.199999809265137,6.400000095367432,1392500
2018-01-11,6.349999904632568,6.239999771118164,6.210000038146973,6.349999904632568,1787500
2018-01-12,6.21999979019165,6.150000095367432,6.110000133514404,6.260000228881836,1298000
2018-01-16,6.130000114440918,6.210000038146973,6.130000114440918,6.269999980926514,1639800
2018-01-17,6.210000038146973,6.190000057220459,6.150000095367432,6.269999980926514,1487500
2018-01-18,6.150000095367432,6.170000076293945,6.099999904632568,6.210000038146973,1135000
2018-01-19,6.199999809265137,6.300000190734863,6.130000114440918,6.320000171661377,2562800
2018-01-22,6.320000171661377,6.449999809265137,6.320000171661377,6.53000020980835,2444000
2018-01-23,6.429999828338623,6.400000095367432,6.349999904632568,6.480000019073486,2160500
2018-01-24,6.480000019073486,6.300000190734863,6.25,6.489999771118164,1572900
2018-01-25,6.329999923706055,6.429999828338623,6.320000171661377,6.53000020980835,1398900
2018-01-26,6.519999980926514,6.460000038146973,6.369999885559082,6.519999980926514,1265800
2018-01-29,6.440000057220459,6.329999923706055,6.320000171661377,6.510000228881836,1276600
2018-01-30,6.260000228881836,6.159999847412109,6.050000190734863,6.300000190734863,1653800
2018-01-31,6.159999847412109,5.880000114440918,5.869999885559082,6.199999809265137,1947200
2018-02-01,5.880000114440918,5.559999942779541,5.429999828338623,6.03000020980835,4487800
2018-02-02,5.510000228881836,5.510000228881836,5.440000057220459,5.690000057220459,2013800
2018-02-05,5.449999809265137,5.360000133514404,5.329999923706055,5.630000114440918,2423400
2018-02-06,5.170000076293945,5.630000114440918,5.090000152587891,5.639999866485596,3275700
2018-02-07,5.610000133514404,5.480000019073486,5.400000095367432,5.639999866485596,1538300
2018-02-08,5.480000019073486,5.340000152587891,5.260000228881836,5.480000019073486,1556700
2018-02-09,5.349999904632568,5.409999847412109,5.090000152587891,5.460000038146973,1920300
2018-02-12,5.449999809265137,5.480000019073486,5.369999885559082,5.639999866485596,1601700
2018-02-13,5.420000076293945,5.380000114440918,5.309999942779541,5.5,1010800
2018-02-14,5.309999942779541,5.46999979019165,5.269999980926514,5.570000171661377,1426100
2018-02-15,5.480000019073486,5.519999980926514,5.320000171661377,5.570000171661377,1342100
2018-02-16,5.400000095367432,5.579999923706055,5.389999866485596,5.610000133514404,1413000
