Date,uriopen,uriclose,urilow,urihigh,urivolume
2008-08-07,16.40999984741211,15.880000114440918,15.59000015258789,16.40999984741211,1667000
2008-08-08,15.8100004196167,16.360000610351562,15.739999771118164,16.420000076293945,835300
2008-08-11,16.3799991607666,16.56999969482422,16.010000228881836,16.670000076293945,1569400
2008-08-12,16.56999969482422,16.3700008392334,16.329999923706055,16.829999923706055,814200
2008-08-13,16.450000762939453,16.3700008392334,16.010000228881836,16.56999969482422,704600
2008-08-14,16.309999465942383,16.5,16.209999084472656,16.790000915527344,777400
2008-08-15,16.5,16.030000686645508,15.930000305175781,16.709999084472656,1040900
2008-08-18,16.18000030517578,15.75,15.670000076293945,16.18000030517578,382300
2008-08-19,15.65999984741211,15.430000305175781,15.289999961853027,15.90999984741211,937600
2008-08-20,15.329999923706055,15.270000457763672,15.079999923706055,15.420000076293945,1041400
2008-08-21,15.479999542236328,16.020000457763672,15.359999656677246,16.030000686645508,879500
2008-08-22,16.049999237060547,16.260000228881836,15.949999809265137,16.75,611800
2008-08-25,16.09000015258789,16.059999465942383,15.760000228881836,16.18000030517578,738600
2008-08-26,16.040000915527344,15.930000305175781,15.699999809265137,16.149999618530273,651700
2008-08-27,15.699999809265137,16.219999313354492,15.699999809265137,16.290000915527344,543100
2008-08-28,16.31999969482422,16.31999969482422,15.979999542236328,16.389999389648438,453000
2008-08-29,16.25,16.190000534057617,16.020000457763672,16.510000228881836,425700
2008-09-02,16.530000686645508,16.40999984741211,16.219999313354492,16.670000076293945,980400
2008-09-03,16.510000228881836,16.350000381469727,16.270000457763672,16.75,1044000
2008-09-04,16.290000915527344,16.020000457763672,15.84000015258789,16.350000381469727,1031900
2008-09-05,15.989999771118164,15.920000076293945,15.65999984741211,16.149999618530273,1179000
2008-09-08,16.09000015258789,16.3799991607666,15.930000305175781,16.5,956900
2008-09-09,16.170000076293945,16.299999237060547,16.170000076293945,17.030000686645508,1148000
2008-09-10,16.18000030517578,16.6299991607666,16.010000228881836,16.780000686645508,1093900
2008-09-11,16.719999313354492,16.200000762939453,15.850000381469727,16.719999313354492,1012000
2008-09-12,16.079999923706055,16.200000762939453,15.90999984741211,16.5,739900
2008-09-15,15.399999618530273,15.8100004196167,15.390000343322754,15.899999618530273,1032200
2008-09-16,15.850000381469727,16.18000030517578,15.680000305175781,16.459999084472656,984300
2008-09-17,16.0,15.319999694824219,15.119999885559082,16.049999237060547,1499100
2008-09-18,15.40999984741211,20.0,14.569999694824219,20.0,2889000
2008-09-19,16.559999465942383,17.549999237060547,16.25,18.5,2778700
2008-09-22,17.299999237060547,16.229999542236328,16.229999542236328,17.5,989700
2008-09-23,16.0,15.84000015258789,15.260000228881836,16.459999084472656,894000
2008-09-24,16.06999969482422,14.789999961853027,14.619999885559082,16.75,672700
2008-09-25,14.960000038146973,14.770000457763672,14.649999618530273,15.0600004196167,677600
2008-09-26,14.600000381469727,14.979999542236328,14.34000015258789,15.479999542236328,997600
2008-09-29,15.84000015258789,15.649999618530273,14.010000228881836,16.31999969482422,1507300
2008-09-30,15.579999923706055,15.239999771118164,13.789999961853027,16.329999923706055,1504200
2008-10-01,15.229999542236328,13.890000343322754,13.770000457763672,15.520000457763672,1552500
2008-10-02,13.880000114440918,13.420000076293945,13.0,14.170000076293945,1607800
2008-10-03,13.529999732971191,12.779999732971191,12.75,13.829999923706055,1070800
2008-10-06,12.479999542236328,12.010000228881836,10.890000343322754,12.479999542236328,2116900
2008-10-07,12.149999618530273,11.09000015258789,11.09000015258789,12.210000038146973,862600
2008-10-08,10.84000015258789,10.960000038146973,10.4399995803833,11.25,2270700
2008-10-09,10.859999656677246,11.119999885559082,10.59000015258789,11.680000305175781,1567800
2008-10-10,10.729999542236328,10.020000457763672,9.329999923706055,10.920000076293945,1705300
2008-10-13,10.5600004196167,11.510000228881836,10.119999885559082,11.510000228881836,1425100
2008-10-14,11.84000015258789,11.609999656677246,11.15999984741211,12.109999656677246,2297000
2008-10-15,11.550000190734863,9.829999923706055,9.770000457763672,11.829999923706055,833900
2008-10-16,9.819999694824219,10.170000076293945,9.260000228881836,11.020000457763672,1215100
2008-10-17,10.680000305175781,9.989999771118164,9.800000190734863,10.680000305175781,535700
2008-10-20,10.1899995803833,10.220000267028809,9.90999984741211,10.489999771118164,543700
2008-10-21,10.119999885559082,9.550000190734863,9.539999961853027,10.149999618530273,644800
2008-10-22,9.369999885559082,8.420000076293945,8.279999732971191,9.649999618530273,897200
2008-10-23,8.119999885559082,8.0,7.75,8.699999809265137,971300
2008-10-24,7.46999979019165,7.989999771118164,6.239999771118164,8.34000015258789,885500
2008-10-27,7.650000095367432,7.489999771118164,7.480000019073486,8.289999961853027,722100
2008-10-28,7.539999961853027,8.210000038146973,7.309999942779541,8.25,1006200
2008-10-29,8.149999618530273,9.100000381469727,7.730000019073486,9.569999694824219,1265500
2008-10-30,9.329999923706055,9.84000015258789,9.319999694824219,9.949999809265137,1208700
2008-10-31,9.8100004196167,10.25,9.699999809265137,10.3100004196167,494700
2008-11-03,10.270000457763672,10.34000015258789,10.130000114440918,10.6899995803833,503300
2008-11-04,10.510000228881836,10.390000343322754,9.949999809265137,10.539999961853027,1825200
2008-11-05,10.239999771118164,9.5600004196167,9.5600004196167,10.239999771118164,1003600
2008-11-06,9.229999542236328,8.630000114440918,8.59000015258789,9.5,1439400
2008-11-07,8.569999694824219,8.25,7.75,8.869999885559082,961700
2008-11-10,8.4399995803833,7.849999904632568,7.519999980926514,8.479999542236328,1721800
2008-11-11,7.760000228881836,7.199999809265137,7.010000228881836,7.849999904632568,1256800
2008-11-12,7.059999942779541,6.539999961853027,6.420000076293945,7.130000114440918,771900
2008-11-13,6.599999904632568,6.659999847412109,6.269999980926514,6.659999847412109,1240800
2008-11-14,6.579999923706055,6.260000228881836,6.260000228881836,6.730000019073486,1278700
2008-11-17,6.21999979019165,5.900000095367432,5.840000152587891,6.409999847412109,849000
2008-11-18,5.900000095367432,5.570000171661377,5.230000019073486,5.900000095367432,893100
