Date,osisopen,osisclose,osislow,osishigh,osisvolume
2017-03-16,72.76000213623047,72.2699966430664,72.1500015258789,72.97000122070312,77400
2017-03-17,72.0,72.93000030517578,71.55000305175781,73.04000091552734,196900
2017-03-20,73.01000213623047,73.22000122070312,72.08999633789062,73.26000213623047,155200
2017-03-21,73.43000030517578,71.0,70.79000091552734,73.7300033569336,154500
2017-03-22,70.76000213623047,70.62999725341797,70.0,71.45999908447266,230900
2017-03-23,70.54000091552734,71.37999725341797,70.44000244140625,72.0199966430664,150200
2017-03-24,71.5,71.61000061035156,71.2300033569336,72.37000274658203,119800
2017-03-27,70.94999694824219,72.4800033569336,70.23999786376953,72.79000091552734,219400
2017-03-28,72.23999786376953,73.18000030517578,71.69999694824219,73.26000213623047,160700
2017-03-29,72.87999725341797,72.83999633789062,71.5199966430664,73.11000061035156,75900
2017-03-30,72.80000305175781,73.0999984741211,72.7699966430664,73.37999725341797,146100
2017-03-31,73.01000213623047,72.98999786376953,72.97000122070312,74.23999786376953,200700
2017-04-03,73.04000091552734,71.38999938964844,71.27999877929688,74.23999786376953,165500
2017-04-04,71.44999694824219,71.41999816894531,70.91000366210938,72.80999755859375,143100
2017-04-05,71.7699966430664,70.27999877929688,70.25,71.97000122070312,132200
2017-04-06,70.5,70.38999938964844,69.76000213623047,70.5,100700
2017-04-07,70.12000274658203,69.80000305175781,69.45999908447266,70.12000274658203,171400
2017-04-10,69.4800033569336,70.08999633789062,69.4800033569336,70.83000183105469,84700
2017-04-11,69.86000061035156,70.1500015258789,69.08000183105469,70.43000030517578,125100
2017-04-12,70.58999633789062,70.91999816894531,70.19999694824219,72.47000122070312,381900
2017-04-13,70.73999786376953,71.02999877929688,70.52999877929688,71.66999816894531,146000
2017-04-17,71.27999877929688,71.08000183105469,70.45999908447266,71.41999816894531,82400
2017-04-18,71.0,71.08000183105469,70.52999877929688,71.58000183105469,87400
2017-04-19,71.4000015258789,71.75,71.13999938964844,72.01000213623047,113100
2017-04-20,71.83999633789062,72.4800033569336,71.7699966430664,72.9800033569336,122700
2017-04-21,72.37000274658203,71.63999938964844,71.48999786376953,72.37000274658203,105200
2017-04-24,72.55999755859375,72.2699966430664,70.5199966430664,73.0999984741211,273400
2017-04-25,72.94000244140625,71.9000015258789,71.8499984741211,73.69000244140625,292300
2017-04-26,71.5999984741211,70.9000015258789,70.58999633789062,72.19000244140625,326700
2017-04-27,72.31999969482422,78.12999725341797,71.62999725341797,78.4000015258789,944600
2017-04-28,78.30000305175781,77.4000015258789,77.04000091552734,78.33000183105469,390200
2017-05-01,77.54000091552734,78.66000366210938,76.08999633789062,79.2699966430664,309900
