Date,abcdopen,abcdclose,abcdlow,abcdhigh,abcdvolume
2014-12-22,1.7400000095367432,1.6699999570846558,1.6699999570846558,1.75,2200
2014-12-23,1.659999966621399,1.659999966621399,1.649999976158142,1.7400000095367432,10700
2014-12-24,1.659999966621399,1.690000057220459,1.649999976158142,1.7000000476837158,5800
2014-12-26,1.659999966621399,1.659999966621399,1.659999966621399,1.6799999475479126,400
2014-12-29,1.6399999856948853,1.659999966621399,1.6399999856948853,1.659999966621399,1200
2014-12-30,1.649999976158142,1.659999966621399,1.649999976158142,1.690000057220459,6200
2014-12-31,1.659999966621399,1.659999966621399,1.649999976158142,1.840000033378601,33600
2015-01-02,1.7799999713897705,1.7599999904632568,1.7599999904632568,1.7799999713897705,400
2015-01-05,1.649999976158142,1.7699999809265137,1.649999976158142,1.850000023841858,16900
2015-01-06,1.7300000190734863,1.7300000190734863,1.6699999570846558,1.75,24500
2015-01-07,1.809999942779541,1.75,1.7200000286102295,1.840000033378601,12400
2015-01-08,1.75,1.7899999618530273,1.7400000095367432,1.7899999618530273,24000
2015-01-09,1.7400000095367432,1.75,1.7400000095367432,1.75,10000
2015-01-12,1.7799999713897705,1.7699999809265137,1.7300000190734863,1.7899999618530273,1500
2015-01-13,1.7899999618530273,1.75,1.75,1.7999999523162842,10200
2015-01-14,1.7699999809265137,1.8300000429153442,1.7699999809265137,1.840000033378601,14300
2015-01-15,1.7999999523162842,1.7999999523162842,1.7899999618530273,1.8300000429153442,18200
2015-01-16,1.840000033378601,1.7999999523162842,1.7999999523162842,1.850000023841858,10300
2015-01-20,1.840000033378601,2.0999999046325684,1.840000033378601,2.0999999046325684,71400
2015-01-21,2.109999895095825,2.2899999618530273,2.109999895095825,2.4100000858306885,175700
2015-01-22,2.299999952316284,2.299999952316284,2.2100000381469727,2.359999895095825,53000
2015-01-23,2.359999895095825,2.4200000762939453,2.309999942779541,2.4800000190734863,81100
2015-01-26,2.5,2.5399999618530273,2.4600000381469727,2.609999895095825,222700
2015-01-27,2.5999999046325684,2.549999952316284,2.5299999713897705,2.5999999046325684,13900
2015-01-28,2.549999952316284,2.5399999618530273,2.450000047683716,2.549999952316284,16500
2015-01-29,2.5199999809265137,2.5199999809265137,2.3299999237060547,2.5899999141693115,69700
2015-01-30,2.5899999141693115,2.509999990463257,2.4600000381469727,2.609999895095825,5100
2015-02-02,2.509999990463257,2.6500000953674316,2.509999990463257,2.7100000381469727,80800
2015-02-03,2.7200000286102295,2.690000057220459,2.6500000953674316,2.7300000190734863,18500
2015-02-04,2.6700000762939453,2.549999952316284,2.4100000858306885,2.700000047683716,11700
2015-02-05,2.5899999141693115,2.680000066757202,2.509999990463257,2.700000047683716,12000
2015-02-06,2.700000047683716,2.619999885559082,2.5899999141693115,2.7300000190734863,35100
2015-02-09,2.619999885559082,2.549999952316284,2.509999990463257,2.6500000953674316,16600
2015-02-10,2.559999942779541,2.5899999141693115,2.5299999713897705,2.640000104904175,21600
2015-02-11,2.559999942779541,2.5799999237060547,2.5199999809265137,2.5899999141693115,8700
2015-02-12,2.5899999141693115,2.5799999237060547,2.509999990463257,2.5899999141693115,12700
2015-02-13,2.5199999809265137,2.5799999237060547,2.509999990463257,2.5899999141693115,8900
2015-02-17,2.509999990463257,2.5399999618530273,2.509999990463257,2.5899999141693115,63000
2015-02-18,2.569999933242798,2.640000104904175,2.549999952316284,2.6500000953674316,46600
2015-02-19,2.700000047683716,2.6500000953674316,2.5899999141693115,2.740000009536743,18200
2015-02-20,2.680000066757202,2.6600000858306885,2.6500000953674316,2.700000047683716,15200
2015-02-23,2.6500000953674316,2.6500000953674316,2.640000104904175,2.7300000190734863,8300
2015-02-24,2.700000047683716,2.7200000286102295,2.700000047683716,2.7200000286102295,3600
2015-02-25,2.6600000858306885,2.640000104904175,2.609999895095825,2.690000057220459,18100
2015-02-26,2.7100000381469727,2.690000057220459,2.630000114440918,2.7100000381469727,1400
2015-02-27,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,400
2015-03-02,2.6700000762939453,2.75,2.6700000762939453,2.7699999809265137,56000
2015-03-03,2.75,2.7300000190734863,2.630000114440918,2.75,7900
2015-03-04,2.7699999809265137,2.740000009536743,2.7100000381469727,2.7799999713897705,32600
2015-03-05,2.7799999713897705,2.8399999141693115,2.75,2.8499999046325684,64500
2015-03-06,2.8499999046325684,2.950000047683716,2.8499999046325684,3.109999895095825,109600
2015-03-09,2.9700000286102295,3.0199999809265137,2.9700000286102295,3.1700000762939453,67100
2015-03-10,3.0,3.009999990463257,2.9600000381469727,3.0299999713897705,29400
2015-03-11,3.0899999141693115,2.9600000381469727,2.950000047683716,3.0899999141693115,52600
2015-03-12,2.9700000286102295,3.009999990463257,2.9700000286102295,3.0299999713897705,17900
2015-03-13,3.0199999809265137,3.0,2.950000047683716,3.0299999713897705,59500
2015-03-16,3.0299999713897705,3.0,2.9100000858306885,3.0299999713897705,57200
2015-03-17,3.0299999713897705,2.9800000190734863,2.940000057220459,3.0299999713897705,5300
2015-03-18,2.9800000190734863,3.049999952316284,2.9600000381469727,3.109999895095825,122200
2015-03-19,3.0999999046325684,3.1700000762939453,3.049999952316284,3.200000047683716,97300
2015-03-20,3.1700000762939453,3.109999895095825,3.069999933242798,3.25,73700
2015-03-23,3.1600000858306885,3.2100000381469727,3.119999885559082,3.25,46200
2015-03-24,3.25,3.200000047683716,3.200000047683716,3.299999952316284,37700
