Date,gwropen,gwrclose,gwrlow,gwrhigh,gwrvolume
2008-07-30,42.0,42.029998779296875,41.09000015258789,42.43000030517578,461100
2008-07-31,41.34000015258789,40.470001220703125,40.45000076293945,41.75,401700
2008-08-01,40.91999816894531,39.72999954223633,39.02000045776367,40.97999954223633,611100
2008-08-04,41.31999969482422,40.189998626708984,38.0,41.31999969482422,503400
2008-08-05,38.900001525878906,40.150001525878906,38.349998474121094,40.369998931884766,446000
2008-08-06,40.11000061035156,40.310001373291016,39.66999816894531,40.459999084472656,257900
2008-08-07,40.380001068115234,41.16999816894531,39.7599983215332,41.939998626708984,364800
2008-08-08,40.459999084472656,42.83000183105469,40.459999084472656,43.04999923706055,444800
2008-08-11,42.90999984741211,44.7400016784668,42.90999984741211,45.0099983215332,653000
2008-08-12,44.88999938964844,43.43000030517578,43.099998474121094,45.63999938964844,529200
2008-08-13,43.41999816894531,42.630001068115234,41.29999923706055,43.9900016784668,410400
2008-08-14,42.38999938964844,44.0,42.119998931884766,44.689998626708984,314700
2008-08-15,44.279998779296875,43.58000183105469,43.119998931884766,44.81999969482422,279700
2008-08-18,43.7599983215332,43.65999984741211,43.34000015258789,44.15999984741211,214800
2008-08-19,43.38999938964844,42.84000015258789,42.68000030517578,43.79999923706055,179600
2008-08-20,42.9900016784668,42.790000915527344,42.25,43.68000030517578,167800
2008-08-21,42.5,41.2599983215332,40.97999954223633,42.61000061035156,407400
2008-08-22,41.5099983215332,42.16999816894531,41.38999938964844,42.400001525878906,273000
2008-08-25,42.04999923706055,41.529998779296875,41.290000915527344,42.16999816894531,206000
2008-08-26,41.58000183105469,41.2599983215332,40.40999984741211,41.58000183105469,260200
2008-08-27,41.2599983215332,42.040000915527344,41.130001068115234,42.220001220703125,283700
2008-08-28,42.0,42.459999084472656,41.83000183105469,43.0,569100
2008-08-29,42.08000183105469,43.0099983215332,42.08000183105469,43.47999954223633,192300
2008-09-02,43.290000915527344,42.61000061035156,42.11000061035156,44.380001068115234,345900
2008-09-03,42.630001068115234,42.650001525878906,42.22999954223633,43.79999923706055,364200
2008-09-04,42.25,40.540000915527344,40.06999969482422,42.38999938964844,423800
2008-09-05,40.439998626708984,39.220001220703125,38.880001068115234,40.470001220703125,528200
2008-09-08,40.529998779296875,39.43000030517578,38.689998626708984,40.68000030517578,398100
2008-09-09,39.599998474121094,37.7599983215332,37.45000076293945,39.97999954223633,459100
2008-09-10,37.7599983215332,38.970001220703125,37.7599983215332,39.59000015258789,381100
2008-09-11,38.369998931884766,39.560001373291016,38.369998931884766,39.880001068115234,404000
2008-09-12,38.97999954223633,40.650001525878906,38.63999938964844,40.90999984741211,358500
2008-09-15,39.380001068115234,41.72999954223633,38.88999938964844,42.400001525878906,673600
2008-09-16,40.900001525878906,43.84000015258789,40.29999923706055,43.97999954223633,916600
2008-09-17,43.040000915527344,41.79999923706055,40.40999984741211,43.380001068115234,531500
2008-09-18,42.43000030517578,43.869998931884766,40.66999816894531,44.52000045776367,672700
2008-09-19,45.09000015258789,45.279998779296875,43.970001220703125,47.40999984741211,810500
2008-09-22,45.58000183105469,44.47999954223633,44.060001373291016,46.61000061035156,486900
2008-09-23,44.529998779296875,42.02000045776367,42.0,44.599998474121094,444100
2008-09-24,42.45000076293945,40.02000045776367,39.650001525878906,42.45000076293945,491900
2008-09-25,40.209999084472656,40.15999984741211,39.869998931884766,40.90999984741211,527800
2008-09-26,39.189998626708984,38.970001220703125,38.16999816894531,39.95000076293945,381300
2008-09-29,38.29999923706055,35.58000183105469,34.20000076293945,38.33000183105469,1026400
2008-09-30,35.599998474121094,37.52000045776367,35.38999938964844,38.0,467700
2008-10-01,37.45000076293945,38.33000183105469,36.09000015258789,38.34000015258789,485200
2008-10-02,37.970001220703125,34.220001220703125,34.0,38.18000030517578,999800
2008-10-03,34.810001373291016,33.0099983215332,32.709999084472656,36.689998626708984,685200
2008-10-06,32.09000015258789,33.22999954223633,30.5,33.400001525878906,622700
2008-10-07,33.810001373291016,30.389999389648438,30.389999389648438,34.15999984741211,656800
2008-10-08,28.389999389648438,27.6200008392334,27.360000610351562,30.290000915527344,1376500
2008-10-09,27.920000076293945,24.670000076293945,24.530000686645508,29.5,1272900
2008-10-10,23.309999465942383,25.770000457763672,22.719999313354492,26.18000030517578,1239100
2008-10-13,27.40999984741211,29.18000030517578,26.399999618530273,29.18000030517578,1197700
2008-10-14,29.860000610351562,29.959999084472656,28.90999984741211,30.579999923706055,695500
2008-10-15,29.959999084472656,25.670000076293945,25.40999984741211,30.190000534057617,664100
