Date,tgloopen,tgloclose,tglolow,tglohigh,tglovolume
2014-01-30,0.0020000000949949026,0.0024999999441206455,0.0020000000949949026,0.0024999999441206455,45767.0
2014-01-31,0.0019000000320374966,0.0019000000320374966,0.0019000000320374966,0.0019000000320374966,5700.0
2014-02-03,0.0019000000320374966,0.0019000000320374966,0.0019000000320374966,0.0019000000320374966,0.0
2014-02-04,0.0019000000320374966,0.0019000000320374966,0.0019000000320374966,0.0019000000320374966,0.0
2014-02-05,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,200.0
2014-02-06,0.0020000000949949026,0.002099999925121665,0.0020000000949949026,0.002099999925121665,449452.0
2014-02-07,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,2000.0
2014-02-10,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.0
2014-02-11,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,2000.0
2014-02-12,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.0
2014-02-13,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.0
2014-02-14,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,500.0
2014-02-18,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,477.0
2014-02-19,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.0
2014-02-20,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,30100.0
2014-02-21,0.002099999925121665,0.002199999988079071,0.002099999925121665,0.002199999988079071,1600.0
2014-02-24,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,1500.0
2014-02-25,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.0
2014-02-26,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.0
2014-02-27,0.002099999925121665,0.002099999925121665,0.002099999925121665,0.002099999925121665,11000.0
