Date,bspmopen,bspmclose,bspmlow,bspmhigh,bspmvolume
2016-11-30,3.259999990463257,3.2200000286102295,3.2100000381469727,3.309999942779541,79800.0
2016-12-01,3.2200000286102295,3.130000114440918,3.130000114440918,3.3499999046325684,76700.0
2016-12-02,3.140000104904175,3.119999885559082,3.049999952316284,3.240000009536743,83900.0
2016-12-05,3.0299999713897705,3.190000057220459,3.0299999713897705,3.2799999713897705,97300.0
2016-12-06,3.4000000953674316,3.2100000381469727,3.059999942779541,3.4000000953674316,61800.0
2016-12-07,3.180000066757202,3.2100000381469727,3.180000066757202,3.359999895095825,42600.0
2016-12-08,3.190000057220459,3.140000104904175,3.0999999046325684,3.200000047683716,31800.0
2016-12-09,3.119999885559082,3.259999990463257,3.0999999046325684,3.319999933242798,88600.0
2016-12-12,3.2899999618530273,3.2699999809265137,3.109999895095825,3.2899999618530273,27900.0
2016-12-13,3.200000047683716,3.5799999237060547,3.180000066757202,3.7100000381469727,1005700.0
2016-12-14,3.5999999046325684,3.369999885559082,3.200000047683716,3.609999895095825,382500.0
2016-12-15,3.4800000190734863,3.4200000762939453,3.299999952316284,3.4800000190734863,112300.0
2016-12-16,3.450000047683716,3.200000047683716,3.009999990463257,3.450000047683716,188500.0
2016-12-19,3.299999952316284,3.190000057220459,3.180000066757202,3.309999942779541,25600.0
2016-12-20,3.190000057220459,3.200000047683716,3.1500000953674316,3.2799999713897705,70300.0
2016-12-21,3.180000066757202,3.069999933242798,3.049999952316284,3.2100000381469727,74500.0
2016-12-22,3.069999933242798,3.140000104904175,2.990000009536743,3.1600000858306885,30800.0
2016-12-23,3.180000066757202,3.109999895095825,3.059999942779541,3.180000066757202,20400.0
2016-12-27,3.069999933242798,3.049999952316284,3.0,3.180000066757202,73200.0
2016-12-28,3.059999942779541,3.0,3.0,3.119999885559082,57300.0
2016-12-29,3.009999990463257,3.0399999618530273,3.009999990463257,3.069999933242798,24200.0
2016-12-30,3.0199999809265137,2.930000066757202,2.9100000858306885,3.0999999046325684,64700.0
2017-01-03,2.930000066757202,2.7200000286102295,2.5199999809265137,2.9800000190734863,86000.0
2017-01-04,2.7200000286102295,2.7300000190734863,2.700000047683716,2.940000057220459,91100.0
2017-01-05,2.7300000190734863,2.7699999809265137,2.7300000190734863,2.880000114440918,43900.0
2017-01-06,2.799999952316284,2.799999952316284,2.7100000381469727,2.880000114440918,81800.0
2017-01-09,2.8499999046325684,2.6700000762939453,2.549999952316284,2.8499999046325684,85000.0
2017-01-10,2.5999999046325684,2.809999942779541,2.380000114440918,3.0,169500.0
2017-01-11,2.8299999237060547,3.059999942779541,2.630000114440918,3.130000114440918,344200.0
2017-01-12,4.199999809265137,3.299999952316284,3.180000066757202,4.300000190734863,2111400.0
2017-01-13,3.009999990463257,2.9600000381469727,2.950000047683716,3.240000009536743,222200.0
2017-01-17,2.930000066757202,3.0,2.759999990463257,3.0,61100.0
2017-01-18,3.0,2.8499999046325684,2.799999952316284,3.0,63800.0
2017-01-19,2.8499999046325684,2.9100000858306885,2.809999942779541,3.0799999237060547,88800.0
2017-01-20,2.9000000953674316,2.819999933242798,2.700000047683716,2.9000000953674316,35600.0
2017-01-23,2.9800000190734863,2.759999990463257,2.7200000286102295,2.9800000190734863,47000.0
2017-01-24,2.75,2.799999952316284,2.75,2.8499999046325684,52000.0
2017-01-25,2.9000000953674316,2.799999952316284,2.799999952316284,2.9000000953674316,30200.0
2017-01-26,2.799999952316284,2.9000000953674316,2.799999952316284,2.9700000286102295,58400.0
2017-01-27,3.0,2.9100000858306885,2.809999942779541,3.0,34700.0
2017-01-30,2.809999942779541,2.8299999237060547,2.809999942779541,2.9000000953674316,8100.0
2017-01-31,2.890000104904175,2.799999952316284,2.799999952316284,2.9000000953674316,48300.0
2017-02-01,3.0,2.819999933242798,2.799999952316284,3.0,14800.0
2017-02-02,2.890000104904175,2.9000000953674316,2.799999952316284,3.0899999141693115,108600.0
2017-02-03,2.950000047683716,2.8299999237060547,2.819999933242798,2.9600000381469727,26000.0
2017-02-06,2.8299999237060547,2.7899999618530273,2.759999990463257,2.950000047683716,42000.0
2017-02-07,2.75,2.799999952316284,2.75,2.9700000286102295,95300.0
