Date,lglopen,lglclose,lgllow,lglhigh,lglvolume
2018-06-15,5.230000019073486,5.210000038146973,5.210000038146973,5.320000171661377,6400
2018-06-18,5.380000114440918,5.230000019073486,5.230000019073486,5.429999828338623,2800
2018-06-19,5.25,5.230000019073486,5.230000019073486,5.329999923706055,4400
2018-06-20,5.239999771118164,5.210000038146973,5.210000038146973,5.239999771118164,11800
2018-06-21,5.21999979019165,5.199999809265137,5.179999828338623,5.239999771118164,10400
2018-06-22,5.21999979019165,5.320000171661377,5.21999979019165,5.320000171661377,900
2018-06-25,5.329999923706055,5.239999771118164,5.210000038146973,5.329999923706055,6200
2018-06-26,5.25,5.300000190734863,5.25,5.329999923706055,13400
2018-06-27,5.230000019073486,5.170000076293945,5.150000095367432,5.230000019073486,9800
2018-06-28,5.159999847412109,5.190000057220459,5.159999847412109,5.190000057220459,700
2018-06-29,5.150000095367432,5.170000076293945,5.099999904632568,5.190000057220459,25100
2018-07-02,5.139999866485596,5.179999828338623,5.110000133514404,5.199999809265137,32200
2018-07-03,5.159999847412109,5.21999979019165,5.159999847412109,5.25,9000
2018-07-05,5.199999809265137,5.230000019073486,5.199999809265137,5.230000019073486,1600
2018-07-06,5.199999809265137,5.21999979019165,5.199999809265137,5.25,9700
2018-07-09,5.190000057220459,5.210000038146973,5.170000076293945,5.230000019073486,5200
2018-07-10,5.21999979019165,5.329999923706055,5.21999979019165,5.389999866485596,10800
2018-07-11,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,3000
2018-07-12,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,200
2018-07-13,5.269999980926514,5.349999904632568,5.269999980926514,5.349999904632568,5900
2018-07-16,5.349999904632568,5.320000171661377,5.320000171661377,5.349999904632568,12900
2018-07-17,5.320000171661377,5.320000171661377,5.320000171661377,5.320000171661377,2800
2018-07-18,5.320000171661377,5.269999980926514,5.260000228881836,5.320000171661377,2000
2018-07-19,5.320000171661377,5.409999847412109,5.300000190734863,5.480000019073486,33100
2018-07-20,5.409999847412109,5.400000095367432,5.400000095367432,5.46999979019165,17000
2018-07-23,5.21999979019165,5.389999866485596,5.21999979019165,5.389999866485596,2300
2018-07-24,5.320000171661377,5.420000076293945,5.309999942779541,5.420000076293945,1300
2018-07-25,5.320000171661377,5.300000190734863,5.239999771118164,5.320000171661377,4000
2018-07-26,5.28000020980835,5.300000190734863,5.28000020980835,5.360000133514404,3100
2018-07-27,5.309999942779541,5.300000190734863,5.210000038146973,5.309999942779541,4000
2018-07-30,5.800000190734863,5.449999809265137,5.449999809265137,5.800000190734863,8100
2018-07-31,5.360000133514404,5.449999809265137,5.309999942779541,5.579999923706055,40500
2018-08-01,5.760000228881836,5.900000095367432,5.71999979019165,6.019999980926514,106400
2018-08-02,5.900000095367432,5.829999923706055,5.800000190734863,5.900000095367432,15500
2018-08-03,5.860000133514404,5.840000152587891,5.78000020980835,5.900000095367432,73100
2018-08-06,5.820000171661377,6.320000171661377,5.820000171661377,6.340000152587891,71300
2018-08-07,6.329999923706055,6.619999885559082,6.329999923706055,6.699999809265137,80200
2018-08-08,6.599999904632568,6.679999828338623,6.599999904632568,6.699999809265137,49000
2018-08-09,6.849999904632568,7.179999828338623,6.679999828338623,7.239999771118164,129700
2018-08-10,7.179999828338623,7.21999979019165,6.699999809265137,7.28000020980835,92500
2018-08-13,7.21999979019165,7.550000190734863,7.21999979019165,7.550000190734863,84400
2018-08-14,7.550000190734863,7.380000114440918,7.300000190734863,7.550000190734863,30500
2018-08-15,7.340000152587891,7.199999809265137,7.110000133514404,7.340000152587891,15100
2018-08-16,7.010000228881836,7.199999809265137,6.880000114440918,7.230000019073486,17200
2018-08-17,7.150000095367432,7.420000076293945,7.139999866485596,7.489999771118164,10900
2018-08-20,7.460000038146973,7.380000114440918,7.239999771118164,7.480000019073486,14000
2018-08-21,7.449999809265137,7.429999828338623,7.360000133514404,7.5,13500
2018-08-22,7.46999979019165,7.400000095367432,7.400000095367432,7.480000019073486,5800
2018-08-23,7.449999809265137,7.599999904632568,7.420000076293945,7.730000019073486,28900
2018-08-24,7.639999866485596,7.800000190734863,7.619999885559082,7.929999828338623,41000
2018-08-27,7.860000133514404,7.940000057220459,7.849999904632568,8.0,53700
2018-08-28,7.949999809265137,7.849999904632568,7.489999771118164,7.949999809265137,9400
