Date,cmiopen,cmiclose,cmilow,cmihigh,cmivolume
2008-04-24,54.349998474121094,54.540000915527344,53.150001525878906,55.150001525878906,1882400.0
2008-04-25,54.84000015258789,56.060001373291016,54.540000915527344,56.290000915527344,2548100.0
2008-04-28,58.779998779296875,58.02000045776367,57.5,59.459999084472656,4040000.0
2008-04-29,58.40999984741211,57.4900016784668,57.189998626708984,58.709999084472656,3369000.0
2008-04-30,58.5,62.650001525878906,57.4900016784668,64.16999816894531,8954800.0
2008-05-01,62.650001525878906,65.69999694824219,61.7400016784668,66.0,5375400.0
2008-05-02,66.5,67.12999725341797,65.5,67.26000213623047,4405100.0
2008-05-05,66.26000213623047,67.81999969482422,66.04000091552734,67.95999908447266,3762300.0
2008-05-06,67.81999969482422,69.43000030517578,67.18000030517578,70.30000305175781,5099100.0
2008-05-07,69.7300033569336,68.05999755859375,67.62000274658203,70.5,4357800.0
2008-05-08,68.18000030517578,68.12000274658203,67.33000183105469,68.87999725341797,2790800.0
2008-05-09,67.26000213623047,66.9800033569336,66.25,67.5199966430664,3633300.0
2008-05-12,67.02999877929688,68.01000213623047,66.22000122070312,68.26000213623047,3469500.0
2008-05-13,67.9800033569336,70.69999694824219,67.63999938964844,71.12000274658203,3763600.0
2008-05-14,70.69000244140625,71.9800033569336,69.87999725341797,73.41000366210938,3926700.0
2008-05-15,72.01000213623047,73.2699966430664,70.30999755859375,73.4800033569336,2224900.0
2008-05-16,73.54000091552734,73.1500015258789,71.41999816894531,73.9800033569336,3179500.0
2008-05-19,73.52999877929688,70.7300033569336,70.44999694824219,73.52999877929688,3471200.0
2008-05-20,70.69000244140625,69.80000305175781,69.25,70.8499984741211,3906500.0
2008-05-21,70.19999694824219,69.27999877929688,69.02999877929688,72.0,3511500.0
2008-05-22,68.61000061035156,69.3499984741211,67.5,70.26000213623047,1924300.0
2008-05-23,69.01000213623047,67.86000061035156,66.37000274658203,69.33999633789062,2321600.0
2008-05-27,67.76000213623047,67.55000305175781,65.9800033569336,67.7699966430664,2541300.0
2008-05-28,68.06999969482422,70.9000015258789,67.93000030517578,71.11000061035156,2666400.0
2008-05-29,70.93000030517578,69.8499984741211,68.91000366210938,70.93000030517578,1617400.0
2008-05-30,69.93000030517578,70.41999816894531,68.97000122070312,71.0999984741211,2072300.0
2008-06-02,69.7300033569336,70.76000213623047,68.91999816894531,71.31999969482422,2127200.0
2008-06-03,70.94999694824219,70.56999969482422,69.4000015258789,71.58999633789062,3028700.0
2008-06-04,70.2300033569336,70.29000091552734,69.25,71.47000122070312,1700300.0
