Date,unpopen,unpclose,unplow,unphigh,unpvolume
2011-03-25,47.82500076293945,48.79499816894531,47.65999984741211,49.0,6384000.0
2011-03-28,48.8849983215332,48.810001373291016,48.70000076293945,49.189998626708984,4912200.0
2011-03-29,48.709999084472656,49.404998779296875,48.560001373291016,49.404998779296875,3732600.0
2011-03-30,49.6349983215332,48.935001373291016,48.93000030517578,49.71500015258789,4929600.0
2011-03-31,48.70000076293945,49.165000915527344,48.685001373291016,49.70000076293945,4726600.0
2011-04-01,49.494998931884766,49.1349983215332,48.88999938964844,49.619998931884766,5584800.0
2011-04-04,49.19499969482422,49.30500030517578,48.834999084472656,49.39500045776367,3072800.0
2011-04-05,49.150001525878906,48.900001525878906,48.81999969482422,49.38999938964844,3778000.0
2011-04-06,49.21500015258789,48.69499969482422,48.39500045776367,49.21500015258789,3191000.0
2011-04-07,48.57500076293945,48.244998931884766,48.0,48.79999923706055,4149400.0
2011-04-08,48.31999969482422,47.83000183105469,47.290000915527344,48.435001373291016,4692200.0
2011-04-11,47.935001373291016,47.67499923706055,47.189998626708984,48.125,5015400.0
2011-04-12,47.4900016784668,48.27000045776367,47.404998779296875,48.54999923706055,6077800.0
2011-04-13,48.5099983215332,48.45000076293945,48.14500045776367,48.65999984741211,5753000.0
2011-04-14,48.0099983215332,48.69499969482422,47.81999969482422,48.89500045776367,6045600.0
2011-04-15,48.775001525878906,49.1349983215332,48.45000076293945,49.45000076293945,5123000.0
2011-04-18,48.47999954223633,48.380001068115234,47.81999969482422,48.650001525878906,4481200.0
2011-04-19,48.380001068115234,48.65999984741211,48.2400016784668,48.869998931884766,4212400.0
2011-04-20,49.435001373291016,48.03499984741211,46.400001525878906,49.59000015258789,13649000.0
2011-04-21,48.27000045776367,48.029998779296875,47.75,48.314998626708984,6756400.0
2011-04-25,47.98500061035156,48.5,47.869998931884766,48.584999084472656,5242400.0
2011-04-26,48.79999923706055,49.9900016784668,48.755001068115234,50.02000045776367,7600000.0
2011-04-27,50.21500015258789,50.900001525878906,49.904998779296875,51.0,8504600.0
2011-04-28,50.96500015258789,51.45000076293945,50.935001373291016,51.58000183105469,8578400.0
2011-04-29,51.564998626708984,51.73500061035156,51.099998474121094,51.904998779296875,7137800.0
2011-05-02,51.915000915527344,51.810001373291016,51.560001373291016,52.06999969482422,4715400.0
2011-05-03,51.73500061035156,51.91999816894531,51.35499954223633,52.040000915527344,6724800.0
2011-05-04,51.790000915527344,50.279998779296875,50.15999984741211,51.8849983215332,10722000.0
2011-05-05,50.07500076293945,50.85499954223633,49.709999084472656,51.13999938964844,7931200.0
2011-05-06,51.54499816894531,51.16999816894531,50.9900016784668,51.77000045776367,4958800.0
2011-05-09,51.095001220703125,51.23500061035156,50.78499984741211,51.4900016784668,2924000.0
2011-05-10,51.40999984741211,52.244998931884766,51.38999938964844,52.3849983215332,5111000.0
2011-05-11,52.125,51.22999954223633,50.994998931884766,52.189998626708984,4385600.0
2011-05-12,51.119998931884766,51.21500015258789,50.494998931884766,51.599998474121094,5876400.0
2011-05-13,51.2400016784668,50.22999954223633,49.9900016784668,51.494998931884766,6284600.0
2011-05-16,50.11000061035156,50.5,49.9900016784668,51.029998779296875,6263600.0
2011-05-17,50.2599983215332,49.89500045776367,49.47999954223633,50.599998474121094,7213800.0
2011-05-18,50.064998626708984,51.01499938964844,49.564998626708984,51.20000076293945,4811200.0
2011-05-19,51.220001220703125,51.39500045776367,51.220001220703125,52.16999816894531,5467000.0
2011-05-20,51.380001068115234,50.994998931884766,50.68000030517578,51.564998626708984,4500200.0
2011-05-23,50.25,50.79499816894531,49.83000183105469,50.900001525878906,6468600.0
2011-05-24,50.85499954223633,50.790000915527344,50.64500045776367,51.220001220703125,5509200.0
2011-05-25,50.60499954223633,51.290000915527344,50.334999084472656,51.439998626708984,5368200.0
2011-05-26,50.834999084472656,51.619998931884766,50.595001220703125,51.76499938964844,4506600.0
2011-05-27,51.67499923706055,51.76499938964844,51.60499954223633,52.08000183105469,2948000.0
2011-05-31,52.130001068115234,52.48500061035156,51.72999954223633,52.5,4619600.0
2011-06-01,52.46500015258789,50.43000030517578,50.40999984741211,52.59000015258789,6994200.0
2011-06-02,50.67499923706055,51.11000061035156,50.505001068115234,51.4900016784668,5171600.0
2011-06-03,50.2599983215332,50.56999969482422,49.95000076293945,50.974998474121094,5812200.0
2011-06-06,50.45000076293945,50.064998626708984,50.04999923706055,50.86000061035156,3724800.0
2011-06-07,50.26499938964844,50.334999084472656,50.15999984741211,50.709999084472656,4581600.0
2011-06-08,50.15999984741211,49.869998931884766,49.845001220703125,50.529998779296875,5362400.0
2011-06-09,49.904998779296875,50.64500045776367,49.904998779296875,50.86000061035156,4139800.0
2011-06-10,50.400001525878906,49.79999923706055,49.709999084472656,50.59000015258789,5047800.0
2011-06-13,49.849998474121094,50.31999969482422,49.744998931884766,50.7400016784668,5170800.0
2011-06-14,50.90999984741211,50.84000015258789,50.69499969482422,51.04499816894531,5334000.0
2011-06-15,50.33000183105469,49.71500015258789,49.64500045776367,50.724998474121094,4802400.0
2011-06-16,49.650001525878906,49.39500045776367,49.165000915527344,50.15999984741211,6741400.0
2011-06-17,49.89500045776367,50.005001068115234,49.57500076293945,50.25,7114200.0
2011-06-20,49.93000030517578,50.900001525878906,49.79499816894531,51.09000015258789,4871600.0
2011-06-21,51.220001220703125,51.41999816894531,51.130001068115234,51.845001220703125,5184400.0
2011-06-22,51.244998931884766,50.935001373291016,50.8650016784668,51.709999084472656,4083400.0
2011-06-23,50.275001525878906,50.814998626708984,49.900001525878906,50.845001220703125,5913400.0
2011-06-24,50.80500030517578,50.02000045776367,49.900001525878906,50.869998931884766,5546800.0
2011-06-27,50.165000915527344,50.005001068115234,49.70000076293945,50.38999938964844,4819800.0
2011-06-28,50.13999938964844,50.8650016784668,49.96500015258789,50.970001220703125,4205800.0
2011-06-29,51.21500015258789,51.5,50.959999084472656,52.11000061035156,5256800.0
2011-06-30,51.69499969482422,52.20000076293945,51.47999954223633,52.79999923706055,4759200.0
2011-07-01,52.29999923706055,53.380001068115234,52.10499954223633,53.52000045776367,5390600.0
2011-07-05,53.30500030517578,52.86000061035156,52.59000015258789,53.31999969482422,3987600.0
2011-07-06,52.88999938964844,53.29499816894531,52.78499984741211,53.80500030517578,4832800.0
2011-07-07,53.86000061035156,53.125,52.834999084472656,53.94499969482422,5992600.0
2011-07-08,52.619998931884766,52.150001525878906,51.72999954223633,52.93000030517578,6793000.0
2011-07-11,51.6349983215332,51.13999938964844,50.70500183105469,51.72999954223633,6196000.0
2011-07-12,51.15999984741211,50.64500045776367,50.564998626708984,51.19499969482422,4178200.0
2011-07-13,50.939998626708984,51.07500076293945,50.69499969482422,51.78499984741211,4224000.0
2011-07-14,51.2400016784668,50.35499954223633,49.845001220703125,51.30500030517578,7163600.0
2011-07-15,50.529998779296875,50.369998931884766,49.53499984741211,50.625,4730200.0
2011-07-18,50.25,50.25,49.540000915527344,50.35499954223633,4816600.0
2011-07-19,50.5099983215332,50.275001525878906,49.92499923706055,50.994998931884766,6168600.0
2011-07-20,50.709999084472656,49.915000915527344,49.41999816894531,50.84000015258789,8490800.0
2011-07-21,50.994998931884766,52.20000076293945,50.80500030517578,52.494998931884766,10891800.0
2011-07-22,52.13999938964844,51.900001525878906,51.63999938964844,52.380001068115234,4770200.0
2011-07-25,51.34000015258789,52.43000030517578,51.29999923706055,53.0,5884800.0
2011-07-26,52.334999084472656,51.86000061035156,51.525001525878906,52.40999984741211,4932400.0
