AAPL,aaplopen,aaplclose,aapllow,aaplhigh,aaplvolume
1,-0.9286230444627298,-0.9308667930400478,-0.9304431881487272,-0.9305542155122227,-0.4870372875079725
1,-0.9335447035445564,-0.933828719888673,-0.9337367517101991,-0.9330022161099665,-0.3416791852040206
1,-0.9330238820223128,-0.9433482726865383,-0.9430554335274489,-0.9356821202406228,-0.08185241891804972
1,-0.9471638734411002,-0.9443312758990728,-0.9489367820730217,-0.9448814363084047,0.22475959298673365
1,-0.9444165920629529,-0.9388471772535097,-0.9432776056296861,-0.9436960808642683,-0.21247778072331597
1,-0.9366955868346506,-0.9337123095684914,-0.9359585948818576,-0.9381816587795139,-0.30537668925113
1,-0.933193149017042,-0.9396490977457619,-0.9406375407509651,-0.9368674756847594,-0.29062038444683697
1,-0.9384272836283187,-0.9337769819685923,-0.938010528396001,-0.9384393312830001,-0.4453789615234564
1,-0.9348857841965419,-0.93628621928551,-0.9362069243813029,-0.9371251481882454,-0.4540573586457257
1,-0.9389611083047226,-0.9399465907862259,-0.9400624793600424,-0.9419180735014385,-0.48579511196952513
1,-0.9393256833702931,-0.9431154520461752,-0.9434867252081663,-0.9423432443136532,-0.4234304940148467
1,-0.9442603456062798,-0.9409942491298626,-0.943173063290344,-0.9451133570435672,-0.44603707891577743
1,-0.9392475601419565,-0.9439432414984676,-0.9442447662302592,-0.9427040099016839,-0.46366486267480117
1,-0.9438957879246053,-0.9466335615356678,-0.9507665434849278,-0.9478061456595104,-0.10793810522544488
1,-0.9489606555411529,-0.9462713960951029,-0.9497340330160796,-0.9508210464076238,-0.2721089392275356
1,-0.9501975892725856,-0.9470345131472945,-0.9513285349021955,-0.9496357081657374,-0.12296035005016431
1,-0.9494293949111722,-0.9421065971425989,-0.9478650616832084,-0.9471104006562727,-0.140843974841497
1,-0.937750233033298,-0.933117340756562,-0.9378275662147288,-0.9353213718548422,-0.05481237823355473
1,-0.9350290101151588,-0.9394421460654391,-0.9390953187594693,-0.9378853156179172,-0.27288656131257993
1,-0.9413438146172993,-0.943697503647083,-0.9479826914461036,-0.9433353324784876,-0.06996759306848736
1,-0.9445337769054577,-0.939959525266246,-0.9448459675684919,-0.9447525914555366,0.045654038723608126
1,-0.9424635635062272,-0.9401276562375097,-0.9424280922419062,-0.9444176120403296,-0.2931114681824767
1,-0.9411224828542417,-0.9447322275106995,-0.9443101160985343,-0.9413769423216426,-0.14170912149022594
1,-0.9465909697666323,-0.9430249279550327,-0.946610379112123,-0.9472005920532804,-0.2879256377841618
1,-0.9445467974435139,-0.9463360684952038,-0.9461921574050606,-0.9465821539617636,-0.42671098198833446
1,-0.9417865129112064,-0.9364284812967333,-0.9427548241333835,-0.9414027112922162,-0.3279125812352385
1,-0.9379585616421955,-0.9381357981213989,-0.9386117471841318,-0.939856607462299,-0.3906188816212242
1,-0.9417865129112064,-0.9356653642445416,-0.941447861667678,-0.9388000968710307,-0.26890587682961503
1,-0.9342608157537454,-0.9373856155492275,-0.9398794997288722,-0.9377693552503359,-0.33230227473696045
1,-0.9438046441582126,-0.9372304017889854,-0.9420359930322557,-0.9399725506276303,-0.3828224627945463
1,-0.9351722186498799,-0.9293534934156849,-0.9340373611042645,-0.9342906302341475,-0.30315996135934786
1,-0.9300422483430518,-0.9334277510080475,-0.9327303811886609,-0.932628566036649,-0.42012980806512407
1,-0.9326463038025821,-0.928771441814777,-0.9333707924478586,-0.9339169801608299,-0.4812943295985111
1,-0.9288834552238516,-0.9206746472811335,-0.9275417237969059,-0.9241765329132521,-0.38623592077824725
1,-0.9211364089194372,-0.9187991994852043,-0.9227190082175932,-0.92127759253272,-0.39496986233516257
0,-0.9199515573402288,-0.913522052519964,-0.9183929516371713,-0.9178761744282523,-0.3170073572330696
1,-0.9146392995006154,-0.9197433819886796,-0.9192424824748493,-0.9184301900933352,-0.42656622982531756
0,-0.9187406820688042,-0.9161735518481049,-0.9171382690660859,-0.9192805489200145,-0.5980201174247821
0,-0.9168267151262468,-0.9155397795961151,-0.9159358489397224,-0.9179148278841128,-0.5658868203997155
0,-0.912881579014731,-0.9077404608339369,-0.9145112567111218,-0.9128255766115732,-0.4068866683137635
0,-0.9096525551124043,-0.9103790429510563,-0.9115836524119904,-0.9108414002819044,-0.39943193191839294
0,-0.9118920355063641,-0.9050501580657354,-0.9100806403414596,-0.9077105391662098,-0.39546471275291806
0,-0.9052126559386531,-0.9031488240407671,-0.9051795049202169,-0.9063190491597344,-0.5139780214759792
0,-0.9000826856318249,-0.8995143215000916,-0.8994811360058143,-0.8999027303071534,-0.3312890095958421
1,-0.9034418975308166,-0.9034592515612513,-0.9031275714060735,-0.9040772003265796,-0.41787100105618585
1,-0.9037543904441628,-0.9052700442260784,-0.9055585341562123,-0.9073755597510028,-0.5025678480679373
0,-0.9065927982048068,-0.9012475072847976,-0.9053755545250421,-0.9054042679066209,-0.45305587565741107
1,-0.9045225848055762,-0.9108317324827637,-0.9108648213108625,-0.9081357271806745,-0.3001807598646976
1,-0.9122696311099907,-0.9100039430304713,-0.9132957840610013,-0.9133538233060823,-0.519586326210541
1,-0.9088452991368227,-0.9092278914982596,-0.9117535620695055,-0.9127482696998522,-0.6079827692026548
0,-0.9058246038433934,-0.902346903548515,-0.9053494145777321,-0.9071049855599798,-0.549230222664654
0,-0.902634641555235,-0.9013251141649187,-0.901781399019403,-0.904656984962236,-0.604237727775764
0,-0.8961896316725336,-0.8928532197106901,-0.8952073593200124,-0.8965914863974433,-0.4103741855436592
0,-0.8921663723326813,-0.8836440771643103,-0.8907897954741072,-0.8885517568032243,-0.40292786497171984
0,-0.8854088695366338,-0.893939698763386,-0.8955863711061097,-0.8891959638653147,-0.16222353268615652
0,-0.8897706454820484,-0.8904603927139538,-0.8916785362327503,-0.8932673752046966,-0.12337945805703884
0,-0.8880910308406046,-0.882635222260734,-0.8941487089038541,-0.8866448873852766,-0.008037231602859697
0,-0.8811121962814995,-0.8816134156081389,-0.8846993273500541,-0.8852018594376538,-0.4309879034560781
0,-0.8823491126290363,-0.87836693019907,-0.881157451739035,-0.8817875568478994,-0.5543756571104992
0,-0.8805783542211998,-0.8747324276583944,-0.8796936495894694,-0.8793266717648689,-0.47246444765448
0,-0.8739640773437692,-0.8761551859226162,-0.8762040364231722,-0.8737349427683936,-0.3425914604639643
0,-0.8755655687568765,-0.8683300154693964,-0.8736685313336914,-0.8737349427683936,-0.4844266990796095
0,-0.8687559838086045,-0.8671141916164986,-0.8688458157543787,-0.8712611732000762,-0.4228077230809368
0,-0.8665034828765887,-0.8622121445718434,-0.8655783921402169,-0.8668934359013478,-0.513893863241667
0,-0.8629359423686996,-0.8597158417349459,-0.8641015200169962,-0.8645613956711854,-0.47523325356334983
0,-0.8611261223466948,-0.864980054220166,-0.8662449433467246,-0.86316990566471,-0.3320060377521816
0,-0.8640947354878997,-0.8617853067311777,-0.8629383272614959,-0.8653602165567176,-0.4871264952363434
0,-0.8648889709254254,-0.8638677062074297,-0.8651601704331544,-0.8682591569372496,-0.6229898655451981
0,-0.8622198301595105,-0.8577757215389158,-0.8632258492320082,-0.8623066623527438,-0.5355309452833217
0,-0.8577929341399194,-0.8554475669422804,-0.8566779494799276,-0.8589825339577469,-0.532721743421982
0,-0.8543816400887034,-0.8602332036667542,-0.8596709036473341,-0.857964694024589,-0.4764636469489935
0,-0.860136578838328,-0.8557450427137457,-0.8614614551382752,-0.8609795947727024,-0.5026823032666019
0,-0.8558399055831937,-0.8584741661910065,-0.857801949764361,-0.86046421536123,-0.5672670154424349
